nta,runs_primary,sites_primary,runs_all,sites_all,rank,ntaname,boroname,ntatype,residents_base_14,residents_base_21_off,streets_base_14,streets_base_21_off,subway_base_14,subway_base_21_off,workers_base_14,workers_base_21_off,resid_ratio,ratio_rank,events_311,high_complaint_six
MN0802,8,19,12,24,1,Upper East Side-Carnegie Hill,Manhattan,0,1,3,1,6,2,2,1,3,0.796,115,35,FALSE
BK0602,8,18,11,22,2,Park Slope,Brooklyn,0,2,3,1,4,1,4,1,2,0.955,80,27,FALSE
MN0702,8,18,11,21,3,Upper West Side (Central),Manhattan,0,1,2,1,5,1,4,1,3,0.791,116,71,FALSE
QN0401,8,18,12,25,4,Elmhurst,Queens,0,2,3,1,4,1,4,1,2,1.205,54,77,FALSE
MN0401,7,18,10,22,5,Chelsea-Hudson Yards,Manhattan,0,1,2,1,5,0,3,2,4,0.682,135,64,FALSE
QN0201,7,15,11,26,6,Long Island City-Hunters Point,Queens,0,1,0,2,2,2,2,3,3,0.48,170,18,FALSE
MN1102,7,12,11,18,7,East Harlem (North),Manhattan,0,1,2,0,3,1,2,2,1,2.996,4,99,TRUE
QN0707,7,10,9,14,8,Flushing-Willets Point,Queens,0,1,1,1,1,0,1,3,2,0.426,174,14,FALSE
MN1203,7,8,11,13,9,Inwood,Manhattan,0,1,1,1,1,2,1,1,0,1.014,76,17,FALSE
QN0502,7,7,11,13,10,Ridgewood,Queens,0,1,1,1,1,1,1,1,0,1.047,71,39,FALSE
BK0202,6,13,8,15,11,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,0,1,2,0,2,0,3,1,4,1.367,36,45,FALSE
BK0102,6,8,9,13,12,Williamsburg,Brooklyn,0,1,2,0,1,0,1,1,2,0.582,155,32,FALSE
MN1201,6,8,8,10,13,Washington Heights (South),Manhattan,0,1,2,0,2,0,1,1,1,0.677,136,28,FALSE
MN0803,6,6,9,9,14,Upper East Side-Yorkville,Manhattan,0,1,1,1,1,0,0,1,1,0.912,92,44,FALSE
MN0101,5,12,6,13,15,Financial District-Battery Park City,Manhattan,0,0,1,0,3,0,2,2,4,0.553,162,63,FALSE
MN0502,5,10,7,12,16,Midtown-Times Square,Manhattan,0,0,0,1,3,1,2,0,3,1.929,17,84,TRUE
BK1501,5,9,8,14,17,Gravesend (East)-Homecrest,Brooklyn,0,3,0,0,0,1,1,2,2,0.626,147,9,FALSE
BK0103,5,8,8,13,18,South Williamsburg,Brooklyn,0,2,1,0,0,0,1,2,2,0.232,189,4,FALSE
QN0202,5,8,7,11,19,Sunnyside,Queens,0,0,1,0,0,1,2,2,2,0.931,86,33,FALSE
BK0301,5,7,6,8,20,Bedford-Stuyvesant (West),Brooklyn,0,0,2,0,1,1,2,0,1,1.236,48,56,FALSE
BK1203,5,7,7,10,21,Kensington,Brooklyn,0,2,1,0,0,0,1,2,1,1.108,64,17,FALSE
MN0102,5,7,7,10,22,Tribeca-Civic Center,Manhattan,0,1,0,0,2,1,0,1,2,1.721,21,58,FALSE
MN0801,5,7,6,8,23,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,0,0,1,1,2,0,1,0,2,0.631,144,47,FALSE
QN0602,5,7,7,9,24,Forest Hills,Queens,0,0,2,0,0,1,1,1,2,0.67,138,30,FALSE
BX0703,5,6,7,8,25,Norwood,Bronx,0,1,1,0,0,0,1,1,2,0.304,184,4,FALSE
BX0102,5,5,7,7,26,Melrose,Bronx,0,1,0,0,1,0,1,1,1,1.554,29,16,FALSE
BX0401,4,9,4,9,27,Concourse-Concourse Village,Bronx,0,0,3,0,2,0,2,0,2,0.899,96,16,FALSE
MN0901,4,9,4,9,28,Morningside Heights,Manhattan,0,0,2,0,3,0,2,0,2,0.599,151,19,FALSE
BK1204,4,7,7,12,29,Mapleton-Midwood (West),Brooklyn,0,2,0,0,0,1,0,2,2,0.556,161,6,FALSE
MN0903,4,7,4,7,30,Hamilton Heights-Sugar Hill,Manhattan,0,0,2,0,2,0,2,0,1,0.799,114,25,FALSE
BX0802,4,6,4,6,31,Kingsbridge-Marble Hill,Bronx,0,0,1,0,2,0,2,0,1,1.441,33,7,FALSE
MN0202,4,6,4,6,32,Greenwich Village,Manhattan,0,0,1,0,2,0,2,0,1,1.236,47,45,FALSE
MN0303,4,6,4,6,33,East Village,Manhattan,0,0,2,0,2,0,1,0,1,0.735,126,42,FALSE
MN1001,4,6,4,6,34,Harlem (South),Manhattan,0,0,2,0,1,0,2,0,1,0.763,123,30,FALSE
MN1202,4,6,4,6,35,Washington Heights (North),Manhattan,0,0,2,0,1,0,2,0,1,0.645,141,31,FALSE
QN0105,4,6,6,8,36,Queensbridge-Ravenswood-Dutch Kills,Queens,0,0,0,0,0,1,2,2,1,0.299,185,7,FALSE
BK0902,4,5,4,5,37,Prospect Lefferts Gardens-Wingate,Brooklyn,0,0,2,0,1,0,1,0,1,1.189,56,17,FALSE
BK1002,4,5,5,6,38,Dyker Heights,Brooklyn,0,1,0,0,0,0,1,2,1,2.475,8,16,FALSE
BK1401,4,5,6,7,39,Flatbush,Brooklyn,0,1,0,0,1,0,2,1,0,0.659,140,17,FALSE
QN1002,4,5,7,10,40,Ozone Park,Queens,0,2,1,0,0,1,1,0,0,0.951,81,10,FALSE
BK0401,4,4,5,5,41,Bushwick (West),Brooklyn,0,0,1,0,0,0,1,1,1,1.682,24,51,FALSE
BK0703,4,4,5,5,42,Sunset Park (Central),Brooklyn,0,1,1,0,0,0,0,1,1,1.969,15,30,FALSE
BX0903,4,4,5,5,43,Castle Hill-Unionport,Bronx,0,0,1,0,1,0,1,1,0,0.93,87,8,FALSE
MN0301,4,4,4,4,44,Chinatown-Two Bridges,Manhattan,0,0,1,0,1,0,1,0,1,1.816,18,27,FALSE
MN0302,4,4,4,4,45,Lower East Side,Manhattan,0,0,1,0,1,0,1,0,1,0.862,100,25,FALSE
MN0601,4,4,7,8,46,Stuyvesant Town-Peter Cooper Village,Manhattan,0,1,0,1,1,0,0,1,0,0.663,139,4,FALSE
QN0601,4,4,6,6,47,Rego Park,Queens,0,1,1,0,0,0,0,1,1,0.51,168,6,FALSE
MN0501,3,8,3,8,48,Midtown South-Flatiron-Union Square,Manhattan,0,0,0,0,5,0,1,0,2,0.697,131,42,FALSE
BK0601,3,6,6,11,49,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,0,2,0,0,0,1,0,3,0,1.226,49,45,FALSE
BK1303,3,5,5,8,50,Brighton Beach,Brooklyn,0,2,0,0,0,0,0,2,1,3.848,1,24,TRUE
BK1601,3,5,6,10,51,Ocean Hill,Brooklyn,0,2,1,0,0,0,0,2,0,0.568,158,8,FALSE
MN0201,3,5,3,5,52,SoHo-Little Italy-Hudson Square,Manhattan,0,0,0,0,1,0,2,0,2,1.024,75,26,FALSE
MN1002,3,5,4,6,53,Harlem (North),Manhattan,0,0,2,0,0,0,2,0,1,0.839,110,43,FALSE
QN0402,3,5,3,5,54,Corona,Queens,0,0,1,0,2,0,2,0,0,1.75,20,54,FALSE
BK0503,3,4,5,7,55,East New York-New Lots,Brooklyn,0,2,0,0,0,1,1,0,0,0.289,186,5,FALSE
BK0901,3,4,4,5,56,Crown Heights (South),Brooklyn,0,0,1,0,0,1,2,0,0,0.525,166,11,FALSE
BX0501,3,4,4,5,57,University Heights (South)-Morris Heights,Bronx,0,1,2,0,0,0,1,0,0,0.373,178,4,FALSE
