objective,config,rank,cand_id,type,lat,lon,nta_raw,nta,new_demand_covered,unit,cum_share_covered,ntaname,ntaname_raw,primary
residents,base_14,1,4553,busy_street,40.7484276257905,-73.8763656664433,QN0401,QN0401,24411.7,residents,0.72658,Elmhurst,Elmhurst,TRUE
residents,base_14,2,3047,busy_street,40.7800527472296,-73.9527763675885,MN0803,MN0803,22487,residents,0.72923,Upper East Side-Yorkville,Upper East Side-Yorkville,TRUE
residents,base_14,3,5786,plaza,40.6685438224385,-73.9194385586936,BK1601,BK1601,13957.6,residents,0.73088,Ocean Hill,Ocean Hill,TRUE
residents,base_14,4,5788,plaza,40.6405663526277,-73.9790936698526,BK1203,BK1203,11782.4,residents,0.73227,Kensington,Kensington,TRUE
residents,base_14,5,4121,park,40.8785412651185,-73.8299145219054,BX1004,BX1004,11655.9,residents,0.73364,Co-op City,Co-op City,TRUE
residents,base_14,6,1487,park,40.6287601813371,-73.9386999721515,BK1801,BK1801,10569.3,residents,0.73488,Flatlands,Flatlands,TRUE
residents,base_14,7,3521,park,40.8381325380236,-73.9473996095316,MN1201,MN1201,10526.2,residents,0.73613,Washington Heights (South),Washington Heights (South),TRUE
residents,base_14,8,823,park,40.5895986054387,-73.9653142894677,BK1301,BK1301,10500.3,residents,0.73736,Gravesend (South),Gravesend (South),TRUE
residents,base_14,9,4643,busy_street,40.7330642820808,-73.9745339352951,MN0601,MN0601,10284.8,residents,0.73858,Stuyvesant Town-Peter Cooper Village,Stuyvesant Town-Peter Cooper Village,TRUE
residents,base_14,10,4548,busy_street,40.748551183143,-73.9384100322353,QN0201,QN0201,9884.5,residents,0.73974,Long Island City-Hunters Point,Long Island City-Hunters Point,TRUE
residents,base_14,11,2007,park,40.6990104027369,-73.9617077681764,BK0103,BK0103,9671.2,residents,0.74088,South Williamsburg,South Williamsburg,TRUE
residents,base_14,12,1146,park,40.6044548674445,-73.95821742955,BK1501,BK1501,9006.9,residents,0.74194,Gravesend (East)-Homecrest,Gravesend (East)-Homecrest,TRUE
residents,base_14,13,677,park,40.5828446800131,-73.9653177971745,BK1303,BK1303,8967.4,residents,0.743,Brighton Beach,Brighton Beach,TRUE
residents,base_14,14,5791,plaza,40.6997298033889,-73.9114377373611,BK0402,BK0402,8816.2,residents,0.74404,Bushwick (East),Bushwick (East),TRUE
residents,base_14,15,1767,park,40.6625021703902,-73.8996447426726,BK0503,BK0503,8709.3,residents,0.74507,East New York-New Lots,East New York-New Lots,TRUE
residents,base_14,16,3560,park,40.8435214516398,-73.9224941812756,BX0403,BX0403,7655.5,residents,0.74597,Mount Eden-Claremont (West),Mount Eden-Claremont (West),TRUE
residents,base_14,17,2589,busy_street,40.7489229040637,-73.8710964756144,QN0401,QN0401,7239,residents,0.74682,Elmhurst,Elmhurst,TRUE
residents,base_14,18,5780,plaza,40.6792785164562,-73.8632620266311,QN1002,QN1002,7184.6,residents,0.74767,Ozone Park,Ozone Park,TRUE
residents,base_14,19,3485,park,40.82728142945,-73.8851704511452,BX0303,BX0303,6690.6,residents,0.74846,Crotona Park East,Crotona Park East,TRUE
residents,base_14,20,1600,park,40.6463366110394,-74.0025261471469,BK0703,BK0703,6605.3,residents,0.74923,Sunset Park (Central),Sunset Park (Central),TRUE
residents,base_14,21,1851,park,40.6719528130059,-73.8943082823989,BK0502,BK0502,6591.4,residents,0.75001,East New York (North),East New York (North),TRUE
residents,base_14,22,3333,park,40.8096899313057,-73.8567567674393,BX0902,BX0902,6468.3,residents,0.75077,Soundview-Clason Point,Soundview-Clason Point,TRUE
residents,base_14,23,1456,park,40.6260712081025,-73.9706139129399,BK1204,BK1204,6307.5,residents,0.75152,Mapleton-Midwood (West),Mapleton-Midwood (West),TRUE
residents,base_14,24,1872,park,40.6746692869623,-73.9120454993635,BK1601,BK1601,6230,residents,0.75225,Ocean Hill,Ocean Hill,TRUE
residents,base_14,25,3875,park,40.8651002863064,-73.8833259151356,BX2791,BX0603,6174.1,residents,0.75298,Belmont,Bronx Park,TRUE
residents,base_14,26,1457,park,40.6260465712656,-73.9192010134108,BK1801,BK1801,6130.5,residents,0.7537,Flatlands,Flatlands,TRUE
residents,base_14,27,2167,park,40.7205445219904,-73.8604991167455,QN0601,QN0601,6005.5,residents,0.75441,Rego Park,Rego Park,TRUE
residents,base_14,28,1667,park,40.6527886596618,-73.7364906092305,QN1307,QN1307,5898,residents,0.75511,Rosedale,Rosedale,TRUE
residents,base_14,29,2460,busy_street,40.7449427209189,-73.9972018185959,MN0401,MN0401,5675.6,residents,0.75577,Chelsea-Hudson Yards,Chelsea-Hudson Yards,TRUE
residents,base_14,30,1866,park,40.6732588627222,-73.8535015576475,QN1002,QN1002,5651.8,residents,0.75644,Ozone Park,Ozone Park,TRUE
residents,base_14,31,1975,park,40.693430927129,-73.7948936550773,QN1202,QN1202,5628.6,residents,0.7571,South Jamaica,South Jamaica,TRUE
residents,base_14,32,2057,park,40.7030579020734,-73.9492810954172,BK0103,BK0103,5516.1,residents,0.75775,South Williamsburg,South Williamsburg,TRUE
residents,base_14,33,1828,park,40.6706504131589,-73.9936568470251,BK0601,BK0601,5500,residents,0.7584,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,TRUE
residents,base_14,34,1537,park,40.6368464350724,-74.0894099340552,SI0101,SI0101,5451.4,residents,0.75904,St. George-New Brighton,St. George-New Brighton,TRUE
residents,base_14,35,3261,busy_street,40.7976067389515,-73.9403219200684,MN1102,MN1102,5328.8,residents,0.75967,East Harlem (North),East Harlem (North),TRUE
