objective,config,rank,cand_id,type,lat,lon,nta_raw,nta,new_demand_covered,unit,cum_share_covered,ntaname,ntaname_raw,primary
streets,base_14,1,2460,busy_street,40.7449427209189,-73.9972018185959,MN0401,MN0401,1006.6,metres of Global/Regional street,0.97781,Chelsea-Hudson Yards,Chelsea-Hudson Yards,TRUE
streets,base_14,2,3047,busy_street,40.7800527472296,-73.9527763675885,MN0803,MN0803,645.7,metres of Global/Regional street,0.98301,Upper East Side-Yorkville,Upper East Side-Yorkville,TRUE
streets,base_14,3,4465,busy_street,40.747550877024,-73.941233795429,QN0201,QN0201,442.3,metres of Global/Regional street,0.98658,Long Island City-Hunters Point,Long Island City-Hunters Point,TRUE
streets,base_14,4,3024,busy_street,40.778708759638,-73.974100399437,MN6491,MN0702,356,metres of Global/Regional street,0.98945,Upper West Side (Central),Central Park,TRUE
streets,base_14,5,2792,busy_street,40.7583329634124,-73.8355506248997,QN0707,QN0707,324.7,metres of Global/Regional street,0.99207,Flushing-Willets Point,Flushing-Willets Point,TRUE
streets,base_14,6,2274,busy_street,40.7327829966276,-73.9741182499541,MN0601,MN0601,233.1,metres of Global/Regional street,0.99395,Stuyvesant Town-Peter Cooper Village,Stuyvesant Town-Peter Cooper Village,TRUE
streets,base_14,7,3825,park,40.8624305503872,-73.9206929831947,MN1203,MN1203,197.8,metres of Global/Regional street,0.99554,Inwood,Inwood,TRUE
streets,base_14,8,2886,busy_street,40.7665478989968,-73.9598923386423,MN0801,MN0801,130.2,metres of Global/Regional street,0.99659,Upper East Side-Lenox Hill-Roosevelt Island,Upper East Side-Lenox Hill-Roosevelt Island,TRUE
streets,base_14,9,4620,busy_street,40.6999581408724,-73.9076383352567,QN0502,QN0502,112.9,metres of Global/Regional street,0.9975,Ridgewood,Ridgewood,TRUE
streets,base_14,10,4481,busy_street,40.7483441812487,-73.8771703539944,QN0401,QN0401,102.6,metres of Global/Regional street,0.99833,Elmhurst,Elmhurst,TRUE
streets,base_14,11,3065,park,40.7814049014424,-73.9563293991289,MN0802,MN0802,80.4,metres of Global/Regional street,0.99898,Upper East Side-Carnegie Hill,Upper East Side-Carnegie Hill,TRUE
streets,base_14,12,2652,busy_street,40.7516962645829,-73.9918729273254,MN0502,MN0502,45.7,metres of Global/Regional street,0.99934,Midtown-Times Square,Midtown-Times Square,TRUE
streets,base_14,13,4450,busy_street,40.7428294171262,-73.9520968228047,QN0201,QN0201,41.8,metres of Global/Regional street,0.99968,Long Island City-Hunters Point,Long Island City-Hunters Point,TRUE
streets,base_14,14,1797,busy_street,40.6665976765615,-73.9883354231752,BK0602,BK0602,39.7,metres of Global/Regional street,1,Park Slope,Park Slope,TRUE
