objective,config,rank,cand_id,type,lat,lon,nta_raw,nta,new_demand_covered,unit,cum_share_covered,ntaname,ntaname_raw,primary
subway,base_14,1,3000,busy_street,40.77600188924,-73.9563329424437,MN0802,MN0802,17663785,2025 subway entries,0.88717,Upper East Side-Carnegie Hill,Upper East Side-Carnegie Hill,TRUE
subway,base_14,2,2589,busy_street,40.7489229040637,-73.8710964756144,QN0401,QN0401,11461377,2025 subway entries,0.896,Elmhurst,Elmhurst,TRUE
subway,base_14,3,2822,busy_street,40.7611503233114,-73.981213045798,MN0502,MN0502,8768081,2025 subway entries,0.90274,Midtown-Times Square,Midtown-Times Square,TRUE
subway,base_14,4,4464,busy_street,40.7479021742119,-73.9414631236608,QN0201,QN0201,7764783,2025 subway entries,0.90872,Long Island City-Hunters Point,Long Island City-Hunters Point,TRUE
subway,base_14,5,2863,busy_street,40.7638481194045,-73.9652235446915,MN0802,MN0802,5391266,2025 subway entries,0.91287,Upper East Side-Carnegie Hill,Upper East Side-Carnegie Hill,TRUE
subway,base_14,6,2145,park,40.7177998424248,-73.8285494255402,QN8191,QN0602,5251436,2025 subway entries,0.91691,Forest Hills,Flushing Meadows-Corona Park,TRUE
subway,base_14,7,2170,park,40.7219796388327,-74.0060798353914,MN0102,MN0102,4371789,2025 subway entries,0.92028,Tribeca-Civic Center,Tribeca-Civic Center,TRUE
subway,base_14,8,1894,busy_street,40.6800940278118,-73.9475242647205,BK0301,BK0301,4317977,2025 subway entries,0.9236,Bedford-Stuyvesant (West),Bedford-Stuyvesant (West),TRUE
subway,base_14,9,2505,park,40.7462570894761,-73.9083988711812,QN0203,QN0203,4172109,2025 subway entries,0.92681,Woodside,Woodside,TRUE
subway,base_14,10,1813,park,40.667943251081,-73.9634995760989,BK5591,BK0901,3743258,2025 subway entries,0.92969,Crown Heights (South),Prospect Park,TRUE
subway,base_14,11,3010,park,40.7773580063405,-73.9741009248037,MN6491,MN0702,3484039,2025 subway entries,0.93238,Upper West Side (Central),Central Park,TRUE
subway,base_14,12,3261,busy_street,40.7976067389515,-73.9403219200684,MN1102,MN1102,3141079,2025 subway entries,0.93479,East Harlem (North),East Harlem (North),TRUE
subway,base_14,13,2468,busy_street,40.7449254244924,-73.9368170655035,QN0202,QN0202,2239622,2025 subway entries,0.93652,Sunnyside,Sunnyside,TRUE
subway,base_14,14,2811,park,40.7597674364971,-73.9119331286145,QN0104,QN0104,1913413,2025 subway entries,0.93799,Astoria (East)-Woodside (North),Astoria (East)-Woodside (North),TRUE
subway,base_14,15,1965,busy_street,40.6922625028985,-73.9901055524859,BK0201,BK0201,1873248,2025 subway entries,0.93943,Brooklyn Heights,Brooklyn Heights,TRUE
subway,base_14,16,1767,park,40.6625021703902,-73.8996447426726,BK0503,BK0503,1605090,2025 subway entries,0.94067,East New York-New Lots,East New York-New Lots,TRUE
subway,base_14,17,4118,park,40.8786093828795,-73.8850818034525,BX0702,BX0702,1494474,2025 subway entries,0.94182,Bedford Park,Bedford Park,TRUE
subway,base_14,18,1797,busy_street,40.6665976765615,-73.9883354231752,BK0602,BK0602,1432173,2025 subway entries,0.94292,Park Slope,Park Slope,TRUE
subway,base_14,19,3825,park,40.8624305503872,-73.9206929831947,MN1203,MN1203,1387238,2025 subway entries,0.94399,Inwood,Inwood,TRUE
subway,base_14,20,1850,park,40.6719620993503,-73.9049527492079,BK1602,BK1602,1242833,2025 subway entries,0.94494,Brownsville,Brownsville,TRUE
