objective,config,rank,cand_id,type,lat,lon,nta_raw,nta,new_demand_covered,unit,cum_share_covered,ntaname,ntaname_raw,primary
workers,base_14,1,4548,busy_street,40.748551183143,-73.9384100322353,QN0201,QN0201,23063.4,jobs,0.80941,Long Island City-Hunters Point,Long Island City-Hunters Point,TRUE
workers,base_14,2,5079,busy_street,40.736032388034,-73.9767440717727,MN0601,MN0601,20557.7,jobs,0.81389,Stuyvesant Town-Peter Cooper Village,Stuyvesant Town-Peter Cooper Village,TRUE
workers,base_14,3,1966,plaza,40.6922623366413,-73.9883309332676,BK0202,BK0202,12003.6,jobs,0.81651,Downtown Brooklyn-DUMBO-Boerum Hill,Downtown Brooklyn-DUMBO-Boerum Hill,TRUE
workers,base_14,4,2170,park,40.7219796388327,-74.0060798353914,MN0102,MN0102,11464.1,jobs,0.81901,Tribeca-Civic Center,Tribeca-Civic Center,TRUE
workers,base_14,5,2460,busy_street,40.7449427209189,-73.9972018185959,MN0401,MN0401,9180.4,jobs,0.82101,Chelsea-Hudson Yards,Chelsea-Hudson Yards,TRUE
workers,base_14,6,677,park,40.5828446800131,-73.9653177971745,BK1303,BK1303,8850.6,jobs,0.82294,Brighton Beach,Brighton Beach,TRUE
workers,base_14,7,2038,park,40.701717554444,-74.013177471255,MN0101,MN0101,8371.6,jobs,0.82477,Financial District-Battery Park City,Financial District-Battery Park City,TRUE
workers,base_14,8,3047,busy_street,40.7800527472296,-73.9527763675885,MN0803,MN0803,7983.3,jobs,0.82651,Upper East Side-Yorkville,Upper East Side-Yorkville,TRUE
workers,base_14,9,2792,busy_street,40.7583329634124,-73.8355506248997,QN0707,QN0707,7281.6,jobs,0.8281,Flushing-Willets Point,Flushing-Willets Point,TRUE
workers,base_14,10,1146,park,40.6044548674445,-73.95821742955,BK1501,BK1501,6889,jobs,0.8296,Gravesend (East)-Homecrest,Gravesend (East)-Homecrest,TRUE
workers,base_14,11,2468,busy_street,40.7449254244924,-73.9368170655035,QN0202,QN0202,6867.8,jobs,0.8311,Sunnyside,Sunnyside,TRUE
workers,base_14,12,5788,plaza,40.6405663526277,-73.9790936698526,BK1203,BK1203,6166.1,jobs,0.83244,Kensington,Kensington,TRUE
workers,base_14,13,2915,park,40.7692511417261,-73.9652207233097,MN0802,MN0802,4947,jobs,0.83352,Upper East Side-Carnegie Hill,Upper East Side-Carnegie Hill,TRUE
workers,base_14,14,2007,park,40.6990104027369,-73.9617077681764,BK0103,BK0103,4648.5,jobs,0.83454,South Williamsburg,South Williamsburg,TRUE
workers,base_14,15,1456,park,40.6260712081025,-73.9706139129399,BK1204,BK1204,4452.9,jobs,0.83551,Mapleton-Midwood (West),Mapleton-Midwood (West),TRUE
workers,base_14,16,4450,busy_street,40.7428294171262,-73.9520968228047,QN0201,QN0201,4091.9,jobs,0.8364,Long Island City-Hunters Point,Long Island City-Hunters Point,TRUE
workers,base_14,17,5747,plaza,40.7438176546144,-73.9242631274706,QN0202,QN0202,3993.6,jobs,0.83727,Sunnyside,Sunnyside,TRUE
workers,base_14,18,1828,park,40.6706504131589,-73.9936568470251,BK0601,BK0601,3817.8,jobs,0.8381,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,TRUE
workers,base_14,19,1487,park,40.6287601813371,-73.9386999721515,BK1801,BK1801,3603.6,jobs,0.83889,Flatlands,Flatlands,TRUE
workers,base_14,20,2986,park,40.7745420033064,-73.8355105968625,QN0701,QN0701,3393.8,jobs,0.83963,College Point,College Point,TRUE
workers,base_14,21,1368,park,40.6166152784635,-73.9688454674985,BK1204,BK1204,3176.3,jobs,0.84032,Mapleton-Midwood (West),Mapleton-Midwood (West),TRUE
workers,base_14,22,1851,park,40.6719528130059,-73.8943082823989,BK0502,BK0502,3100.9,jobs,0.841,East New York (North),East New York (North),TRUE
workers,base_14,23,2167,park,40.7205445219904,-73.8604991167455,QN0601,QN0601,3048.1,jobs,0.84166,Rego Park,Rego Park,TRUE
workers,base_14,24,1540,park,40.6368618932366,-73.9333730906266,BK1702,BK1702,3036,jobs,0.84233,East Flatbush-Farragut,East Flatbush-Farragut,TRUE
workers,base_14,25,4485,busy_street,40.6324211116248,-73.947222460207,BK1401,BK1401,2756,jobs,0.84293,Flatbush,Flatbush,TRUE
workers,base_14,26,823,park,40.5895986054387,-73.9653142894677,BK1301,BK1301,2743.1,jobs,0.84353,Gravesend (South),Gravesend (South),TRUE
workers,base_14,27,4482,busy_street,40.7489312639797,-73.8715987219991,QN0301,QN0301,2503.9,jobs,0.84407,Jackson Heights,Jackson Heights,TRUE
workers,base_14,28,1531,park,40.6368361140687,-74.1018219443742,SI0104,SI0104,2234,jobs,0.84456,West New Brighton-Silver Lake-Grymes Hill,West New Brighton-Silver Lake-Grymes Hill,TRUE
workers,base_14,29,2432,plaza,40.743575625361,-73.9385943320688,QN0201,QN0201,2114.2,jobs,0.84502,Long Island City-Hunters Point,Long Island City-Hunters Point,TRUE
workers,base_14,30,1663,park,40.6528391727439,-73.759546922648,QN1306,QN1306,2081.3,jobs,0.84547,Springfield Gardens (South)-Brookville,Springfield Gardens (South)-Brookville,TRUE
workers,base_14,31,3853,park,40.863747740644,-73.8815490912227,BX2791,BX0603,2078.1,jobs,0.84593,Belmont,Bronx Park,TRUE
workers,base_14,32,2057,park,40.7030579020734,-73.9492810954172,BK0103,BK0103,2024.1,jobs,0.84637,South Williamsburg,South Williamsburg,TRUE
workers,base_14,33,4121,park,40.8785412651185,-73.8299145219054,BX1004,BX1004,1966,jobs,0.8468,Co-op City,Co-op City,TRUE
workers,base_14,34,1372,park,40.617826899804,-74.1815618677191,SI0204,SI0204,1898.2,jobs,0.84721,New Springville-Willowbrook-Bulls Head-Travis,New Springville-Willowbrook-Bulls Head-Travis,TRUE
workers,base_14,35,3557,park,40.8420842509149,-73.8389008288821,BX1161,BX1002,1893.1,jobs,0.84762,Throgs Neck-Schuylerville,Hutchinson Metro Center,TRUE
workers,base_14,36,2932,park,40.770536967912,-73.872831346627,QN0302,QN0302,1849.3,jobs,0.84803,East Elmhurst,East Elmhurst,TRUE
workers,base_14,37,5770,plaza,40.6989011941679,-73.9186715423202,BK0401,BK0401,1724,jobs,0.8484,Bushwick (West),Bushwick (West),TRUE
workers,base_14,38,1646,park,40.6516735507151,-73.8766049976492,BK0504,BK0504,1715.1,jobs,0.84878,Spring Creek-Starrett City,Spring Creek-Starrett City,TRUE
workers,base_14,39,1517,park,40.6328281067644,-74.0131638683988,BK1002,BK1002,1612.8,jobs,0.84913,Dyker Heights,Dyker Heights,TRUE
workers,base_14,40,3058,busy_street,40.7814098523096,-73.9723223535686,MN0702,MN0702,1594.1,jobs,0.84948,Upper West Side (Central),Upper West Side (Central),TRUE
workers,base_14,41,767,park,40.5868753101211,-74.0787121133605,SI0201,SI0201,1590.4,jobs,0.84982,Grasmere-Arrochar-South Beach-Dongan Hills,Grasmere-Arrochar-South Beach-Dongan Hills,TRUE
workers,base_14,42,1850,park,40.6719620993503,-73.9049527492079,BK1602,BK1602,1579.1,jobs,0.85017,Brownsville,Brownsville,TRUE
workers,base_14,43,2602,park,40.7488725466263,-73.8320217173721,QN0707,QN0707,1564.6,jobs,0.85051,Flushing-Willets Point,Flushing-Willets Point,TRUE
workers,base_14,44,2865,park,40.7637459059927,-73.842643367347,QN0707,QN0707,1536.2,jobs,0.85084,Flushing-Willets Point,Flushing-Willets Point,TRUE
workers,base_14,45,1022,park,40.5989045740416,-74.1885989809715,SI0204,SI0204,1423.7,jobs,0.85116,New Springville-Willowbrook-Bulls Head-Travis,New Springville-Willowbrook-Bulls Head-Travis,TRUE
workers,base_14,46,4620,busy_street,40.6999581408724,-73.9076383352567,QN0502,QN0502,1409.6,jobs,0.85146,Ridgewood,Ridgewood,TRUE
workers,base_14,47,2850,park,40.7622796893958,-73.7733637574157,QN1102,QN1102,1389,jobs,0.85177,Bayside,Bayside,TRUE
workers,base_14,48,4436,park,40.9096862137748,-73.8957106235065,BX2691,BX0803,1378.5,jobs,0.85207,Riverdale-Spuyten Duyvil,Van Cortlandt Park,TRUE
workers,base_14,49,1258,park,40.6097165744558,-74.1850846678792,SI0204,SI0204,1364.4,jobs,0.85236,New Springville-Willowbrook-Bulls Head-Travis,New Springville-Willowbrook-Bulls Head-Travis,TRUE
workers,base_14,50,534,park,40.575984301464,-74.1601897287556,SI0203,SI0203,1345.4,jobs,0.85266,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,TRUE
workers,base_14,51,706,park,40.584179304732,-73.9298821536677,BK1891,BK1503,1319.4,jobs,0.85295,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Marine Park-Plumb Island,TRUE
workers,base_14,52,1337,park,40.6151020715081,-74.1957350328327,SI0204,SI0204,1305,jobs,0.85323,New Springville-Willowbrook-Bulls Head-Travis,New Springville-Willowbrook-Bulls Head-Travis,TRUE
workers,base_14,53,2145,park,40.7177998424248,-73.8285494255402,QN8191,QN0602,1293.3,jobs,0.85351,Forest Hills,Flushing Meadows-Corona Park,TRUE
workers,base_14,54,4753,busy_street,40.8160835200761,-73.9177176780063,BX0102,BX0102,1290.5,jobs,0.85379,Melrose,Melrose,TRUE
workers,base_14,55,5774,plaza,40.7175086124401,-73.9490382646825,BK0102,BK0102,1263.2,jobs,0.85407,Williamsburg,Williamsburg,TRUE
workers,base_14,56,2728,busy_street,40.7557487454635,-74.0043066070067,MN0401,MN0401,1219.2,jobs,0.85433,Chelsea-Hudson Yards,Chelsea-Hudson Yards,TRUE
workers,base_14,57,3485,park,40.82728142945,-73.8851704511452,BX0303,BX0303,1205.1,jobs,0.8546,Crotona Park East,Crotona Park East,TRUE
workers,base_14,58,3432,park,40.817765912226,-73.8354037601026,BX1091,BX0903,1199.2,jobs,0.85486,Castle Hill-Unionport,Ferry Point Park-St. Raymond Cemetery,TRUE
workers,base_14,59,5769,plaza,40.7017906234497,-73.8809394344356,QN0503,QN0503,1198.9,jobs,0.85512,Glendale,Glendale,TRUE
workers,base_14,60,1494,park,40.6299695517995,-74.1904597359521,SI0204,SI0204,1197.6,jobs,0.85538,New Springville-Willowbrook-Bulls Head-Travis,New Springville-Willowbrook-Bulls Head-Travis,TRUE
workers,base_14,61,4120,park,40.8786001798003,-73.8761838475042,BX0703,BX0703,1124.5,jobs,0.85563,Norwood,Norwood,TRUE
