name,type,ntaname,residents,foot_traffic,subway,jobs,hotels,dist_2pm_m,dist_9pm_m,poverty,complaints
Yankee Stadium,park,Yankee Stadium-Macombs Dam Park,73,72,79,64,63,33,51,92,70
Admiral Farragut Playground,park,Tremont,73,67,64,65,69,47,15,92,59
Mapes Park,park,Tremont,89,75,64,63,69,58,41,85,47
Monsignor Raul Del Valle Square,plaza,Longwood,77,59,75,67,63,48,63,84,66
Columbus Park,park,Downtown Brooklyn-DUMBO-Boerum Hill,79,67,87,85,77,37,33,57,84
Milestone Park,park,Bensonhurst,79,67,73,69,63,58,53,66,70
Fulton Street and Truxton Street,busy_street,Ocean Hill,79,49,74,67,77,74,94,85,70
Avenue C Plaza,plaza,Kensington,82,65,73,78,69,78,49,71,63
Astoria Boulevard South and 31st Street,park,Astoria (Central),76,78,78,69,63,35,70,38,71
Northern Boulevard and 31st Street,busy_street,Queensbridge-Ravenswood-Dutch Kills,64,78,78,79,89,81,67,82,59
Northern Boulevard and 54th Street,busy_street,Astoria (East)-Woodside (North),66,76,69,66,63,82,83,57,70
34th Avenue and 64th Street,busy_street,Woodside,73,75,66,68,63,64,78,25,76
Cooper Square,plaza,Greenwich Village,95,78,89,83,87,51,35,45,91
Malcolm X Plaza,plaza,Harlem (South),87,74,76,64,73,27,55,73,73
Delancey Street and Suffolk Street,plaza,Lower East Side,91,46,82,77,84,65,55,88,99
Plaza Alianza Dominicana,plaza,Washington Heights (South),96,81,79,79,69,50,58,88,83
North Shore Esplanade,park,St. George-New Brighton,51,43,64,45,63,67,97,68,35
