order,facility_id,facility_name,operator,action,ntaname,borough,gap_sites_newly_covered,cumulative_gap_sites,lon,lat,kept_random_weights
1,730,Greeley Square Park,34th Street Partnership,Extend other operator's hours,Midtown South-Flatiron-Union Square,Manhattan,90,90,-73.98846,40.74853,1
2,432,Bella Abzug Park,NYC Parks,Keep park restroom open to 10pm,Chelsea-Hudson Yards,Manhattan,52,142,-73.9997,40.75632,1
3,1027,825 Eighth Avenue POPS,"George Comfort and Sons, Inc.",Extend other operator's hours,Hell's Kitchen,Manhattan,43,185,-73.98694,40.76224,1
4,799,Madison Square Park APT,NYC DOT/JCDecaux,Extend other operator's hours,Midtown South-Flatiron-Union Square,Manhattan,43,228,-73.98784,40.74131,1
5,789,Dag Hammarskjold Food Kiosk,NYC Parks Concessionaire,Extend other operator's hours,East Midtown-Turtle Bay,Manhattan,45,273,-73.96816,40.75208,0.7
6,407,Augustus St. Gaudens Playground,NYC Parks,Keep park restroom open to 10pm,Gramercy,Manhattan,38,311,-73.9821,40.73564,1
7,835,"67th Street Library, NYPL",NYPL,Extend other operator's hours,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,34,345,-73.95955,40.76492,0.9
8,307,Bryant Park,NYC Parks,Keep park restroom open to 10pm,Midtown-Times Square,Manhattan,28,373,-73.9827,40.75404,1
9,837,"Yorkville Library, NYPL",NYPL,Extend other operator's hours,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,30,403,-73.95637,40.77366,1
10,326,Chelsea Park,NYC Parks,Keep park restroom open to 10pm,Chelsea-Hudson Yards,Manhattan,27,430,-74.0008,40.74986,1
11,810,"Andrew Heiskell Braille and Talking Book Library, NYPL",NYPL,Extend other operator's hours,Midtown South-Flatiron-Union Square,Manhattan,24,454,-73.99336,40.74047,1
12,399,St. Nicholas Playground South,NYC Parks,Repair or reopen,Harlem (North),Manhattan,27,481,-73.9472,40.81107,1
13,1022,Penn Station LIRR Restroom,LIRR,Extend other operator's hours,Midtown South-Flatiron-Union Square,Manhattan,18,499,-73.99358,40.75059,1
14,907,"Pacific Library, BPL",BPL,Extend other operator's hours,Park Slope,Brooklyn,21,520,-73.97858,40.68348,0.52
15,398,Alice Kornegay Triangle,NYC Parks,Repair or reopen,East Harlem (North),Manhattan,19,539,-73.9356,40.80655,0.5
16,860,"Bronx Library Center, NYPL",NYPL,Extend other operator's hours,University Heights (North)-Fordham,Bronx,19,558,-73.8945,40.86299,1
17,414,Corporal John A. Seravalli Playground,NYC Parks,Keep park restroom open to 10pm,West Village,Manhattan,16,574,-74.0047,40.73894,1
18,389,McCaffrey Playground,NYC Parks,Keep park restroom open to 10pm,Hell's Kitchen,Manhattan,16,590,-73.9914,40.75916,1
19,814,"Kips Bay Library, NYPL",NYPL,Extend other operator's hours,Murray Hill-Kips Bay,Manhattan,16,606,-73.9799,40.74382,1
20,360,Riverbank Playground,NYC Parks,Keep park restroom open to 10pm,Hamilton Heights-Sugar Hill,Manhattan,18,624,-73.9539,40.82562,1
21,378,Hester St Playground,NYC Parks,Keep park restroom open to 10pm,Chinatown-Two Bridges,Manhattan,18,642,-73.9941,40.71673,0.22
22,807,"New Amsterdam Library, NYPL",NYPL,Extend other operator's hours,Tribeca-Civic Center,Manhattan,17,659,-74.00787,40.71359,0.45
23,699,Tompkins Square Park,NYC Parks,Keep park restroom open to 10pm,East Village,Manhattan,14,673,-73.9814,40.72683,0.47
24,707,Castle Clinton National Monument,The Battery Conservancy,Extend other operator's hours,The Battery-Governors Island-Ellis Island-Liberty Island,Manhattan,15,688,-74.01643,40.70341,0.78
25,179,Washington Park,NYC Parks,Keep park restroom open to 10pm,Park Slope,Brooklyn,15,703,-73.9846,40.673,0.55
26,413,Samuel Seabury Playground,NYC Parks,Keep park restroom open to 10pm,Upper East Side-Carnegie Hill,Manhattan,14,717,-73.951,40.78546,1
