run,sites_needed
1,176
2,180
3,203
4,157
5,183
6,203
7,157
8,170
9,183
10,187
11,207
12,162
13,188
14,180
15,186
16,166
17,182
18,219
19,168
20,207
21,169
22,159
23,159
24,172
25,178
26,173
27,185
28,185
29,181
30,159
31,201
32,187
33,183
34,191
35,156
36,182
37,175
38,180
39,191
40,188
41,184
42,168
43,174
44,199
45,166
46,177
47,181
48,203
49,213
50,190
51,180
52,196
53,158
54,179
55,199
56,206
57,165
58,196
59,197
60,165
61,193
62,185
63,192
64,181
65,179
66,181
67,178
68,181
69,184
70,184
71,177
72,186
73,187
74,192
75,186
76,179
77,180
78,165
79,181
80,163
81,185
82,187
83,150
84,188
85,183
86,218
87,192
88,184
89,162
90,185
91,173
92,174
93,166
94,183
95,174
96,181
97,186
98,183
99,192
100,182
101,179
102,158
103,172
104,196
105,183
106,182
107,167
108,194
109,190
110,188
111,199
112,176
113,191
114,163
115,186
116,181
117,192
118,155
119,156
120,184
121,181
122,181
123,176
124,158
125,214
126,178
127,215
128,185
129,186
130,167
131,172
132,170
133,224
134,170
135,174
136,157
137,181
138,180
139,176
140,170
141,187
142,187
143,162
144,186
145,159
146,185
147,157
148,186
149,191
150,169
151,194
152,182
153,160
154,184
155,165
156,164
157,171
158,161
159,225
160,167
161,197
162,190
163,183
164,198
165,169
166,155
167,191
168,181
169,165
170,171
171,162
172,195
173,193
174,176
175,213
176,192
177,183
178,194
179,178
180,185
181,187
182,195
183,192
184,186
185,177
186,174
187,184
188,154
189,158
190,182
191,185
192,176
193,164
194,190
195,182
196,164
197,184
198,174
199,161
200,184
201,185
202,182
203,164
204,183
205,216
206,203
207,178
208,175
209,190
210,181
211,188
212,185
213,219
214,162
215,166
216,160
217,165
218,225
219,199
220,214
221,204
222,188
223,179
224,205
225,164
226,182
227,163
228,184
229,178
230,189
231,185
232,153
233,155
234,171
235,164
236,161
237,187
238,182
239,158
240,216
241,162
242,156
243,182
244,160
245,173
246,165
247,174
248,175
249,183
250,178
251,185
252,184
253,175
254,179
255,183
256,186
257,173
258,185
259,190
260,172
261,186
262,177
263,188
264,184
265,197
266,200
267,163
268,186
269,199
270,161
271,184
272,189
273,182
274,160
275,193
276,182
277,180
278,160
279,162
280,157
281,201
282,187
283,203
284,186
285,187
286,173
287,221
288,182
289,190
290,152
291,157
292,190
293,168
294,178
295,187
296,181
297,157
298,215
299,179
300,190
