threshold,hour,radius,park_close,gap_sites,existing,repair,park_hours,other_hours,new_units
0.5,20,400,16,2114,394,51,286,57,138
0.5,20,400,22,762,68,14,0,54,138
0.5,20,500,16,1863,339,44,243,52,75
0.5,20,500,22,412,52,10,0,42,75
0.5,21,400,16,2299,400,51,286,63,138
0.5,21,400,22,875,74,14,0,60,138
0.5,21,500,16,2084,344,44,243,57,76
0.5,21,500,22,527,56,10,0,46,76
0.5,22,400,16,2414,406,51,287,68,138
0.5,22,500,16,2239,350,43,243,64,76
0.67,20,400,16,1248,185,17,130,38,56
0.67,20,400,22,502,38,2,0,36,56
0.67,20,500,16,1028,149,16,103,30,24
0.67,20,500,22,241,25,1,0,24,24
0.67,21,400,16,1433,191,17,130,44,56
0.67,21,400,22,615,44,2,0,42,56
0.67,21,500,16,1247,154,16,103,35,24
0.67,21,500,22,355,29,1,0,28,24
0.67,22,400,16,1520,195,17,130,48,56
0.67,22,500,16,1368,161,15,106,40,24
0.75,20,400,16,906,110,10,64,36,34
0.75,20,400,22,432,33,1,0,32,34
0.75,20,500,16,739,92,11,53,28,13
0.75,20,500,22,205,21,0,0,21,13
0.75,21,400,16,1065,116,10,64,42,34
0.75,21,400,22,545,39,1,0,38,34
0.75,21,500,16,925,97,11,53,33,13
0.75,21,500,22,319,25,0,0,25,13
0.75,22,400,16,1142,119,10,65,44,34
0.75,22,500,16,1026,101,11,55,35,13
