ntaname,type,lon,lat,residents,subway,jobs,dist_2pm_m,dist_9pm_m,poverty,borough,demand_pct,gap_type,n_broken,n_day_only,n_day_only_park,broken_names,day_names,first_action,order,stable_weights,stable_settings
Midtown South-Flatiron-Union Square,busy_street,-73.98988,40.7482,12016,51233354,203038,125,1062,0.188,Manhattan,99,evening-only,0,3,0,"",Herald Square; Greeley Square Park; Penn Station LIRR Restroom,Extend another operator's hours,1,1,1
Midtown-Times Square,busy_street,-73.98717,40.75701,9292,69013975,194672,430,758,0.458,Manhattan,100,evening-only,0,1,1,"",McCaffrey Playground,Keep a nearby park restroom open later,2,1,0.83
Chelsea-Hudson Yards,busy_street,-73.99853,40.75345,14124,27069615,54533,316,903,0.037,Manhattan,88,evening-only,0,3,3,"",Chelsea Park; The High Line Zone 2; Bella Abzug Park,Keep a nearby park restroom open later,3,1,0.83
Midtown South-Flatiron-Union Square,busy_street,-73.98411,40.74334,27358,25386756,96761,359,908,0.2,Manhattan,92,evening-only,0,2,0,"","Madison Square Park APT; Kips Bay Library, NYPL",Extend another operator's hours,4,1,1
Chelsea-Hudson Yards,busy_street,-73.99999,40.74195,27157,34083435,56820,520,736,0.072,Manhattan,94,all-day,0,0,0,"","",Build a new unit,5,1,1
Upper East Side-Lenox Hill-Roosevelt Island,busy_street,-73.95861,40.76846,37309,13007064,29941,350,905,0.044,Manhattan,85,evening-only,0,2,1,"","St. Catherine's Park; 67th Street Library, NYPL",Keep a nearby park restroom open later,6,1,0.83
East Midtown-Turtle Bay,busy_street,-73.968,40.75138,20031,0,39848,79,657,0.087,Manhattan,73,evening-only,0,4,2,"",Robert Moses Playground; MacArthur Playground; Dag Hammarskjold Food Kiosk; 805 Third Avenue POPS,Keep a nearby park restroom open later,7,0.99,0.64
Gramercy,busy_street,-73.98097,40.73332,33129,9224266,18247,274,830,0.098,Manhattan,85,evening-only,0,1,1,"",Augustus St. Gaudens Playground,Keep a nearby park restroom open later,8,1,0.83
Midtown-Times Square,busy_street,-73.98299,40.7652,21852,46926767,90404,469,658,0.077,Manhattan,93,evening-only,0,2,1,"",Central Park West; 825 Eighth Avenue POPS,Keep a nearby park restroom open later,9,1,1
Harlem (South),busy_street,-73.94707,40.80932,25463,9687632,9400,326,2225,0.187,Manhattan,85,evening-only,1,2,1,St. Nicholas Playground South,"Langston Hughes Playground; Harlem Library, NYPL",Repair or reopen nearby,10,1,0.83
Upper East Side-Carnegie Hill,busy_street,-73.95235,40.78107,46073,17663785,17007,501,1431,0.034,Manhattan,79,all-day,0,0,0,"","",Build a new unit,11,1,1
Chelsea-Hudson Yards,busy_street,-73.9972,40.74629,24708,11849348,50808,499,955,0.144,Manhattan,91,evening-only,0,1,1,"",Chelsea Park,Keep a nearby park restroom open later,12,1,1
