pilot,loo_pct_A,loo_pct_B
Yankee Stadium,90,87
Admiral Farragut Playground,69,71
Mapes Park,75,88
Monsignor Raul Del Valle Square,95,97
Columbus Park,78,75
Milestone Park,94,95
Fulton Street and Truxton Street,99,99
Avenue C Plaza,98,99
Astoria Boulevard South and 31st Street,76,79
Northern Boulevard and 31st Street,85,94
Northern Boulevard and 54th Street,90,89
34th Avenue and 64th Street,87,82
Cooper Square,92,91
Malcolm X Plaza,86,87
Delancey Street and Suffolk Street,99,82
Plaza Alianza Dominicana,96,96
North Shore Esplanade,62,73
