ntaname,type,lon,lat,residents,subway,dist_2pm_m,dist_9pm_m,poverty,n_open_2pm_500m,n_open_9pm_500m,n_park_placeholder_500m,n_broken_500m,broken_names,stable_revealed,stable_any,rank,reality_lens,borough
Chelsea-Hudson Yards,busy_street,-73.99778,40.745,28417,20049875,598,973,0.144,0,0,0,0,"",1,1,1,Build: no restroom within 500 m,Manhattan
Midtown-Times Square,busy_street,-73.98435,40.75828,9332,94957703,491,562,0.458,2,0,1,0,"",1,0.98,2,Extend park hours nearby first,Manhattan
Midtown-Times Square,busy_street,-73.9886,40.75505,7710,61633928,511,885,0.544,0,0,0,0,"",1,0.97,3,Build: no restroom within 500 m,Manhattan
East Village,busy_street,-73.98606,40.73282,34759,33754926,456,517,0.187,3,0,2,0,"",1,0.99,4,Extend park hours nearby first,Manhattan
Chelsea-Hudson Yards,busy_street,-73.99942,40.74018,25598,25533762,467,738,0.072,1,0,1,0,"",1,0.99,5,Extend park hours nearby first,Manhattan
Midtown South-Flatiron-Union Square,busy_street,-73.98299,40.74764,18605,32932583,472,620,0.135,4,0,0,0,"",1,0.96,6,Existing restroom closes early: extend other operator's hours,Manhattan
Midtown-Times Square,busy_street,-73.98299,40.7652,21852,46926767,469,658,0.077,2,0,1,0,"",1,0.75,7,Extend park hours nearby first,Manhattan
Murray Hill-Kips Bay,busy_street,-73.97284,40.75009,25264,36369834,379,505,0.1,3,0,1,0,"",1,0.8,8,Extend park hours nearby first,Manhattan
Greenwich Village,busy_street,-73.99442,40.73634,25586,36046003,382,382,0.106,4,1,1,0,"",1,0.84,9,Covered day and evening: lower priority,Manhattan
Midtown South-Flatiron-Union Square,busy_street,-73.9901,40.74494,15833,21155463,422,943,0.136,2,0,0,0,"",1,0.96,10,Existing restroom closes early: extend other operator's hours,Manhattan
Upper East Side-Yorkville,busy_street,-73.95056,40.77949,49936,17663785,632,1478,0.067,0,0,0,0,"",1,0.78,11,Build: no restroom within 500 m,Manhattan
Jackson Heights,busy_street,-73.8716,40.74893,25582,11461377,761,1972,0.296,0,0,0,0,"",0.99,0.78,12,Build: no restroom within 500 m,Queens
Upper East Side-Lenox Hill-Roosevelt Island,busy_street,-73.9632,40.76217,30599,16726007,421,421,0.016,2,1,0,1,Twenty-Four Sycamores Park,0.99,0.68,13,Repair or reopen nearby first,Manhattan
Long Island City-Hunters Point,busy_street,-73.93946,40.74817,11018,14208738,804,2129,0.102,0,0,0,0,"",0.99,0.74,14,Build: no restroom within 500 m,Queens
Upper East Side-Carnegie Hill,busy_street,-73.96036,40.77009,31921,19610817,520,675,0.031,0,0,0,0,"",0.97,0.49,15,Build: no restroom within 500 m,Manhattan
Gravesend (East)-Homecrest,park,-73.95822,40.60445,11692,4503120,777,3804,0.321,0,0,0,0,"",0.99,0.72,16,Build: no restroom within 500 m,Brooklyn
Chelsea-Hudson Yards,busy_street,-73.99523,40.75542,15898,20316282,390,968,0.15,1,0,1,0,"",1,0.93,17,Extend park hours nearby first,Manhattan
