ntaname,share_revealed_draws,share_any_weights,revealed_by_pilots,equal_law_factors,footfall_heavy,transit_heavy,equity_heavy,access_heavy,no_population,named_count,stability
Chelsea-Hudson Yards,1,0.996,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
East Village,1,0.994,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Midtown-Times Square,1,0.9925,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Midtown South-Flatiron-Union Square,1,0.9775,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
East Harlem (North),1,0.924,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Upper East Side-Carnegie Hill,1,0.9105,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Flushing-Willets Point,1,0.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Williamsburg,0.9995,0.8735,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Harlem (South),0.9995,0.856,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
East Harlem (South),0.9985,0.937,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Murray Hill-Kips Bay,0.9985,0.7955,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,6,robust
Washington Heights (South),0.998,0.8435,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Jackson Heights,0.996,0.683,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Upper East Side-Yorkville,0.9925,0.716,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,6,robust
East Midtown-Turtle Bay,0.9915,0.776,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,6,robust
Upper West Side-Lincoln Square,0.9895,0.945,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Gravesend (East)-Homecrest,0.989,0.7175,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Mott Haven-Port Morris,0.9875,0.7625,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Inwood,0.9735,0.7515,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Long Island City-Hunters Point,0.968,0.411,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,4,robust to model uncertainty only
Upper East Side-Lenox Hill-Roosevelt Island,0.9585,0.8445,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,5,robust
Tribeca-Civic Center,0.9515,0.7485,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,robust
University Heights (South)-Morris Heights,0.9495,0.6365,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,robust
Financial District-Battery Park City,0.946,0.503,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,4,robust
Fordham Heights,0.865,0.644,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,robust
Greenwich Village,0.855,0.7655,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,6,robust
Washington Heights (North),0.803,0.427,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,robust to model uncertainty only
Park Slope,0.7685,0.158,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,depends on weights
Sunnyside,0.698,0.741,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,depends on weights
Elmhurst,0.645,0.583,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,5,depends on weights
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,0.581,0.094,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,depends on weights
Ridgewood,0.492,0.0755,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,weak
Upper West Side (Central),0.41,0.222,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Morningside Heights,0.328,0.6935,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,4,weak
Gramercy,0.3225,0.751,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,4,weak
Mapleton-Midwood (West),0.204,0.042,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
