ntaname,share_revealed_draws,share_any_weights,revealed_by_pilots,equal_law_factors,footfall_heavy,transit_heavy,equity_heavy,access_heavy,no_population,named_count,stability
Flushing-Willets Point,1,0.9995,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Williamsburg,1,0.9835,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Chelsea-Hudson Yards,1,0.964,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Midtown-Times Square,1,0.935,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
University Heights (South)-Morris Heights,1,0.93,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Jackson Heights,1,0.9235,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Mott Haven-Port Morris,1,0.8985,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Bedford-Stuyvesant (West),0.9995,0.9125,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Midtown South-Flatiron-Union Square,0.9995,0.881,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Long Island City-Hunters Point,0.9995,0.874,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Park Slope,0.9995,0.838,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,6,robust
East Village,0.999,0.9225,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Sunnyside,0.9985,0.9975,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Gravesend (East)-Homecrest,0.9965,0.9605,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Fordham Heights,0.992,0.8945,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Downtown Brooklyn-DUMBO-Boerum Hill,0.99,0.852,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Ridgewood,0.987,0.3605,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,4,robust to model uncertainty only
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,0.9855,0.422,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,5,robust to model uncertainty only
Forest Hills,0.9745,0.6205,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,5,robust
Ozone Park,0.957,0.474,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5,robust to model uncertainty only
Mapleton-Midwood (West),0.957,0.3875,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,robust to model uncertainty only
Yankee Stadium-Macombs Dam Park,0.955,0.693,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Elmhurst,0.947,0.9475,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
St. George-New Brighton,0.934,0.9125,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,robust
Bedford Park,0.906,0.2435,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,robust to model uncertainty only
Flushing Meadows-Corona Park,0.902,0.4655,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,robust to model uncertainty only
Concourse-Concourse Village,0.895,0.8715,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,6,robust
South Williamsburg,0.809,0.798,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,robust
Brighton Beach,0.807,0.4165,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,robust to model uncertainty only
New Springville-Willowbrook-Bulls Head-Travis,0.771,0.1675,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,depends on weights
Crotona Park East,0.766,0.1245,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,depends on weights
Murray Hill-Kips Bay,0.7375,0.376,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4,depends on weights
Greenwich Village,0.6485,0.248,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4,depends on weights
