"trackerid","fmsid","title","summary","currentphase","designpercentcomplete","procurementpercentcomplete","constructionpercentcomplete","designstart","designprojectedcompletion","designadjustedcompletion","designactualcompletion","procurementstart","procurementprojectedcompletion","totalfunding","projectliaison","lastupdated","fundingsource","name","parkid","latitude","longitude","borough","procurementactualcompletion","constructionstart","constructionprojectedcom","constructionadjustedcompletion","constructionactualcompletion","procurementadjustedcompletion"
"10438","846 P-405VITO","Uncle Vito F. Maranzano Glendale Playground Reconstruction","This project will reconstruct Uncle Vito F. Maranzano Glendale Playground.","design","100.0","0.0","0.0","2023-05-01T00:00:00.000","2024-10-01T00:00:00.000","2025-02-01T00:00:00.000","2025-02-01T00:00:00.000","2025-04-01T00:00:00.000","2026-04-01T00:00:00.000","Between $5 million and $10 million","Meira Berkower","2026-09-16T00:00:00.000","City Council","Central Avenue between 70th and 71st Street","Q290","40.704964","-73.881725","Queens",,,,,,
"9578","846 P-3PHILSQ","A. Philip Randolph Square Reconstruction","This project will reconstruct A. Philip Randolph Square and adjacent sidewalks and intersections.","design","50.0","0.0","0.0","2024-10-01T00:00:00.000","2026-04-01T00:00:00.000","2026-10-01T00:00:00.000",,,,"Greater than $10 million","Steve Simon","2026-09-16T00:00:00.000","Borough PresidentCity CouncilMayoral","Adam Clayton Powell Jr. Boulevard, St. Nicholas Avenue, West 117th Street","M021","40.80389428","-73.95241824","Manhattan",,,,,,
"2004111",,"ARROW Recreation Center Roof Reconstruction","WORK TO BE COMPLETED: Work at ARROW Recreation Center will include removals, partial roof decking replacement as needed, new roof, metal flashing, and painting as needed, replacement of electrical fixtures and plumbing fixtures, exterior facade refinishing and repointing of architectural stone and brick. Construction fence, and sidewalk shed where necessary to be set up around the building, asbestos and lead paint testing and removal to be performed prior to the start of work.","proposed","0.0","0.0","0.0",,"2026-09-01T00:00:00.000",,,,,"Between $1 million and $3 million","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral",,"Q470","40.7558779","-73.9263818","Queens",,,,,,
"1004111","846 P-4PL15A1","Arrow Recreation Center Playground Reconstruction","This project will reconstruct the playground at Arrow Recreation Center.","completed","100.0","100.0","100.0","2015-03-01T00:00:00.000","2015-08-01T00:00:00.000",,"2015-09-01T00:00:00.000","2016-04-01T00:00:00.000","2016-09-01T00:00:00.000","$150,000","Meira Berkower","2026-09-16T00:00:00.000","Mayoral",,"Q470","40.755839","-73.926293","Queens","2016-09-01T00:00:00.000","2017-03-01T00:00:00.000","2017-08-01T00:00:00.000","2018-04-01T00:00:00.000","2018-03-01T00:00:00.000",
"10687","846 P-303ABCP","ABC Playground Reconstruction","This project will reconstruct ABC Playground.","design","90.0","0.0","0.0","2026-02-01T00:00:00.000","2026-07-01T00:00:00.000",,,,,"Between $5 million and $10 million","Steve Simon","2026-09-16T00:00:00.000","City CouncilMayoral","East Houston Street between Essex and Norfolk Streets","M116","40.72180529","-73.98596377","Manhattan",,,,,,
"7121",,"Abe Stark Ice Rink Electrical System Reconstruction (Hurricane Sandy)","This project will reconstruct and elevate the electrical equipment damaged by Hurricane Sandy at Abe Stark Ice Rink.","proposed","0.0","0.0","0.0",,,,,,,"Between $1 million and $3 million","James Morris","2026-09-16T00:00:00.000","FederalMayoral","Coney Island Boardwalk and West 19th Street.","B336","40.57303387","-73.98582272","Brooklyn",,,,,,
"6259","846 P-6ROOF14","Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M)","This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.","completed","100.0","100.0","100.0","2013-12-01T00:00:00.000","2014-01-01T00:00:00.000",,"2014-02-01T00:00:00.000","2014-02-01T00:00:00.000","2014-11-01T00:00:00.000","$1,570,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","E 156 St bet Tinton Av & Union Av","X216","40.817299","-73.904724","Bronx, Queens","2016-03-01T00:00:00.000","2016-04-01T00:00:00.000","2019-04-01T00:00:00.000",,"2019-04-01T00:00:00.000","2016-05-01T00:00:00.000"
"6259","846 P-6ROOF14","Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M)","This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.","completed","100.0","100.0","100.0","2013-12-01T00:00:00.000","2014-01-01T00:00:00.000",,"2014-02-01T00:00:00.000","2014-02-01T00:00:00.000","2014-11-01T00:00:00.000","$1,570,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","Rockaway Boardwalk bet B 60 St & B 59 St","Q162E","40.58915","-73.789019","Bronx, Queens","2016-03-01T00:00:00.000","2016-04-01T00:00:00.000","2019-04-01T00:00:00.000",,"2019-04-01T00:00:00.000","2016-05-01T00:00:00.000"
"6259","846 P-6ROOF14","Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M)","This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.","completed","100.0","100.0","100.0","2013-12-01T00:00:00.000","2014-01-01T00:00:00.000",,"2014-02-01T00:00:00.000","2014-02-01T00:00:00.000","2014-11-01T00:00:00.000","$1,570,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","Grand Central Parkway., Whitestone Expressway between 111 Street and College Point Boulevard, Park Drive E","Q099","40.753564","-73.838031","Bronx, Queens","2016-03-01T00:00:00.000","2016-04-01T00:00:00.000","2019-04-01T00:00:00.000",,"2019-04-01T00:00:00.000","2016-05-01T00:00:00.000"
"6259","846 P-6ROOF14","Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M)","This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.","completed","100.0","100.0","100.0","2013-12-01T00:00:00.000","2014-01-01T00:00:00.000",,"2014-02-01T00:00:00.000","2014-02-01T00:00:00.000","2014-11-01T00:00:00.000","$1,570,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","Health Place & Highland Boulevard","Q020","40.683167","-73.892921","Bronx, Queens","2016-03-01T00:00:00.000","2016-04-01T00:00:00.000","2019-04-01T00:00:00.000",,"2019-04-01T00:00:00.000","2016-05-01T00:00:00.000"
