"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate"
"BK0101","Greenpoint",15,"Brooklyn",1,39784,19771,3658,3127,3579,39631,39755,129172,13,0.0903080921500845,0.0919465111602654,0.0786567727329896
"BK0102","Williamsburg",13,"Brooklyn",1,66612,30352,4503,5656,8684,66396,66590,153299,13,0.130791011506717,0.0676004323545307,0.0849376783300796
"BK0103","South Williamsburg",10,"Brooklyn",1,50948,11859,4599,3504,19588,50636,50766,47324,9,0.386839402796429,0.0902685090680694,0.0690225741638104
"BK0104","East Williamsburg",16,"Brooklyn",1,50775,23726,6751,7655,12174,50611,50762,96897,15,0.240540593942028,0.132959133431807,0.150801780859698
"BK0201","Brooklyn Heights",6,"Brooklyn",1,26031,12601,4704,1969,1161,24286,26031,181460,6,0.0478053199374125,0.180707617840267,0.0756405823825439
"BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",11,"Brooklyn",1,39977,19883,3674,3209,5785,39280,39784,168047,11,0.147275967413442,0.0919028441353778,0.0806605670621355
"BK0203","Fort Greene",11,"Brooklyn",1,33180,15102,4682,4506,5304,31819,32463,121467,10,0.166692856469405,0.141109101868596,0.138804177063118
"BK0204","Clinton Hill",7,"Brooklyn",1,29205,13664,3553,2544,2641,26882,29175,129174,7,0.0982441782605461,0.12165725047081,0.0871979434447301
"BK0261","Brooklyn Navy Yard",1,"Brooklyn",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BK0301","Bedford-Stuyvesant (West)",21,"Brooklyn",1,90068,34580,6488,9254,23328,89823,89920,95171,20,0.259710764503524,0.0720344628502909,0.102913701067616
"BK0302","Bedford-Stuyvesant (East)",23,"Brooklyn",1,92769,37000,11868,11878,23572,92279,92407,76390,23,0.255442733449647,0.127930666494195,0.128540045667536
"BK0401","Bushwick (West)",13,"Brooklyn",1,52698,22293,3892,5530,9610,52404,52442,93387,13,0.183382947866575,0.0738547952483965,0.1054498302887
