"geoid","pop_total","pop_moe","med_hh_income","households","pov_universe","pov_below","poverty_rate","pop_65plus","pct_65plus","dis_universe","pop_disabled","pop_disabled_65plus","disability_rate","borocode","acs_year"
"36005000100",2950,1354,NA,0,0,0,NA,91,0.0308474576271186,0,0,0,NA,"2","2020-2024 5yr"
"36005000200",5061,683,123729,1416,5061,652,0.128828294803399,753,0.148784825133373,5061,702,252,0.138707765263782,"2","2020-2024 5yr"
"36005000400",6649,974,105924,2218,6649,297,0.0446683711836366,935,0.14062265002256,6649,935,281,0.14062265002256,"2","2020-2024 5yr"
"36005001600",5611,602,52147,2083,5329,808,0.151623193844999,1215,0.216538941365176,5412,1105,442,0.204175905395418,"2","2020-2024 5yr"
"36005001901",2260,308,58083,1149,2258,507,0.224534986713906,73,0.0323008849557522,2259,401,73,0.17751217352811,"2","2020-2024 5yr"
"36005001902",2079,359,48953,624,2040,807,0.395588235294118,66,0.0317460317460317,2069,253,45,0.122281295311745,"2","2020-2024 5yr"
"36005001903",0,14,NA,0,0,0,NA,0,NA,0,0,0,NA,"2","2020-2024 5yr"
"36005001904",0,14,NA,0,0,0,NA,0,NA,0,0,0,NA,"2","2020-2024 5yr"
"36005002001",4199,805,22311,1729,4113,2155,0.523948456114758,648,0.15432245772803,4199,1211,428,0.288402000476304,"2","2020-2024 5yr"
"36005002002",3609,807,18649,1808,3551,1526,0.429738101943115,1163,0.322249930728734,3609,1171,586,0.324466611249654,"2","2020-2024 5yr"
"36005002300",4567,632,16332,1904,4567,2754,0.603021677249836,561,0.122837749069411,4567,1208,307,0.264506240420407,"2","2020-2024 5yr"
"36005002400",105,9,NA,0,105,78,0.742857142857143,0,0,105,14,0,0.133333333333333,"2","2020-2024 5yr"
"36005002500",5117,609,35582,1872,5111,2292,0.448444531402857,523,0.102208325190541,5117,975,388,0.190541332812195,"2","2020-2024 5yr"
"36005002701",3111,536,20266,1197,3083,1441,0.467401881284463,628,0.201864352298296,3111,754,492,0.242365798778528,"2","2020-2024 5yr"
"36005002702",4798,604,30895,1528,4788,2206,0.460735171261487,424,0.0883701542309296,4798,997,343,0.207794914547728,"2","2020-2024 5yr"
"36005002800",5462,809,58068,2806,5462,449,0.0822043207616258,853,0.156169901135115,5462,1376,461,0.251922372757232,"2","2020-2024 5yr"
"36005003100",2788,466,59297,1162,2788,612,0.219512195121951,237,0.0850071736011478,2788,282,83,0.101147776183644,"2","2020-2024 5yr"
"36005003300",3577,759,31289,1243,3577,1547,0.432485322896282,535,0.149566675985463,3577,607,336,0.169695275370422,"2","2020-2024 5yr"
"36005003500",3481,794,36569,1428,3481,780,0.224073542085608,473,0.135880494110888,3481,980,334,0.281528296466533,"2","2020-2024 5yr"
"36005003700",418,222,53029,149,387,116,0.299741602067183,34,0.0813397129186603,418,82,26,0.196172248803828,"2","2020-2024 5yr"
"36005003800",1250,322,54214,392,1210,391,0.323140495867769,197,0.1576,1250,209,78,0.1672,"2","2020-2024 5yr"
"36005003900",5581,930,25625,2197,5567,2065,0.370935872103467,876,0.156961118079197,5581,1159,484,0.207668876545422,"2","2020-2024 5yr"
"36005004001",1294,243,78935,489,1294,111,0.0857805255023184,373,0.288253477588872,1294,161,67,0.124420401854714,"2","2020-2024 5yr"
"36005004100",6162,1109,14592,2468,6143,3311,0.538987465407781,748,0.121389159363843,6105,1726,692,0.282719082719083,"2","2020-2024 5yr"
"36005004200",7755,881,55404,2839,7755,1214,0.156544165054803,1273,0.164152159896841,7724,1165,528,0.150828586224754,"2","2020-2024 5yr"
"36005004300",5400,659,23393,2230,5400,2546,0.471481481481482,796,0.147407407407407,5400,1508,454,0.279259259259259,"2","2020-2024 5yr"
"36005004400",4303,572,24375,1539,4118,1573,0.381981544439048,598,0.138972809667674,4118,591,246,0.143516270033997,"2","2020-2024 5yr"
"36005004600",1478,314,30714,664,1403,721,0.513898788310763,298,0.201623815967524,1478,389,175,0.26319350473613,"2","2020-2024 5yr"
"36005004800",4204,644,35870,1498,4204,1072,0.25499524262607,424,0.100856327307326,4204,496,119,0.117982873453853,"2","2020-2024 5yr"
"36005005001",4878,681,33632,1406,4852,2714,0.559356966199505,382,0.0783107831078311,4878,593,117,0.121566215662157,"2","2020-2024 5yr"
"36005005002",6275,1225,34688,1880,6151,2360,0.383677450821005,474,0.0755378486055777,6275,499,206,0.0795219123505976,"2","2020-2024 5yr"
"36005005100",7261,953,25851,2930,7261,2772,0.381765597025203,1240,0.170775375292659,7261,2208,968,0.304090345682413,"2","2020-2024 5yr"
"36005005200",1837,289,39743,813,1837,696,0.378878606423517,289,0.157321720195972,1837,317,78,0.172563962983125,"2","2020-2024 5yr"
"36005005300",4065,858,20608,1614,4065,2597,0.638868388683887,359,0.0883148831488315,4065,963,139,0.23690036900369,"2","2020-2024 5yr"
"36005005400",5482,911,54884,1756,5482,1362,0.248449470995987,484,0.0882889456402773,5482,428,240,0.0780736957314849,"2","2020-2024 5yr"
"36005005600",2501,490,41684,1006,2501,1093,0.43702518992403,466,0.186325469812075,2501,321,189,0.128348660535786,"2","2020-2024 5yr"
"36005005902",3019,478,51364,1288,3019,1030,0.341172573699901,486,0.160980457105002,3019,424,196,0.140443855581318,"2","2020-2024 5yr"
"36005006000",1280,344,78269,386,1264,183,0.144778481012658,203,0.15859375,1280,128,53,0.1,"2","2020-2024 5yr"
"36005006100",3369,677,72123,1875,3351,359,0.10713219934348,917,0.272187592757495,3369,947,393,0.281092312258831,"2","2020-2024 5yr"
"36005006200",6363,1077,27453,2544,6363,2998,0.471161401854471,978,0.153701084394154,6363,1025,388,0.161087537325161,"2","2020-2024 5yr"
"36005006301",7053,1061,59924,3045,7038,2425,0.344558113100313,889,0.12604565433149,7053,997,413,0.141358287253651,"2","2020-2024 5yr"
"36005006302",0,14,NA,0,0,0,NA,0,NA,0,0,0,NA,"2","2020-2024 5yr"
"36005006400",4194,609,41429,1574,4054,1671,0.412185495806611,441,0.105150214592275,4194,420,175,0.100143061516452,"2","2020-2024 5yr"
"36005006500",5024,1013,22740,2245,4980,2702,0.542570281124498,513,0.102109872611465,5008,707,133,0.141174121405751,"2","2020-2024 5yr"
"36005006700",7664,2163,30191,2640,7588,4164,0.548761201897733,781,0.101905010438413,7664,2566,472,0.334812108559499,"2","2020-2024 5yr"
