"w_geocode","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05","createdate","county","tract"
"360050001001000",1292,155,843,294,57,133,1102,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1290,719,411,11,122,2,27,972,320,154,192,342,449,540,752,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000100"
"360050001001001",1844,220,1182,442,78,199,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1844,1028,589,13,167,4,43,1387,457,194,330,496,604,775,1069,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000100"
"360050001001003",3945,467,2542,936,178,396,3371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945,2157,1287,38,363,8,92,2969,976,395,697,1022,1364,1661,2284,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000100"
"360050002001000",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000200"
"360050002001002",2,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000200"
"360050002001004",16,7,9,0,6,9,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,12,4,1,4,1,3,6,10,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000200"
"360050002002002",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000200"
"360050002002003",3,1,2,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000200"
"360050002002006",8,0,7,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,7,0,0,0,0,7,1,0,3,4,1,3,5,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000200"
"360050002002008",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000200"
"360050002003000",2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000200"
"360050002003001",1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000200"
"360050002003013",5,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,3,2,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000200"
"360050002003014",11,3,7,1,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,5,0,0,0,0,6,5,3,2,3,0,7,4,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000200"
"360050002003022",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000200"
"360050004001000",304,35,191,78,44,231,29,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,298,0,0,1,0,211,73,8,4,1,7,39,265,96,67,65,41,66,238,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050004001001",2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050004001003",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050004002002",308,75,181,52,45,62,201,0,0,0,0,0,0,0,77,0,0,0,0,0,0,227,4,0,0,0,0,172,98,5,21,6,6,191,117,37,60,52,84,152,156,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050004002003",2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050004002005",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
