"locationid","nta2020","w_from"
2,"QN8491",0.651388680939055
2,"BK5692",0.345731762474187
2,"QN1403",0.0028795565867585
3,"BX1103",0.946713464292163
3,"BX1104",0.0532865357078371
4,"MN0303",1
5,"SI0303",0.770526166116657
5,"SI0304",0.229473833883343
6,"SI0201",0.749933143785441
6,"SI9561",0.240446521963024
6,"SI0103",0.00962033425153514
7,"QN0104",0.469793669845396
7,"QN0103",0.38613278220328
7,"QN0105",0.109420402571502
7,"QN0102",0.034653145379822
8,"QN0191",1
9,"QN1101",0.996812856317678
9,"QN0803",0.00318714368232165
10,"QN1203",1
11,"BK1102",1
12,"MN0191",0.981354559385212
12,"MN0101",0.0186454406147882
13,"MN0101",1
14,"BK1001",0.87378340257273
14,"BK1061",0.12621659742727
15,"QN0703",0.848294393143341
15,"QN0761",0.150212447178264
15,"QN0702",0.0014931596783949
16,"QN1102",0.733563994304613
16,"QN1101",0.265161529586369
16,"QN1104",0.00068597707186197
16,"QN0891",0.00058849903715591
17,"BK0301",0.889078861145548
17,"BK0103",0.110921138854452
18,"BX0702",0.646301514990238
18,"BX0701",0.232002016804571
18,"BX0503",0.121696468205192
19,"QN1302",0.999130423004862
19,"QN1103",0.00086957699513818
20,"BX0603",1
21,"BK1103",0.82378316385675
21,"BK1101",0.17621683614325
22,"BK1101",0.907039024643172
22,"BK1103",0.0929609753568276
23,"SI0204",0.834614460029144
23,"SI0203",0.158887942907491
23,"SI0107",0.00289370258081465
23,"SI0105",0.00245786709338595
23,"SI0291",0.00114602738916371
24,"MN0703",1
25,"BK0202",0.620649413595145
25,"BK0601",0.376840423028258
25,"BK0201",0.00251016337659761
26,"BK1202",0.749584449706393
26,"BK1204",0.18502985000429
26,"BK1201",0.0653857002893174
27,"QN8492",0.722773639438361
27,"QN1403",0.277226360561639
28,"QN0805",0.927445538366353
28,"QN1201",0.0645444138494442
28,"QN8191",0.0064695893247694
28,"QN0801",0.000884936637429553
28,"QN0901",0.000655521822003406
29,"BK1303",0.789366250546305
29,"BK1301",0.210633749453695
30,"QN1403",0.991187555671731
30,"QN8491",0.00881244432826927
31,"BX2791",0.992841639019489
31,"BX0601",0.00639094365381705
31,"BX0603",0.000767417326694481
32,"BX1104",0.925074272564898
32,"BX1201",0.0732030535303922
32,"BX1103",0.001199791988144
32,"BX2791",0.000522881916566051
33,"BK0201",0.904516909820953
33,"MN0101",0.0930481405917981
33,"BK0601",0.00243494958724869
34,"BK0261",0.901126757042148
34,"BK0203",0.0952668680873382
34,"BK0202",0.00216094576388772
34,"MN0302",0.00144542910662568
35,"BK1602",0.940935054101576
35,"BK1704",0.0590649458984244
36,"BK0401",0.484782368408292
36,"BK0402",0.373846400233002
36,"BK0104",0.137541103963795
36,"BK0471",0.00311043407257675
36,"QN0574",0.00071969332233425
37,"BK0402",0.406768398305064
37,"BK0401",0.241021970517946
37,"BK0104",0.212297481464634
37,"BK0471",0.12027916744595
37,"BK0302",0.0196329822664053
38,"QN1304",1
39,"BK1803",0.859921185088618
39,"BK1893",0.140078814911382
40,"BK0601",1
41,"MN1001",0.998953201821088
41,"MN1102",0.0010467981789123
42,"MN1002",0.936613876765748
42,"MN1102",0.0633861232342525
43,"MN6491",1
44,"SI0305",0.869194121170582
44,"SI0304",0.130805878829418
45,"MN0301",0.772201750825462
45,"MN0102",0.212541447154745
45,"MN0101",0.0152568020197935
46,"BX1003",0.717641584956379
46,"BX1071",0.282358415043621
47,"BX0302",0.606525517293803
47,"BX0602",0.268450454232145
47,"BX0603",0.125024028474053
48,"MN0402",1
49,"BK0204",0.709587927897162
49,"BK0301",0.290412072102838
50,"MN0402",1
51,"BX1004",0.728145687767476
51,"BX1202",0.264259824966958
51,"BX2891",0.00759448726556634
52,"BK0601",1
53,"QN0701",0.993819859349253
53,"QN0704",0.00366564771065261
53,"QN0707",0.0025144929400942
54,"BK0601",0.782398122082122
54,"MN0191",0.217601877917878
55,"BK1302",1
56,"QN0402",0.959848745347147
56,"QN0303",0.0340850982844191
56,"QN0602",0.0048759756102012
56,"QN8191",0.00119018075823289
58,"BX1003",1
59,"BX0391",1
60,"BX0303",0.789948036189468
60,"BX0601",0.208959425579282
60,"BX0202",0.000560123296411739
60,"BX0901",0.000532414934837666
61,"BK0802",0.685948015016103
