"approx_date_closed","approx_date_reopened","bin","borough","editdate","gispropnum","omppropid","parkdistrict","status","system","closuretype","doittid","polygon.type","polygon.coordinates"
"2020-06-01T17:43:35.000","2020-06-21T00:00:00.000","2118252","X","2020-08-12T21:58:09.000","X108","X108","X-06","Reopened","X108-BLG0832",,,"Polygon","[[[-73.8874,40.8507],[-73.8875,40.8506],[-73.8875,40.8506],[-73.8875,40.8507],[-73.8874,40.8507]]]"
"2020-06-01T16:54:29.000",,"3144249","B","2020-08-12T21:58:09.000","B066","B066","B-10","COVID-19 Closure","B066-BLG1112","Completely Locked",,"Polygon","[[[-74.032,40.6393],[-74.032,40.6393],[-74.032,40.6393],[-74.0319,40.6393],[-74.0319,40.6392],[-74.032,40.6393],[-74.032,40.6393],[-74.032,40.6393],[-74.032,40.6393],[-74.0321,40.6393],[-74.0321,40.6393],[-74.032,40.6393],[-74.032,40.6393]]]"
"2020-05-14T13:12:45.000","2020-06-22T00:00:00.000","3347243","B","2020-08-12T21:58:09.000","B073","B073-20","B-19","Reopened","B073-ZN04-BLG1244",,,"Polygon","[[[-73.9766,40.6636],[-73.9765,40.6635],[-73.9765,40.6635],[-73.9765,40.6635],[-73.9765,40.6635],[-73.9765,40.6635],[-73.9765,40.6635],[-73.9765,40.6636],[-73.9764,40.6635],[-73.9764,40.6635],[-73.9764,40.6635],[-73.9764,40.6635],[-73.9764,40.6635],[-73.9764,40.6635],[-73.9764,40.6635],[-73.9764,40.6635],[-73.9765,40.6634],[-73.9765,40.6635],[-73.9765,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9766,40.6634],[-73.9767,40.6634],[-73.9767,40.6634],[-73.9767,40.6633],[-73.9767,40.6633],[-73.9767,40.6633],[-73.9766,40.6633],[-73.9767,40.6633],[-73.9766,40.6632],[-73.9767,40.6632],[-73.9767,40.6632],[-73.9767,40.6632],[-73.9767,40.6632],[-73.9767,40.6632],[-73.9767,40.6632],[-73.9767,40.6632],[-73.9768,40.6632],[-73.9768,40.6632],[-73.9768,40.6632],[-73.9768,40.6632],[-73.9768,40.6632],[-73.9768,40.6632],[-73.9768,40.6632],[-73.9768,40.6632],[-73.9769,40.6633],[-73.9768,40.6634],[-73.9768,40.6634],[-73.9767,40.6635],[-73.9767,40.6635],[-73.9766,40.6636]]]"
"2020-05-12T14:42:56.000",,,"M","2020-08-12T21:58:09.000","M065","M065","M-03","UnderConstruction","M065-BLG0001","Completely Locked",,"Polygon","[[[-73.9816,40.7159],[-73.9816,40.716],[-73.9815,40.716],[-73.9816,40.7159],[-73.9816,40.7159]]]"
"2020-05-12T14:42:55.000","2020-06-23T00:00:00.000",,"B","2020-08-12T21:58:09.000","B395","B395","B-04","Reopened","B395-BLG0001",,,"Polygon","[[[-73.9335,40.7022],[-73.9334,40.7021],[-73.9335,40.7021],[-73.9336,40.7021],[-73.9335,40.7022]]]"
"2020-05-29T14:03:07.000","2020-06-22T00:00:00.000","3347138","B","2020-08-12T21:58:09.000","B251","B251-ZN02","B-15","Reopened","B251-ZN02-BLG1172","Completely Locked","667519","Polygon","[[[-73.9436,40.5769],[-73.9436,40.5769],[-73.9437,40.5769],[-73.9436,40.5769],[-73.9436,40.5769],[-73.9438,40.5769],[-73.9438,40.5769],[-73.944,40.5769],[-73.944,40.5769],[-73.9442,40.5769],[-73.9441,40.5768],[-73.9444,40.5768],[-73.9444,40.5768],[-73.9445,40.5768],[-73.9445,40.5768],[-73.9446,40.5768],[-73.9446,40.5768],[-73.9446,40.5769],[-73.9446,40.5769],[-73.9446,40.5771],[-73.9442,40.5771],[-73.9442,40.5771],[-73.9441,40.5771],[-73.944,40.5771],[-73.9437,40.5772],[-73.9436,40.5772],[-73.9436,40.577],[-73.9436,40.577],[-73.9436,40.5769],[-73.9436,40.5769]],[[-73.9437,40.5771],[-73.944,40.5771],[-73.944,40.5771],[-73.9442,40.577],[-73.9442,40.5771],[-73.9446,40.5771],[-73.9446,40.577],[-73.9442,40.5771],[-73.9442,40.5771],[-73.9446,40.577],[-73.9446,40.577],[-73.9442,40.577],[-73.9442,40.577],[-73.9446,40.577],[-73.9446,40.577],[-73.9442,40.577],[-73.9442,40.577],[-73.9446,40.5769],[-73.9446,40.5769],[-73.9442,40.577],[-73.9442,40.5769],[-73.9445,40.5769],[-73.9445,40.5769],[-73.9442,40.5769],[-73.9442,40.577],[-73.944,40.577],[-73.944,40.5769],[-73.9439,40.5769],[-73.9437,40.577],[-73.9437,40.577],[-73.9437,40.577],[-73.9438,40.5771],[-73.9438,40.5771],[-73.9438,40.5771],[-73.9437,40.5771],[-73.9437,40.5771],[-73.9437,40.5771]]]"
,,,"B","2020-08-12T21:58:08.000","B245","B245","B-08","Active","B245-BLG1090",,,"Polygon","[[[-73.9354,40.6737],[-73.9354,40.6737],[-73.9353,40.6738],[-73.9353,40.6738],[-73.9353,40.6737],[-73.9354,40.6737]]]"
,,,"B","2020-08-12T21:58:08.000","B169","B169-ZN06B","B-13","Active","B169-BLG6348",,,"Polygon","[[[-73.9886,40.5724],[-73.9885,40.5724],[-73.9884,40.5724],[-73.9886,40.5723],[-73.9886,40.5724]]]"
"2020-05-12T14:42:50.000","2020-06-21T00:00:00.000",,"M","2020-08-12T21:58:08.000","M010","M010-195","M-13","Reopened","M010-195-BLG0750","Completely Locked",,"Polygon","[[[-73.9546,40.7904],[-73.9545,40.7904],[-73.9546,40.7904],[-73.9546,40.7904],[-73.9546,40.7904]]]"
"2020-05-12T14:42:48.000","2020-06-22T00:00:00.000",,"B","2020-08-12T21:58:08.000","B311","B311","B-01","Reopened","B311-BLG0001","Completely Locked",,"Polygon","[[[-73.939,40.7091],[-73.9389,40.7091],[-73.9389,40.709],[-73.9389,40.709],[-73.939,40.7091]]]"
