"park","v","tot"
"B001",1,12
"B007",2,1
"B008",2,1
"B012",2,6
"B016",2,28
"B017",2,15
"B018",2,2
"B019",1,16
"B021",2,9
"B025",2,7
"B028",1,5
"B032",1,19
"B038",1,6
"B042",1,2
"B043",1,6
"B050",1,7
"B051",2,4
"B055",2,3
"B056",2,2
"B057",2,7
"B058",2,11
"B061",2,22
"B066",2,5
"B073",2,28
"B079",2,7
"B080",1,10
"B082",2,15
"B087",2,32
"B088",2,11
"B096",1,5
"B100",1,2
"B102",1,17
"B103",1,1
"B109",1,0
"B110",1,7
"B111",1,8
"B113A",2,32
"B124",2,10
"B125",2,3
"B126",2,7
"B127",1,7
"B128",1,4
"B129",1,3
"B130",2,6
"B131",2,3
"B137",2,26
"B139",1,5
"B140",2,24
"B141",2,3
"B142",2,5
"B144",2,4
"B148",1,5
"B150",1,2
"B152",1,3
"B158",1,8
"B161",1,5
"B163",2,2
"B164",2,0
"B166D",2,0
"B167",2,9
"B169",2,25
"B192",2,0
"B193",2,5
"B197",2,6
"B207",2,3
"B208",1,1
"B209",1,0
"B210A",1,7
"B210J",1,11
"B210W",2,5
"B216",1,5
"B218",2,3
"B220",2,7
"B222",1,8
"B223B",1,10
"B223F",2,15
"B223JB",2,13
"B223PC",1,10
"B223R",1,10
"B224",1,7
"B225",1,8
"B228",2,5
"B230",1,12
"B232",1,10
"B234",2,3
"B235",1,1
"B236",1,3
"B237",1,23
"B243",1,12
"B244",2,0
"B245",2,8
"B246",1,0
"B248",1,1
"B250",2,8
"B251",2,0
"B253",2,11
"B254",2,4
"B258",1,5
"B259",1,16
"B261",2,3
"B262",2,11
"B263",1,9
"B264",1,3
"B266",2,20
"B267",1,11
"B268",1,1
"B269",1,11
"B271",2,1
"B272",1,5
"B274",1,0
"B275",1,7
"B277",1,2
"B284",1,0
"B285",1,3
"B286",2,2
"B288",1,6
"B292",1,9
"B294",2,5
"B296",2,3
"B297",2,4
"B298",1,3
"B300",2,6
"B301",2,20
"B304",1,3
"B305",1,0
"B306",1,2
"B307",2,6
"B308",1,2
"B309",1,1
"B310",1,6
"B311",2,6
"B313",2,3
"B315",2,1
"B316",1,6
"B320",1,17
"B321",1,15
"B323",1,9
"B334",1,18
"B335",2,5
"B337",1,11
"B339",2,2
"B342",1,2
"B343",2,1
"B345",1,2
"B347",1,4
"B348",1,7
"B350",1,5
"B352",1,1
"B357",1,3
"B358",1,0
"B359",2,7
"B362",1,3
"B364",1,6
"B372",2,2
"B380",1,2
"B395",1,10
"B431",2,19
"B529",1,10
"B541",2,1
"M005",2,27
"M008",2,34
"M009",2,8
"M010",2,147
"M011",2,21
"M014",1,8
"M015",1,40
"M017",2,1
"M018",1,14
"M019",1,21
"M022",2,14
"M027",2,59
"M028",2,29
"M029",1,13
"M041",2,15
"M042",2,25
"M045",2,8
"M056",2,46
"M058",2,48
"M063",2,13
"M065",2,9
"M069",1,35
"M071",2,101
"M072",1,28
"M076",2,15
"M077",1,43
"M079",1,34
"M081",2,7
"M082",2,27
"M088",2,32
"M089",1,48
"M098",1,72
"M099",2,14
"M104",2,6
"M105",2,53
"M107",1,7
"M108Q",2,17
"M132",2,17
"M144",2,3
"M154",2,23
"M158",2,5
"M159",2,4
"M160",1,10
"M161",2,32
"M165",2,5
"M186",2,8
"M190",2,11
"M192",1,13
"M193",2,15
"M194",1,17
"M198",1,13
"M199",2,1
"M200A",2,14
"M204",2,20
"M208A",1,21
"M211A",1,39
"M211B",1,36
"M215",1,17
"M216",1,3
"M217",2,17
"M219",2,51
"M220",2,23
"M223",2,17
"M226",2,35
"M229",2,24
"M230",2,6
"M231",2,17
"M233",2,31
"M234",1,8
"M235",1,9
"M236",2,29
"M237",2,27
"M238",2,23
"M239",2,56
"M240",2,13
"M244",2,20
"M245",1,10
"M251",2,33
"M256",1,7
"M258",2,1
"M259",2,20
"M283",2,21
"M300",2,1
"M308",2,15
"M353",2,20
"M360",2,31
"M386",2,32
"M399",2,14
"Q001",2,9
"Q002",1,14
"Q004",2,9
"Q005",1,8
"Q007",2,1
"Q008",1,2
"Q010A",1,1
"Q011",1,1
"Q012",2,0
"Q012B",1,0
"Q014",1,20
"Q015",2,15
"Q020",2,5
"Q021",2,1
"Q022",1,4
"Q023",1,18
"Q024",2,3
"Q026",2,43
"Q031",1,14
"Q041",1,5
"Q044",2,21
"Q046",2,17
"Q048",1,0
"Q050",2,9
"Q052",2,1
"Q053",1,2
"Q066B",1,5
"Q067A",2,30
"Q082",1,3
"Q085",2,25
"Q095",1,0
"Q098",2,45
"Q099",2,30
"Q102",2,4
"Q103",1,0
"Q104",2,5
"Q105",1,22
"Q106",1,1
"Q107",2,2
"Q118",1,9
"Q119",1,7
"Q121",1,4
"Q126",2,2
"Q127",1,9
"Q128",1,1
"Q129",2,3
"Q134",1,1
"Q141",1,8
"Q162",2,1
"Q162E",2,0
"Q162H",1,0
"Q162J",1,1
"Q162J01",1,1
"Q163",2,11
"Q174A",2,41
"Q205A",1,3
"Q211",2,8
"Q212",2,1
"Q218",1,6
"Q220C",1,2
"Q220G",2,3
"Q221",2,0
"Q266",2,0
"Q293",2,1
"Q300",1,10
"Q300A1",1,1
"Q302",1,9
"Q303",2,9
"Q304",1,7
"Q305",2,8
"Q306",2,3
"Q307",1,2
"Q308",1,7
"Q314",1,0
"Q317",2,0
"Q318",1,0
"Q319",1,4
"Q320",1,0
"Q322",1,2
"Q327",2,0
"Q328",2,0
"Q329",1,1
"Q330",1,0
"Q332",2,1
"Q335",2,6
"Q336",1,1
"Q337",1,4
"Q338",1,0
"Q339",2,0
"Q340",1,20
"Q342",2,0
"Q343",2,1
"Q344",1,0
"Q345",2,21
"Q346",2,0
"Q347",1,2
"Q348",1,3
"Q349",2,0
"Q351",1,1
"Q354",1,0
"Q356",1,1
"Q357B",1,9
"Q358",2,2
"Q359",2,4
"Q360J",2,0
"Q360M",2,0
"Q360N",1,4
"Q361",2,27
"Q362",2,2
"Q363",2,22
"Q364",1,0
"Q367",1,2
"Q369",1,0
"Q373",2,8
"Q377",2,6
"Q378",2,4
"Q385",1,5
"Q387A",1,3
"Q389",2,1
"Q390",1,0
"Q391",1,3
"Q396",2,2
"Q397",2,0
"Q398",2,10
"Q399",2,1
"Q404",1,0
"Q405",1,2
"Q406",2,2
"Q407",2,1
"Q408",2,0
"Q413",2,1
"Q415",2,10
"Q422",1,8
"Q423",1,2
"Q425",2,4
"Q426",1,0
"Q427",1,1
"Q428",2,7
"Q429",1,1
"Q436",1,5
"Q448",2,0
"Q450",1,16
"Q458",1,0
"Q471",1,6
"Q476",2,0
"Q492",2,0
"Q520",1,1
"R005",2,0
"R006",1,0
"R015",1,0
"R016",2,8
"R024",1,3
"R025",1,0
"R026",2,5
"R028",2,2
"R031",2,1
"R033",2,4
"R034",2,0
"R035",1,0
"R038",1,0
"R038A",2,0
"R046",2,7
"R061",2,0
"R062",2,2
"R063",2,2
"R064",1,1
"R065",2,5
"R067",2,1
"R068",1,1
"R069",1,0
"R076",2,3
"R085",2,0
"R087",2,2
"R089",2,0
"R090",1,0
"R105",2,0
"R106",2,3
"R109",2,0
"R114",1,0
"R153",2,1
"X001",2,6
"X002",1,17
"X008",2,8
"X010",2,5
"X014",2,3
"X017",2,5
"X020",1,0
"X021",2,1
"X029",2,4
"X030",1,9
"X034",2,15
"X039",2,7
"X040",2,8
"X042",1,5
"X044",2,10
"X047",2,10
"X080",1,4
"X085",1,5
"X087",2,6
"X092",2,14
"X102",1,5
"X103",2,2
"X104",1,4
"X106",2,3
"X108",1,2
"X111",2,2
"X112",1,5
"X113",1,1
"X115",2,6
"X116",2,3
"X118",1,4
"X121",1,0
"X122",2,0
"X123",2,3
"X124",2,8
"X126",2,2
"X131",1,3
"X136",1,4
"X141",1,6
"X146",2,10
"X147A",2,7
"X148L",1,3
"X148M1",2,2
"X151",2,1
"X152",1,1
"X156",2,0
"X157",1,0
"X159",2,1
"X160",1,2
"X161",1,25
"X162",2,9
"X163",2,4
"X165",2,3
"X166",1,3
"X168",1,6
"X169",2,10
"X170",1,1
"X171",2,1
"X172",1,0
