"alteration_year","bbl","bin","borough","public_restroom","construction_year","description","doitt_id","doitt_source","gispropnum","ground_elevation","height_roof","location","omppropid","parks_district","system","recreation_center","featurestatus","demolition_year","maintby","maintbyspec","multipolygon.type","multipolygon.coordinates"
"2021","4008980001","4547741","Q",TRUE,"1936","Charybdis Playground Public Restroom","18489","current","Q004","18","13","Shore Boulevard opposite 23 Road","Q004-01","Q-01","Q004-01-BLG0001",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9227,40.7796],[-73.9227,40.7796],[-73.9227,40.7796],[-73.9228,40.7796],[-73.9227,40.7795],[-73.9227,40.7795],[-73.9227,40.7795],[-73.9227,40.7795],[-73.9227,40.7796],[-73.9227,40.7796],[-73.9227,40.7796],[-73.9227,40.7796],[-73.9227,40.7796]]]]"
"2018","4007140052","4012665","Q",TRUE,"1936","Astoria Heights Playground Public Restroom","1164749","current","Q014","62","13.61","30 Road, 45 to 46 Streets","Q014","Q-01","Q014-BLG0483",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9113,40.761],[-73.9113,40.761],[-73.9113,40.7611],[-73.9113,40.761],[-73.9114,40.761],[-73.9113,40.761],[-73.9113,40.761]]]]"
,"1018010005","1000000","M",FALSE,,"Wagner Houses Pool-Wading Pool Pavilion",,,"M273",,,,"M273","M-11","M273-BLG1564",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9329,40.8019],[-73.9329,40.8019],[-73.9329,40.8019],[-73.9329,40.8019],[-73.9328,40.8019],[-73.9328,40.8019],[-73.9329,40.8019],[-73.9329,40.8019],[-73.9329,40.8019]]]]"
,"1016890005","1086937","M",TRUE,"1961","P.S. 155 Playground Public Restroom","927296","current","M239","10","15.2757246","East 117 to East 118 Streets, 1 to 2 Avenues","M239","M-11","M239-BLG1596",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9353,40.7975],[-73.9353,40.7976],[-73.9354,40.7975],[-73.9353,40.7975],[-73.9353,40.7975]]]]"
,"1017050001","1091068","M",TRUE,,"Thomas Jefferson Park Public Restroom",,,"M047",,,"East 114th St and Pleasant Av","M047","M-11","M047-BLG5147",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938],[-73.9347,40.7938]]]]"
,"2031200020","2128273","X",TRUE,"1905","River Park Playground Public Restroom","1226154","current","X002","30","14.11515127","East 180th Street, Boston Road","X002-07","X-14","X002-07-BLG0924",FALSE,"Active",,,,"MultiPolygon","[[[[-73.8773,40.8431],[-73.8773,40.8432],[-73.8774,40.8432],[-73.8774,40.8432],[-73.8773,40.8431],[-73.8773,40.8431],[-73.8773,40.8431]]]]"
,"1018010005","1000000","M",FALSE,,"Wagner Houses Pool-WOMENS LOCKER BUILDING",,,"M273",,,"East of E 124 & 2 Ave","M273","M-11","M273-BLG1565",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9327,40.8019],[-73.9328,40.8019],[-73.9328,40.8018],[-73.9328,40.8018],[-73.9328,40.8018],[-73.9327,40.8018],[-73.9327,40.8018],[-73.9327,40.8018],[-73.9327,40.8018],[-73.9327,40.8018],[-73.9327,40.8018],[-73.9326,40.8018],[-73.9326,40.8017],[-73.9326,40.8018],[-73.9326,40.8018],[-73.9326,40.8018],[-73.9326,40.8018],[-73.9326,40.8018],[-73.9326,40.8018],[-73.9326,40.8018],[-73.9326,40.8018],[-73.9326,40.8019],[-73.9326,40.8019],[-73.9326,40.8019],[-73.9327,40.8019],[-73.9327,40.8019],[-73.9327,40.8019],[-73.9327,40.8019],[-73.9327,40.8019],[-73.9327,40.8019]]]]"
,"1018010005","1000000","M",FALSE,,"Wagner Houses Pool-MENS LOCKER BUILDING",,,"M273",,,,"M273","M-11","M273-BLG1567",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9331,40.8017],[-73.933,40.8017],[-73.933,40.8017],[-73.933,40.8017],[-73.933,40.8017],[-73.9329,40.8016],[-73.9329,40.8016],[-73.9329,40.8016],[-73.9329,40.8016],[-73.9329,40.8016],[-73.9329,40.8016],[-73.9328,40.8016],[-73.9328,40.8016],[-73.9328,40.8016],[-73.9327,40.8016],[-73.9328,40.8017],[-73.9328,40.8017],[-73.9328,40.8017],[-73.9329,40.8017],[-73.9329,40.8017],[-73.933,40.8017],[-73.933,40.8017],[-73.933,40.8017],[-73.933,40.8017],[-73.933,40.8017],[-73.933,40.8018],[-73.9331,40.8017],[-73.9331,40.8017]]]]"
,"2025390002","2097176","X",TRUE,"2012","Mill Pond Park - Power House Building","62208","current","X344","6","41.020075","Exterior Street & E. 153rd Street","X344","X-04","X344-BLG0001",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9316,40.8242],[-73.9313,40.8242],[-73.9314,40.8247],[-73.9314,40.8247],[-73.9317,40.8247],[-73.9317,40.8246],[-73.9316,40.8244],[-73.9316,40.8242],[-73.9316,40.8242]]]]"
"2012","2032190001","2014756","X",TRUE,"1920","Devoe Park Public Restroom","557293","current","X013","110","18.7","West Fordham Road, University Avenue, Sedgwick Avenue, Father Zeiser Place","X013-01","X-05","X013-BLG0855",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9048,40.8637],[-73.905,40.8637],[-73.905,40.8637],[-73.9049,40.8636],[-73.9048,40.8637]]]]"
