"metric_month","industry","pickup_dropoff","locationid","borough","zone","trip_count"
"2026-07-01","FHV - High Volume","Drop-off","1","EWR","Newark Airport","154618"
"2026-07-01","FHV - High Volume","Drop-off","2","Queens","Jamaica Bay","63"
"2026-07-01","FHV - High Volume","Pick-up","2","Queens","Jamaica Bay","81"
"2026-07-01","FHV - High Volume","Drop-off","3","Bronx","Allerton/Pelham Gardens","49938"
"2026-07-01","FHV - High Volume","Pick-up","3","Bronx","Allerton/Pelham Gardens","51464"
"2026-07-01","FHV - High Volume","Drop-off","4","Manhattan","Alphabet City","45902"
"2026-07-01","FHV - High Volume","Pick-up","4","Manhattan","Alphabet City","53289"
"2026-07-01","FHV - High Volume","Drop-off","5","Staten Island","Arden Heights","6087"
"2026-07-01","FHV - High Volume","Pick-up","5","Staten Island","Arden Heights","6602"
"2026-07-01","FHV - High Volume","Drop-off","6","Staten Island","Arrochar/Fort Wadsworth","13543"
"2026-07-01","FHV - High Volume","Pick-up","6","Staten Island","Arrochar/Fort Wadsworth","13214"
"2026-07-01","FHV - High Volume","Drop-off","7","Queens","Astoria","202104"
"2026-07-01","FHV - High Volume","Pick-up","7","Queens","Astoria","208561"
"2026-07-01","FHV - High Volume","Drop-off","8","Queens","Astoria Park","1781"
"2026-07-01","FHV - High Volume","Pick-up","8","Queens","Astoria Park","1480"
"2026-07-01","FHV - High Volume","Drop-off","9","Queens","Auburndale","19425"
"2026-07-01","FHV - High Volume","Pick-up","9","Queens","Auburndale","19778"
"2026-07-01","FHV - High Volume","Drop-off","10","Queens","Baisley Park","63387"
"2026-07-01","FHV - High Volume","Pick-up","10","Queens","Baisley Park","74128"
"2026-07-01","FHV - High Volume","Drop-off","11","Brooklyn","Bath Beach","25275"
"2026-07-01","FHV - High Volume","Pick-up","11","Brooklyn","Bath Beach","26664"
"2026-07-01","FHV - High Volume","Drop-off","12","Manhattan","Battery Park","4909"
"2026-07-01","FHV - High Volume","Pick-up","12","Manhattan","Battery Park","3546"
"2026-07-01","FHV - High Volume","Drop-off","13","Manhattan","Battery Park City","76273"
"2026-07-01","FHV - High Volume","Pick-up","13","Manhattan","Battery Park City","88720"
"2026-07-01","FHV - High Volume","Drop-off","14","Brooklyn","Bay Ridge","119039"
"2026-07-01","FHV - High Volume","Pick-up","14","Brooklyn","Bay Ridge","115717"
"2026-07-01","FHV - High Volume","Drop-off","15","Queens","Bay Terrace/Fort Totten","16680"
"2026-07-01","FHV - High Volume","Pick-up","15","Queens","Bay Terrace/Fort Totten","16762"
"2026-07-01","FHV - High Volume","Drop-off","16","Queens","Bayside","43860"
"2026-07-01","FHV - High Volume","Pick-up","16","Queens","Bayside","44829"
"2026-07-01","FHV - High Volume","Drop-off","17","Brooklyn","Bedford","161516"
"2026-07-01","FHV - High Volume","Pick-up","17","Brooklyn","Bedford","158577"
"2026-07-01","FHV - High Volume","Drop-off","18","Bronx","Bedford Park","97419"
"2026-07-01","FHV - High Volume","Pick-up","18","Bronx","Bedford Park","104581"
"2026-07-01","FHV - High Volume","Drop-off","19","Queens","Bellerose","15087"
"2026-07-01","FHV - High Volume","Pick-up","19","Queens","Bellerose","20446"
"2026-07-01","FHV - High Volume","Drop-off","20","Bronx","Belmont","59388"
"2026-07-01","FHV - High Volume","Pick-up","20","Bronx","Belmont","61652"
"2026-07-01","FHV - High Volume","Drop-off","21","Brooklyn","Bensonhurst East","54012"
"2026-07-01","FHV - High Volume","Pick-up","21","Brooklyn","Bensonhurst East","56921"
"2026-07-01","FHV - High Volume","Drop-off","22","Brooklyn","Bensonhurst West","75934"
"2026-07-01","FHV - High Volume","Pick-up","22","Brooklyn","Bensonhurst West","79748"
"2026-07-01","FHV - High Volume","Drop-off","23","Staten Island","Bloomfield/Emerson Hill","34868"
"2026-07-01","FHV - High Volume","Pick-up","23","Staten Island","Bloomfield/Emerson Hill","32257"
"2026-07-01","FHV - High Volume","Drop-off","24","Manhattan","Bloomingdale","24739"
"2026-07-01","FHV - High Volume","Pick-up","24","Manhattan","Bloomingdale","26412"
"2026-07-01","FHV - High Volume","Drop-off","25","Brooklyn","Boerum Hill","102866"
"2026-07-01","FHV - High Volume","Pick-up","25","Brooklyn","Boerum Hill","116352"
"2026-07-01","FHV - High Volume","Drop-off","26","Brooklyn","Borough Park","86722"
"2026-07-01","FHV - High Volume","Pick-up","26","Brooklyn","Borough Park","82216"
"2026-07-01","FHV - High Volume","Drop-off","27","Queens","Breezy Point/Fort Tilden/Riis Beach","5944"
"2026-07-01","FHV - High Volume","Pick-up","27","Queens","Breezy Point/Fort Tilden/Riis Beach","4324"
"2026-07-01","FHV - High Volume","Drop-off","28","Queens","Briarwood/Jamaica Hills","50774"
"2026-07-01","FHV - High Volume","Pick-up","28","Queens","Briarwood/Jamaica Hills","55113"
"2026-07-01","FHV - High Volume","Drop-off","29","Brooklyn","Brighton Beach","50966"
"2026-07-01","FHV - High Volume","Pick-up","29","Brooklyn","Brighton Beach","49067"
"2026-07-01","FHV - High Volume","Drop-off","30","Queens","Broad Channel","1773"
