"boro_cd","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate","cb_label","boroname","cd_num","land_sqmi","pop_density","events_311_raw","events_311","events_per_100k"
"101",68707.0196097589,31765.0631117542,6962.12894159427,3167.36376216235,4410.82271917853,65382.4789386091,68221.4535099426,205939,13,0.0674618459070674,0.10133067889042,0.0464276792592926,"01 MANHATTAN","Manhattan",1,1.49567466013789,45937.1422414982,231,125,181.931920071593
"102",84584.4280392133,45682.3034184504,14700.0233583244,5845.69146356101,6499.24308149145,79046.4280392133,84494.4280392133,171434,20,0.0822205790028527,0.173791130342685,0.0691843426746206,"02 MANHATTAN","Manhattan",2,1.3532512413852,62504.6003672103,268,131,154.87484284846
"103",154360.137089561,73739.8260406175,30416.0007280691,22609.9081709729,38568.5931120734,148023.388894238,153729.063864046,74392,31,0.260557425418969,0.197045696522163,0.147076340690974,"03 MANHATTAN","Manhattan",3,1.68144621673086,91802.0068400849,291,94,60.8965512549788
"104",122640.009102543,71099.7070378527,19688.0724564169,13133.3892631806,14443.4570941469,120517.203201109,122536.035237879,122443,26,0.119845604697986,0.160535477781603,0.107179812352218,"04 MANHATTAN","Manhattan",4,1.76874841526659,69337.1697433062,208,125,101.924323811395
"105",61196.2443590657,34133.106291862,9817.5943270075,4910.93465473621,6597.00412226718,57479.8789478504,61138.2251423148,168318,27,0.114770668328172,0.160428052894934,0.0803251099178093,"05 MANHATTAN","Manhattan",5,1.57075152047566,38959.8504673316,272,145,236.942644959093
"106",134674.502585872,73059.6591299594,27829.9847299415,10648.3005805901,12532.4024191965,130885.867997087,134488.521802623,152983,27,0.0957506154864282,0.206646278215851,0.0791762779296338,"06 MANHATTAN","Manhattan",6,1.38926833441042,96939.1580086836,160,89,66.085263573371
"107",216256.990897457,106297.292962147,48239.927543583,21851.6107368194,23956.5429058531,212273.796798891,214759.964762121,152680,29,0.112856806949892,0.223067598154351,0.10174899572657,"07 MANHATTAN","Manhattan",7,1.90659024177516,113426.045176916,235,132,61.0384891846529
"108",211855.253055062,110989.234578179,49782.420943051,18993.7647646737,15742.5934585363,209408.253055062,210361.253055062,160493,43,0.0751765664861209,0.234983179435783,0.0902911752465273,"08 MANHATTAN","Manhattan",8,1.98056325953691,106967.173118519,204,126,59.4745696332826
"109",110156.746866191,39998.4906442214,16718.405266385,14530.7502401132,24601.9243873715,97709.9427657231,109657.945529288,66570,20,0.251785270679761,0.151769235584753,0.132509780025308,"09 MANHATTAN","Manhattan",9,1.50277592872853,73302.1768317732,112,57,51.7444474547154
"110",138157.802011305,59935.5252596314,17233.6357985015,19630.2359661086,35582.3157279749,137483.222306906,137920.603348208,59843,28,0.25881205816186,0.124738780927416,0.142329974561873,"10 MANHATTAN","Manhattan",10,1.40157896977202,98572.9701935938,169,74,53.5619407103371
