"nta2020","boro_cd","w_from"
"BK0101","301",1
"BK0102","301",1
"BK0103","301",1
"BK0104","301",1
"BK0201","302",1
"BK0202","302",1
"BK0203","302",1
"BK0204","302",0.948206255244886
"BK0204","303",0.0517937447551142
"BK0261","302",1
"BK0301","303",0.97832269553352
"BK0301","302",0.0216773044664804
"BK0302","303",1
"BK0401","304",1
"BK0402","304",1
"BK0471","304",1
"BK0501","305",1
"BK0502","305",1
"BK0503","305",0.830377443525057
"BK0503","318",0.130877727457323
"BK0503","316",0.0387448290176191
"BK0504","305",0.912357810660275
"BK0504","318",0.0876421893397251
"BK0505","305",1
"BK0571","305",1
"BK0601","306",0.972295020844884
"BK0601","302",0.0182526257635924
"BK0601","307",0.00945235339152375
"BK0602","306",0.977171705448147
"BK0602","302",0.0168188478122383
"BK0602","308",0.00600944673961445
"BK0701","307",1
"BK0702","307",0.986353257168282
"BK0702","310",0.0136467428317176
"BK0703","307",0.922387218574718
"BK0703","310",0.049119286012643
"BK0703","312",0.0284934954126387
"BK0771","307",1
"BK0801","308",0.887773176591339
"BK0801","306",0.0605842270630222
"BK0801","302",0.0516425963456386
"BK0802","308",0.992573632585988
"BK0802","303",0.00742636741401258
"BK0891","308",1
"BK0901","309",1
"BK0902","309",1
"BK1001","310",1
"BK1002","310",0.991890472016774
"BK1002","311",0.00810952798322551
"BK1061","310",1
"BK1091","310",1
"BK1101","311",1
"BK1102","311",1
"BK1103","311",0.939979268851053
"BK1103","313",0.0372781042715984
"BK1103","315",0.0227426268773488
"BK1201","312",1
"BK1202","312",0.970681681506492
"BK1202","310",0.022610865779949
"BK1202","314",0.00670745271355845
"BK1203","312",0.968681418838933
"BK1203","314",0.0313185811610668
"BK1204","312",0.93533496701274
"BK1204","311",0.0493934514977297
"BK1204","314",0.0152715814895305
"BK1301","313",0.869357555183786
"BK1301","315",0.115733288887442
"BK1301","311",0.0149091559287717
"BK1302","313",1
"BK1303","313",0.919420231747658
"BK1303","315",0.0805797682523418
"BK1391","313",1
"BK1401","314",1
"BK1402","314",0.946393355287345
"BK1402","312",0.0536066447126548
"BK1403","314",0.98465811196903
"BK1403","318",0.0153418880309705
"BK1501","315",0.978028920602251
"BK1501","312",0.0145053080320283
"BK1501","313",0.00746577136572091
"BK1502","315",0.97649554229051
"BK1502","318",0.0153247861897192
"BK1502","314",0.00817967151977111
"BK1503","315",1
"BK1601","316",0.919540163448926
"BK1601","303",0.0521599478646969
"BK1601","305",0.0282998886863776
"BK1602","316",1
"BK1701","317",0.922223346395707
"BK1701","314",0.0511126518273883
"BK1701","309",0.0266640017769051
"BK1702","317",0.968968194082382
"BK1702","318",0.0310318059176184
"BK1703","317",0.974459314030024
"BK1703","309",0.0255406859699757
"BK1704","317",0.955042542532737
"BK1704","316",0.0449574574672633
"BK1771","317",1
"BK1801","318",0.956961602233288
