"locationid","boro_cd","w_from"
3,"211",0.958890782725394
3,"212",0.0411092172746059
4,"103",1
5,"503",1
6,"502",1
7,"401",1
8,"401",1
9,"411",0.947834241805329
9,"407",0.0521657581946711
10,"412",1
11,"311",1
12,"101",1
13,"101",1
14,"310",1
15,"407",0.956075876301951
15,"411",0.0439241236980492
16,"411",0.991684108975167
16,"407",0.00831589102483318
17,"303",0.889078800549543
17,"301",0.110921199450457
18,"207",0.878309787189155
18,"205",0.121690212810845
19,"413",1
20,"206",0.938271462513636
20,"207",0.0617285374863639
21,"311",0.943230638032749
21,"313",0.0352599932680765
21,"315",0.0215093686991741
22,"311",1
23,"502",0.994191751873494
23,"501",0.00580824812650581
24,"107",1
25,"302",0.708828882583314
25,"306",0.291171117416686
26,"312",0.957388920733841
26,"311",0.0206850188026837
26,"310",0.0169097999673211
26,"314",0.00501626049615411
27,"414",1
28,"408",0.934549347925759
28,"412",0.0654506520742406
29,"313",0.875504575263932
29,"315",0.124495424736068
30,"414",1
31,"212",0.815944949421124
31,"206",0.184055050578876
32,"211",0.893411442352346
32,"212",0.106588557647654
33,"302",1
34,"302",1
35,"316",0.954871932674025
35,"317",0.0451280673259745
36,"304",0.862360024954943
36,"301",0.137639975045057
37,"304",0.76811628760343
37,"301",0.212254691035696
37,"303",0.0196290213608737
38,"413",1
39,"318",0.976826059432806
39,"317",0.0231739405671944
40,"306",1
41,"110",1
42,"110",0.936894120800969
42,"111",0.0631058791990306
44,"503",1
45,"103",0.763364765105362
45,"101",0.236635234894638
46,"210",1
47,"203",0.563107391931233
47,"206",0.404701824598921
47,"204",0.0321907834698458
48,"104",1
49,"302",0.711831209950564
49,"303",0.288168790049436
50,"104",1
51,"210",0.702089823016049
51,"212",0.297910176983951
52,"306",1
53,"407",1
54,"306",0.960011681695915
54,"302",0.0399883183040846
55,"313",1
56,"404",0.965914909483208
56,"403",0.0340850905167918
58,"210",1
59,"203",1
60,"203",0.636891980037817
60,"209",0.149834779741886
60,"206",0.143838652057123
60,"202",0.0694345881631744
61,"308",0.704384474765488
61,"303",0.216675576491066
61,"309",0.0789399487434465
62,"309",1
63,"305",1
64,"411",1
65,"302",1
66,"302",1
67,"310",0.994078331525768
67,"311",0.00592166847423189
68,"104",1
69,"204",0.947639221826914
69,"203",0.0523607781730864
70,"403",1
71,"317",0.980647733786204
71,"318",0.0193522662137956
72,"317",0.988796048686077
72,"316",0.011203951313923
73,"407",1
74,"111",1
75,"111",1
76,"305",0.923565111548698
76,"318",0.0615842350434975
76,"316",0.0148506534078049
77,"305",0.982921620209685
77,"316",0.0170783797903146
78,"206",0.944562928011446
78,"211",0.0496549118128678
78,"203",0.00578216017568613
79,"103",1
80,"301",1
81,"212",1
82,"404",0.972694597643899
82,"405",0.0273054023561005
83,"402",0.553509120047249
83,"404",0.433543728165898
83,"403",0.012947151786853
84,"503",1
85,"317",0.805032745013673
85,"314",0.194967254986327
86,"414",1
87,"101",1
88,"101",1
89,"314",0.937402933292451
89,"317",0.035464853999398
89,"312",0.0271322127081505
90,"104",1
91,"318",0.957002966424057
91,"317",0.0348679924546231
91,"314",0.00812904112132015
92,"407",1
93,"408",0.326100109818986
93,"406",0.284812317540579
93,"407",0.202146922500866
93,"403",0.186940650139569
94,"205",0.838763218972838
94,"206",0.11972274253515
94,"207",0.0415140384920126
95,"406",1
96,"405",1
97,"302",1
98,"408",1
99,"502",0.590916493970904
99,"503",0.409083506029097
100,"105",1
101,"413",1
102,"405",0.915749859572806
102,"406",0.0842501404271937
103,"101",1
