"geoid","boro_cd","w_from"
"36005000100","401",1
"36005000200","209",1
"36005000400","209",1
"36005001600","209",1
"36005001901","201",1
"36005001902","201",1
"36005001903","201",1
"36005001904","202",0.990940014005065
"36005001904","201",0.00905998599493492
"36005002001","209",1
"36005002002","209",1
"36005002300","201",1
"36005002400","209",1
"36005002500","201",1
"36005002701","201",1
"36005002702","201",1
"36005002800","209",1
"36005003100","201",1
"36005003300","201",1
"36005003500","201",1
"36005003700","201",1
"36005003800","209",1
"36005003900","201",1
"36005004001","209",1
"36005004100","201",1
"36005004200","209",1
"36005004300","201",1
"36005004400","209",1
"36005004600","209",1
"36005004800","209",1
"36005005001","209",1
"36005005002","209",1
"36005005100","201",1
"36005005200","209",1
"36005005300","205",1
"36005005400","209",1
"36005005600","209",1
"36005005902","204",1
"36005006000","206",0.682375519153702
"36005006000","209",0.266658676682841
"36005006000","203",0.0509658041634576
"36005006100","204",1
"36005006200","209",1
"36005006301","204",0.740204896342385
"36005006301","201",0.259795103657615
"36005006302","204",1
"36005006400","209",1
"36005006500","201",1
"36005006700","201",1
"36005006800","209",1
"36005006900","201",0.95838735361178
"36005006900","203",0.0416126463882198
"36005007000","209",1
"36005007100","201",1
"36005007200","209",1
"36005007300","201",1
"36005007400","209",1
"36005007500","201",1
"36005007600","209",1
"36005007700","201",1
"36005007800","209",1
"36005007900","201",1
"36005008300","202",1
"36005008400","209",1
"36005008500","202",1
"36005008600","209",1
"36005008700","202",1
"36005008900","202",1
"36005009000","209",0.576711096212429
"36005009000","210",0.423288903787571
"36005009200","209",1
"36005009301","202",1
"36005009302","202",1
"36005009600","209",0.571129749926488
"36005009600","210",0.428870250073511
"36005009800","209",1
"36005011000","210",1
"36005011502","202",1
"36005011701","202",1
"36005011702","202",1
"36005011800","210",1
"36005011900","202",1
"36005012101","203",1
"36005012102","202",1
"36005012300","203",0.526646912412276
"36005012300","202",0.350455360175662
"36005012300","209",0.122897727412062
"36005012500","203",0.896588599074442
"36005012500","202",0.103411400925558
"36005012701","202",1
"36005012901","202",0.823028701915083
"36005012901","203",0.176971298084918
"36005013000","210",1
"36005013100","202",0.695448970002866
"36005013100","203",0.304551029997134
"36005013200","210",1
"36005013300","203",1
"36005013500","203",1
"36005013800","210",1
"36005014100","203",1
"36005014300","203",0.752791484406116
"36005014300","204",0.247208515593884
"36005014400","210",1
"36005014500","203",1
"36005014701","203",1
"36005014702","203",1
"36005014900","203",1
"36005015100","203",0.911758486662205
"36005015100","202",0.0882415133377951
"36005015200","210",1
"36005015300","203",1
"36005015500","203",1
"36005015700","203",0.651785215776459
"36005015700","209",0.348214784223541
"36005015800","210",1
"36005015900","202",1
"36005016000","210",1
"36005016100","203",1
"36005016200","210",1
"36005016300","203",1
"36005016400","210",1
"36005016500","203",0.772384163036975
"36005016500","204",0.135340515598423
"36005016500","206",0.0922753213646028
"36005016600","210",1
"36005016700","203",0.886124732852346
"36005016700","204",0.113875267147654
"36005016900","203",1
"36005017100","204",1
"36005017300","204",1
"36005017500","204",1
"36005017701","204",1
"36005017702","204",1
"36005017901","204",1
"36005017902","204",1
"36005018101","204",1
"36005018102","204",1
"36005018301","204",1
"36005018302","204",1
"36005018400","210",1
"36005018501","203",1
"36005018502","203",1
"36005018900","204",1
"36005019300","204",1
"36005019400","210",1
"36005019500","204",1
"36005019700","204",1
"36005019900","204",1
"36005020000","210",0.796825192808707
"36005020000","211",0.203174807191293
"36005020100","204",1
"36005020200","210",1
"36005020400","210",1
"36005020501","205",0.880392234287144
"36005020501","204",0.119607765712856
"36005020502","205",1
"36005020601","210",1
"36005020900","204",1
"36005021001","209",1
"36005021002","209",1
"36005021100","204",1
"36005021200","209",1
"36005021301","205",0.957304159803378
"36005021301","204",0.0426958401966224
"36005021302","204",1
"36005021501","205",1
"36005021502","205",1
"36005021601","209",1
"36005021602","209",1
"36005021700","205",0.991636888168035
"36005021700","204",0.00836311183196532
"36005021800","209",0.993661320115848
"36005021800","206",0.00633867988415215
"36005021900","204",1
"36005022000","206",0.561263822553354
"36005022000","211",0.438736177446646
"36005022101","204",1
"36005022102","204",1
"36005022200","209",1
"36005022300","204",1
"36005022401","211",1
"36005022403","211",1
"36005022404","211",1
"36005022500","204",1
"36005022701","205",0.988648333047925
"36005022701","204",0.011351666952075
"36005022702","204",1
"36005022703","204",1
"36005022800","211",1
"36005022901","205",0.97962721891767
"36005022901","204",0.0203727810823306
"36005022902","204",1
"36005023000","211",1
"36005023100","205",0.658478464616651
"36005023100","206",0.341521535383349
"36005023200","211",1
"36005023301","205",1
"36005023302","205",1
"36005023501","205",1
"36005023502","205",1
"36005023600","211",1
"36005023702","205",1
"36005023703","205",1
"36005023704","205",1
"36005023800","211",1
"36005023900","205",0.863138321043801
"36005023900","207",0.136861678956199
"36005024000","211",0.971977795684146
"36005024000","206",0.0280222043158539
"36005024100","205",1
"36005024300","205",1
"36005024400","211",1
"36005024501","205",1
"36005024502","205",1
