"geoid","boroct2020","borocode","boroname","ct2020","nta2020","ntaname","cdta2020","cdtaname","area_sqmi"
"36061000100","1000100","1","Manhattan","000100","MN0191","The Battery-Governors Island-Ellis Island-Liberty Island","MN01","MN01 Financial District-Tribeca (CD 1 Equivalent)",0.0661074335458081
"36061002201","1002201","1","Manhattan","002201","MN0302","Lower East Side","MN03","MN03 Lower East Side-Chinatown (CD 3 Equivalent)",0.0624203680766522
"36061002602","1002602","1","Manhattan","002602","MN0303","East Village","MN03","MN03 Lower East Side-Chinatown (CD 3 Equivalent)",0.0399900317604764
"36061002800","1002800","1","Manhattan","002800","MN0303","East Village","MN03","MN03 Lower East Side-Chinatown (CD 3 Equivalent)",0.0707956402580014
"36061003400","1003400","1","Manhattan","003400","MN0303","East Village","MN03","MN03 Lower East Side-Chinatown (CD 3 Equivalent)",0.0616408781168725
"36061003601","1003601","1","Manhattan","003601","MN0302","Lower East Side","MN03","MN03 Lower East Side-Chinatown (CD 3 Equivalent)",0.0388220413726358
"36061003602","1003602","1","Manhattan","003602","MN0303","East Village","MN03","MN03 Lower East Side-Chinatown (CD 3 Equivalent)",0.0344740193952659
"36061004001","1004001","1","Manhattan","004001","MN0303","East Village","MN03","MN03 Lower East Side-Chinatown (CD 3 Equivalent)",0.0356919305985935
"36061004002","1004002","1","Manhattan","004002","MN0303","East Village","MN03","MN03 Lower East Side-Chinatown (CD 3 Equivalent)",0.0334527175455586
"36061004100","1004100","1","Manhattan","004100","MN0201","SoHo-Little Italy-Hudson Square","MN02","MN02 Greenwich Village-SoHo (CD 2 Equivalent)",0.0738429674416164
"36061004300","1004300","1","Manhattan","004300","MN0201","SoHo-Little Italy-Hudson Square","MN02","MN02 Greenwich Village-SoHo (CD 2 Equivalent)",0.0575923994510609
"36061005400","1005400","1","Manhattan","005400","MN0501","Midtown South-Flatiron-Union Square","MN05","MN05 Midtown-Flatiron-Union Square (CD 5 Approximation)",0.0648981915879429
"36061005501","1005501","1","Manhattan","005501","MN0202","Greenwich Village","MN02","MN02 Greenwich Village-SoHo (CD 2 Equivalent)",0.0480124820239855
"36061005502","1005502","1","Manhattan","005502","MN0202","Greenwich Village","MN02","MN02 Greenwich Village-SoHo (CD 2 Equivalent)",0.0445866900845821
"36061005800","1005800","1","Manhattan","005800","MN0501","Midtown South-Flatiron-Union Square","MN05","MN05 Midtown-Flatiron-Union Square (CD 5 Approximation)",0.0674238156193445
