"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate","events_311_raw","events_311","events_per_100k","ntatype","cdta2020","is_residential","restrooms","subway_riders","n_stations","jobs","hotels","area_sqmi","pop_density","jobs_density","l_sub","l_jobs","l_hotel","l_rest","l_dens","inc10k","pov","old","boro","pred","resid_ratio","n_projects","park_acres","got","l_park","need","need_abs","coverage","med_hours","n_late","pct_unacceptable","n_insp","intervention","capex","excess"
"BK0101","Greenpoint",15,"Brooklyn",1,39784,19771,3658,3127,3579,39631,39755,129172,13,0.0903080921500845,0.0919465111602654,0.0786567727329896,54,21,52.7850392117434,0,"BK01",TRUE,4,5359888,2,16267,8,1.2669932012309,31400.3263485149,12839.0586344081,8.58688491198461,2.84879716543029,2.19722457733622,1.6094379124341,10.3546054114028,12.9172,9.03080921500845,9.19465111602654,"Brooklyn",24.6491271183381,0.85195714635983,0,22.6401935839475,0,3.16294838133464,0.85195714635983,21,58.5185880952828,8,0,22.7272727272727,22,"Reconstruct or repair",60500,0
"BK0102","Williamsburg",13,"Brooklyn",1,66612,30352,4503,5656,8684,66396,66590,153299,13,0.130791011506717,0.0676004323545307,0.0849376783300796,69,32,48.0393923016874,0,"BK01",TRUE,9,15029064,2,41689,15,1.03495171495743,64362.4229394507,40281.1062559713,9.61780774088832,3.75394127580589,2.77258872223978,2.30258509299405,11.0723007839595,15.3299,13.0791011506717,6.76004323545307,"Brooklyn",54.5117926933624,0.587028942159454,0,71.707323175795,0,4.28644211090787,0.587028942159454,32,80.9531414730542,8,2,16.1016949152542,118,"Extend operating hours",0,0
"BK0103","South Williamsburg",10,"Brooklyn",1,50948,11859,4599,3504,19588,50636,50766,47324,9,0.386839402796429,0.0902685090680694,0.0690225741638104,8,4,7.85114234121065,0,"BK01",TRUE,2,4476692,3,24319,1,0.545546395954343,93388.9406617286,44577.3268421249,8.40686301408753,3.23155510202527,0.693147180559945,1.09861228866811,11.4445389167221,4.7324,38.6839402796429,9.02685090680694,"Brooklyn",17.0131255485464,0.235112589311478,1,12.1769677524413,1,2.57847043829909,0.235112589311478,4,41.0584511872798,8,0,27.2727272727273,33,"Reconstruct or repair",60500,0
"BK0104","East Williamsburg",16,"Brooklyn",1,50775,23726,6751,7655,12174,50611,50762,96897,15,0.240540593942028,0.132959133431807,0.150801780859698,58,29,57.1147218119153,0,"BK01",TRUE,5,10070787,6,28336,9,1.87483757719363,27082.3460216767,15113.8425774541,9.21749342776427,3.37881543076902,2.30258509299405,1.79175946922805,10.2066742800164,9.6897,24.0540593942028,13.2959133431807,"Brooklyn",24.5263492320713,1.18240182122494,3,18.7610082460414,1,2.98371071561525,1.18240182122494,29,35.2963778749306,8,0,24.2424242424242,66,"Reconstruct or repair",60500,4.4736507679287
"BK0201","Brooklyn Heights",6,"Brooklyn",1,26031,12601,4704,1969,1161,24286,26031,181460,6,0.0478053199374125,0.180707617840267,0.0756405823825439,41,24,92.197764204218,0,"BK02",TRUE,8,1574849,1,17780,6,0.358058132071354,72700.4853916083,49656.7412032882,7.3625494536448,2.93279247378012,1.94591014905531,2.19722457733622,11.1941170951094,18.146,4.78053199374125,18.0707617840267,"Brooklyn",11.3390672976638,2.1165762024311,1,12.8362140723289,1,2.62728936308077,2.1165762024311,24,89.5719507199641,8,2,0,22,"Extend operating hours",0,12.6609327023362
"BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",11,"Brooklyn",1,39977,19883,3674,3209,5785,39280,39784,168047,11,0.147275967413442,0.0919028441353778,0.0806605670621355,83,45,112.564724716712,0,"BK02",TRUE,5,36285739,8,56954,16,0.851249574650053,46962.7253751456,66906.3476753144,10.4992076367041,4.05964959242521,2.83321334405622,1.79175946922805,10.757130782172,16.8047,14.7275967413442,9.19028441353778,"Brooklyn",32.9213666911153,1.36689343496011,4,41.4562327104899,1,3.74847372672618,1.36689343496011,45,74.7274757258608,8,0,19.6428571428571,56,"Extend operating hours",0,12.0786333088847
"BK0203","Fort Greene",11,"Brooklyn",1,33180,15102,4682,4506,5304,31819,32463,121467,10,0.166692856469405,0.141109101868596,0.138804177063118,30,17,51.2356841470766,0,"BK02",TRUE,7,5396080,3,18693,2,0.628934520098999,52755.8894283259,29721.6950296473,8.59361334555862,2.98026324265006,1.09861228866811,2.07944154167984,10.8734496480865,12.1467,16.6692856469405,14.1109101868596,"Brooklyn",13.5840042712172,1.25147192687659,1,50.3516562189424,1,3.93869718938788,1.25147192687659,17,86.4181598574703,8,0,6.94444444444444,72,"Extend operating hours",0,3.4159957287828
"BK0204","Clinton Hill",7,"Brooklyn",1,29205,13664,3553,2544,2641,26882,29175,129174,7,0.0982441782605461,0.12165725047081,0.0871979434447301,34,22,75.3295668549906,0,"BK02",TRUE,5,4862834,3,11585,2,0.522505281514049,55894.171854825,22172.0246854356,8.48958229477415,2.53250562858728,1.09861228866811,1.79175946922805,10.9312332843007,12.9174,9.82441782605461,12.165725047081,"Brooklyn",13.2283434411141,1.66309561722016,0,7.35569253947295,0,2.122943047837,1.66309561722016,22,87.9333086623066,8,0,18.6046511627907,43,"Extend operating hours",0,8.7716565588859
"BK0301","Bedford-Stuyvesant (West)",21,"Brooklyn",1,90068,34580,6488,9254,23328,89823,89920,95171,20,0.259710764503524,0.0720344628502909,0.102913701067616,160,56,62.1752453701648,0,"BK03",TRUE,8,10983020,5,18671,4,1.32384420330814,68035.1961166805,14103.6233367516,9.30419676827645,2.97914546994959,1.6094379124341,2.19722457733622,11.1277951383726,9.5171,25.9710764503524,7.20344628502909,"Brooklyn",45.083612483126,1.24213648631107,7,28.7337123506804,1,3.3922814980568,1.24213648631107,56,71.6979380319791,8,0,19.047619047619,105,"Extend operating hours",0,10.916387516874
"BK0302","Bedford-Stuyvesant (East)",23,"Brooklyn",1,92769,37000,11868,11878,23572,92279,92407,76390,23,0.255442733449647,0.127930666494195,0.128540045667536,56,25,26.9486574178874,0,"BK03",TRUE,10,10027444,4,12537,5,1.48106422436681,62636.7165405411,8464.85911531614,9.21318073432515,2.60542667720365,1.79175946922805,2.39789527279837,11.0451228763052,7.639,25.5442733449647,12.7930666494195,"Brooklyn",36.5837601500048,0.683363325625694,10,30.2216828390412,1,3.4411128162304,0.683363325625694,25,80.5758321922324,8,0,27.6119402985075,134,"Reconstruct or repair",60500,0
