"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate","events_311_raw","events_311","events_per_100k","ntatype","cdta2020","is_residential","restrooms","subway_riders","n_stations","jobs","hotels","area_sqmi","pop_density","jobs_density","l_sub","l_jobs","l_hotel","l_rest","l_dens","inc10k","pov","old","boro","pred","resid_ratio"
"BK0101","Greenpoint",15,"Brooklyn",1,39784,19771,3658,3127,3579,39631,39755,129172,13,0.0903080921500845,0.0919465111602654,0.0786567727329896,54,21,52.7850392117434,0,"BK01",TRUE,4,5359888,2,16267,8,1.2669932012309,31400.3263485149,12839.0586344081,8.58688491198461,2.84879716543029,2.19722457733622,1.6094379124341,10.3546054114028,12.9172,9.03080921500845,9.19465111602654,"Brooklyn",24.5687870671848,0.854743050300947
"BK0102","Williamsburg",13,"Brooklyn",1,66612,30352,4503,5656,8684,66396,66590,153299,13,0.130791011506717,0.0676004323545307,0.0849376783300796,69,32,48.0393923016874,0,"BK01",TRUE,9,15029064,2,41689,15,1.03495171495743,64362.4229394507,40281.1062559713,9.61780774088832,3.75394127580589,2.77258872223978,2.30258509299405,11.0723007839595,15.3299,13.0791011506717,6.76004323545307,"Brooklyn",55.0138930895616,0.581671250713063
"BK0103","South Williamsburg",10,"Brooklyn",1,50948,11859,4599,3504,19588,50636,50766,47324,9,0.386839402796429,0.0902685090680694,0.0690225741638104,8,4,7.85114234121065,0,"BK01",TRUE,2,4476692,3,24319,1,0.545546395954343,93388.9406617286,44577.3268421249,8.40686301408753,3.23155510202527,0.693147180559945,1.09861228866811,11.4445389167221,4.7324,38.6839402796429,9.02685090680694,"Brooklyn",17.2286172394895,0.232171853631506
"BK0104","East Williamsburg",16,"Brooklyn",1,50775,23726,6751,7655,12174,50611,50762,96897,15,0.240540593942028,0.132959133431807,0.150801780859698,58,29,57.1147218119153,0,"BK01",TRUE,5,10070787,6,28336,9,1.87483757719363,27082.3460216767,15113.8425774541,9.21749342776427,3.37881543076902,2.30258509299405,1.79175946922805,10.2066742800164,9.6897,24.0540593942028,13.2959133431807,"Brooklyn",24.3702051432273,1.18997767271809
"BK0201","Brooklyn Heights",6,"Brooklyn",1,26031,12601,4704,1969,1161,24286,26031,181460,6,0.0478053199374125,0.180707617840267,0.0756405823825439,41,24,92.197764204218,0,"BK02",TRUE,9,1574849,1,17780,6,0.358058132071354,72700.4853916083,49656.7412032882,7.3625494536448,2.93279247378012,1.94591014905531,2.30258509299405,11.1941170951094,18.146,4.78053199374125,18.0707617840267,"Brooklyn",11.3644944609645,2.11184052950501
"BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",11,"Brooklyn",1,39977,19883,3674,3209,5785,39280,39784,168047,11,0.147275967413442,0.0919028441353778,0.0806605670621355,83,45,112.564724716712,0,"BK02",TRUE,5,36285739,8,56954,16,0.851249574650053,46962.7253751456,66906.3476753144,10.4992076367041,4.05964959242521,2.83321334405622,1.79175946922805,10.757130782172,16.8047,14.7275967413442,9.19028441353778,"Brooklyn",32.9176912640377,1.36704605554042
"BK0203","Fort Greene",11,"Brooklyn",1,33180,15102,4682,4506,5304,31819,32463,121467,10,0.166692856469405,0.141109101868596,0.138804177063118,30,17,51.2356841470766,0,"BK02",TRUE,7,5396080,3,18693,2,0.628934520098999,52755.8894283259,29721.6950296473,8.59361334555862,2.98026324265006,1.09861228866811,2.07944154167984,10.8734496480865,12.1467,16.6692856469405,14.1109101868596,"Brooklyn",13.5632836098925,1.2533838035799
"BK0204","Clinton Hill",7,"Brooklyn",1,29205,13664,3553,2544,2641,26882,29175,129174,7,0.0982441782605461,0.12165725047081,0.0871979434447301,34,22,75.3295668549906,0,"BK02",TRUE,5,4862834,3,11585,2,0.522505281514049,55894.171854825,22172.0246854356,8.48958229477415,2.53250562858728,1.09861228866811,1.79175946922805,10.9312332843007,12.9174,9.82441782605461,12.165725047081,"Brooklyn",13.1953003974943,1.66726026215952
"BK0301","Bedford-Stuyvesant (West)",21,"Brooklyn",1,90068,34580,6488,9254,23328,89823,89920,95171,20,0.259710764503524,0.0720344628502909,0.102913701067616,160,56,62.1752453701648,0,"BK03",TRUE,8,10983020,5,18671,4,1.32384420330814,68035.1961166805,14103.6233367516,9.30419676827645,2.97914546994959,1.6094379124341,2.19722457733622,11.1277951383726,9.5171,25.9710764503524,7.20344628502909,"Brooklyn",45.3207059029305,1.23563830007288
"BK0302","Bedford-Stuyvesant (East)",23,"Brooklyn",1,92769,37000,11868,11878,23572,92279,92407,76390,23,0.255442733449647,0.127930666494195,0.128540045667536,56,25,26.9486574178874,0,"BK03",TRUE,10,10027444,4,12537,5,1.48106422436681,62636.7165405411,8464.85911531614,9.21318073432515,2.60542667720365,1.79175946922805,2.39789527279837,11.0451228763052,7.639,25.5442733449647,12.7930666494195,"Brooklyn",36.5360720288307,0.684255274630301
