"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate","events_311_raw","events_311","events_per_100k","ntatype","cdta2020","is_residential","restrooms","subway_riders","n_stations","jobs","hotels","area_sqmi","pop_density","jobs_density"
"BK0101","Greenpoint",15,"Brooklyn",1,39784,19771,3658,3127,3579,39631,39755,129172,13,0.0903080921500845,0.0919465111602654,0.0786567727329896,54,21,52.7850392117434,0,"BK01",TRUE,4,5359888,2,16267,8,1.2669932012309,31400.3263485149,12839.0586344081
"BK0102","Williamsburg",13,"Brooklyn",1,66612,30352,4503,5656,8684,66396,66590,153299,13,0.130791011506717,0.0676004323545307,0.0849376783300796,69,32,48.0393923016874,0,"BK01",TRUE,9,15029064,2,41689,15,1.03495171495743,64362.4229394507,40281.1062559713
"BK0103","South Williamsburg",10,"Brooklyn",1,50948,11859,4599,3504,19588,50636,50766,47324,9,0.386839402796429,0.0902685090680694,0.0690225741638104,8,4,7.85114234121065,0,"BK01",TRUE,2,4476692,3,24319,1,0.545546395954343,93388.9406617286,44577.3268421249
"BK0104","East Williamsburg",16,"Brooklyn",1,50775,23726,6751,7655,12174,50611,50762,96897,15,0.240540593942028,0.132959133431807,0.150801780859698,58,29,57.1147218119153,0,"BK01",TRUE,5,10070787,6,28336,9,1.87483757719363,27082.3460216767,15113.8425774541
"BK0201","Brooklyn Heights",6,"Brooklyn",1,26031,12601,4704,1969,1161,24286,26031,181460,6,0.0478053199374125,0.180707617840267,0.0756405823825439,41,24,92.197764204218,0,"BK02",TRUE,8,1574849,1,17780,6,0.358058132071354,72700.4853916083,49656.7412032882
"BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",11,"Brooklyn",1,39977,19883,3674,3209,5785,39280,39784,168047,11,0.147275967413442,0.0919028441353778,0.0806605670621355,83,45,112.564724716712,0,"BK02",TRUE,5,36285739,8,56954,16,0.851249574650053,46962.7253751456,66906.3476753144
"BK0203","Fort Greene",11,"Brooklyn",1,33180,15102,4682,4506,5304,31819,32463,121467,10,0.166692856469405,0.141109101868596,0.138804177063118,30,17,51.2356841470766,0,"BK02",TRUE,7,5396080,3,18693,2,0.628934520098999,52755.8894283259,29721.6950296473
"BK0204","Clinton Hill",7,"Brooklyn",1,29205,13664,3553,2544,2641,26882,29175,129174,7,0.0982441782605461,0.12165725047081,0.0871979434447301,34,22,75.3295668549906,0,"BK02",TRUE,5,4862834,3,11585,2,0.522505281514049,55894.171854825,22172.0246854356
"BK0301","Bedford-Stuyvesant (West)",21,"Brooklyn",1,90068,34580,6488,9254,23328,89823,89920,95171,20,0.259710764503524,0.0720344628502909,0.102913701067616,160,56,62.1752453701648,0,"BK03",TRUE,8,10983020,5,18671,4,1.32384420330814,68035.1961166805,14103.6233367516
"BK0302","Bedford-Stuyvesant (East)",23,"Brooklyn",1,92769,37000,11868,11878,23572,92279,92407,76390,23,0.255442733449647,0.127930666494195,0.128540045667536,56,25,26.9486574178874,0,"BK03",TRUE,10,10027444,4,12537,5,1.48106422436681,62636.7165405411,8464.85911531614
"BK0401","Bushwick (West)",13,"Brooklyn",1,52698,22293,3892,5530,9610,52404,52442,93387,13,0.183382947866575,0.0738547952483965,0.1054498302887,84,51,96.7778663326881,0,"BK04",TRUE,3,7724182,4,31937,3,0.829828780159744,63504.666576948,38486.2525421835
"BK0402","Bushwick (East)",16,"Brooklyn",1,59859,23198,7716,7634,14003,59802,59843,76675,16,0.234156048292699,0.128902921866386,0.127567134000635,52,29,48.4471842162415,0,"BK04",TRUE,4,9763426,5,6842,3,1.00199338253319,59739.9154959165,6828.38840981407
"BK0501","Cypress Hills",14,"Brooklyn",1,42117,13775,5826,3765,7151,41961,42107,69587,14,0.170420152045947,0.13832894080775,0.0894150616287078,45,20,47.4867630647957,0,"BK05",TRUE,3,2234688,4,6734,1,0.874474539281548,48162.6372273829,7700.62442930875
"BK0502","East New York (North)",13,"Brooklyn",1,41335,14522,6064,5238,9976,40928,41049,69397,12,0.24374511336982,0.146703761945083,0.127603595702697,27,9,21.7733155921132,0,"BK05",TRUE,1,3596415,6,8714,10,1.00102536072256,41292.6601281745,8705.07415887051
"BK0503","East New York-New Lots",14,"Brooklyn",1,51641,19652,8081,6787,11719,51049,51337,56580,14,0.229563752473114,0.156484188919657,0.132204842511249,26,5,9.6822292364594,0,"BK05",TRUE,3,3073259,4,14199,3,1.66643325259516,30988.9399527876,8520.59329582368
"BK0504","Spring Creek-Starrett City",4,"Brooklyn",1,16410,8244,4752,4295,4099,16238,16194,37687,3,0.252432565586895,0.289579524680073,0.265221687044584,4,1,6.0938452163315,0,"BK05",TRUE,1,0,0,6966,0,0.971589212396371,16889.8540562484,7169.69673100708
"BK0505","East New York-City Line",12,"Brooklyn",1,47234,15755,5894,5251,9699,46788,46953,59807,12,0.207296742754552,0.124782995299996,0.111835239494814,15,4,8.46847609772621,0,"BK05",TRUE,3,3097135,2,4759,1,1.13095096121283,41764.8524294514,4207.96317719777
"BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook",21,"Brooklyn",1,60738,26206,7787,6255,7193,60175,60301,147505,20,0.119534690486082,0.128206394678784,0.103729623057661,87,45,74.0887088807666,0,"BK06",TRUE,7,7609170,3,24552,15,2.18131253825607,27844.7031018119,11255.6085244112
"BK0602","Park Slope",16,"Brooklyn",1,59281,25910,7751,3515,2888,58988,59199,194361,16,0.0489591103275242,0.130750156036504,0.0593760029730232,56,27,45.5457903881513,0,"BK06",TRUE,3,19412097,5,16333,0,0.926582951726127,63978.081929487,17627.1320010511
"BK0701","Windsor Terrace-South Slope",8,"Brooklyn",1,25036,10712,3782,2470,1801,24706,25036,147547,8,0.0728972719177528,0.151062470043138,0.098657932577089,20,13,51.9252276721521,0,"BK07",TRUE,2,2981796,2,4176,0,0.549251682415983,45582.0178645145,7603.07184063799
"BK0702","Sunset Park (West)",18,"Brooklyn",1,50926,16922,6091,5325,9094,49064,49331,91023,14,0.185349747268873,0.119604916938303,0.107944294662585,63,33,64.7999057455916,0,"BK07",TRUE,4,14172709,6,42705,16,1.8070917824549,28181.1917327287,23631.8931969167
"BK0703","Sunset Park (Central)",14,"Brooklyn",1,44499,13497,6183,3711,11523,44158,44484,66011,13,0.26094931835681,0.138946942627924,0.0834232533045589,49,30,67.4172453313558,0,"BK07",TRUE,1,2868392,1,13407,4,0.672717365319422,66148.1363408403,19929.6178323478
"BK0801","Prospect Heights",6,"Brooklyn",1,23969,11243,2955,1870,1628,23920,23962,173220,6,0.0680602006688963,0.123284242146105,0.0780402303647442,10,6,25.0323334306813,0,"BK08",TRUE,3,2247784,1,5403,0,0.369781356130766,64819.3847596898,14611.336970946
"BK0802","Crown Heights (North)",22,"Brooklyn",1,85819,37294,10953,10967,17677,85042,85238,83554,22,0.207861997601185,0.127629079807502,0.128663272249466,62,28,32.6268075834023,0,"BK08",TRUE,3,427407,1,10205,8,1.27038639315264,67553.4628382062,8032.98906144204
"BK0901","Crown Heights (South)",13,"Brooklyn",1,53466,20383,8314,6088,9011,52919,53398,79126,13,0.170279105803209,0.155500692028579,0.114011760740103,25,11,20.5738226162421,0,"BK09",TRUE,2,11864350,5,11706,4,0.719332212470232,74327.2705894741,16273.4266547036
"BK0902","Prospect Lefferts Gardens-Wingate",14,"Brooklyn",1,44881,20116,7844,5516,8391,44117,44129,78018,14,0.190198789582247,0.17477328936521,0.12499716739559,36,17,37.8779438960807,0,"BK09",TRUE,6,7320972,4,13505,1,0.862269366534829,52049.8602198541,15662.1590933609
"BK1001","Bay Ridge",28,"Brooklyn",1,84838,35515,16669,9236,10544,84398,84577,95549,28,0.12493187042347,0.196480350786204,0.1092022653913,59,24,28.2892100238101,0,"BK10",TRUE,5,7337238,4,16861,3,2.21088413913186,38372.8837248401,7626.36074028772
