"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate","events_311_raw","events_311","events_per_100k","ntatype","cdta2020","is_residential","restrooms","subway_riders","n_stations","jobs","hotels","area_sqmi","pop_density","jobs_density","l_sub","l_jobs","l_hotel","l_rest","l_dens","inc10k","pov","old","boro","pred","resid_ratio","n_projects","park_acres","got","l_park","need","need_abs","coverage","med_hours","n_late","pct_unacceptable","n_insp","intervention","capex","excess","annual_cost","per_excess"
"QN0302","East Elmhurst",10,"Queens",1,29093,8647,4309,2770,4225,28350,28685,80116,10,0.149029982363316,0.148111229505379,0.0965661495555168,67,36,123.741106107998,0,"QN03",TRUE,5,0,0,8081,12,1.0317649249312,28197.3144240583,7832.21042384131,0,2.20618431870769,2.56494935746154,1.79175946922805,10.2470174829433,8.0116,14.9029982363316,14.8111229505379,"Queens",10.0866370090511,3.56907857075615,1,22.3044422526693,1,3.14864399702037,3.56907857075615,36,66.8542655847008,8,1,30.7692307692308,26,"Reconstruct or repair",1656500,25.9133629909489,7092.44564961215,273.698386893643
"BX1201","Williamsbridge-Olinville",20,"Bronx",1,57663,21433,8320,8574,14755,56623,57306,57055,19,0.260583155254932,0.144286630941852,0.149617841063763,78,39,67.634358253993,0,"BX12",TRUE,5,3008483,4,5204,2,1.30001313749638,44355.7055977525,4003.03646932529,8.009523582193,1.82519424531429,1.09861228866811,1.79175946922805,10.7000191735521,5.7055,26.0583155254932,14.4286630941852,"Bronx",13.2841150090887,2.93583727431726,2,60.3483264201114,1,4.11656789156905,2.93583727431726,39,63.2356427323953,8,0,20.9302325581395,43,"Reconstruct or repair",1656500,25.7158849909113,7092.44564961215,275.800177676903
"QN1401","Far Rockaway-Bayswater",11,"Queens",1,62827,20742,10883,9446,12952,60855,61157,63990,11,0.212833785227179,0.173221704044439,0.154454927481727,353,50,79.5836185079663,0,"QN14",TRUE,7,1617351,3,11169,3,2.16923802347432,28962.7045626714,5148.81256880762,7.38916300857858,2.49889173435466,1.38629436111989,2.07944154167984,10.2737987583003,6.399,21.2833785227179,17.3221704044439,"Queens",25.6193146226998,1.95165252218332,4,136.440241327935,1,4.92318921411286,1.95165252218332,50,53.3925431875161,8,1,21.9178082191781,73,"Reconstruct or repair",1656500,24.3806853773002,7092.44564961215,290.904276883685
"MN0102","Tribeca-Civic Center",5,"Manhattan",1,22563,9638,3064,1476,1631,20861,22089,229813,5,0.0781841714203538,0.13579754465275,0.0668205894336548,100,58,257.05801533484,0,"MN01",TRUE,3,32268036,6,128636,14,0.487052853242001,46325.5678512352,264110.966897642,10.3818634116528,4.86473052312285,2.70805020110221,1.38629436111989,10.7434708951839,22.9813,7.81841714203538,13.579754465275,"Manhattan",33.9013750194886,1.71084506061061,0,16.0031203874612,0,2.83339687941617,1.71084506061061,58,75.9126112414072,8.33333333333333,1,27.2727272727273,11,"Reconstruct or repair",1656500,24.0986249805114,7092.44564961215,294.309142341018
"BK0401","Bushwick (West)",13,"Brooklyn",1,52698,22293,3892,5530,9610,52404,52442,93387,13,0.183382947866575,0.0738547952483965,0.1054498302887,84,51,96.7778663326881,0,"BK04",TRUE,3,7724182,4,31937,3,0.829828780159744,63504.666576948,38486.2525421835,8.95224066135897,3.4945966459207,1.38629436111989,1.38629436111989,11.0588844183316,9.3387,18.3382947866575,7.38547952483965,"Brooklyn",29.9989909642093,1.70005718061805,1,12.1215783968472,1,2.57425808091767,1.70005718061805,51,48.7647240879156,8,0,40,35,"Reconstruct or repair",1656500,21.0010090357907,7092.44564961215,337.719279941499
"BK1303","Brighton Beach",8,"Brooklyn",1,28327,13743,7834,5656,6974,28053,28066,47868,8,0.248600862652836,0.27655593603276,0.201524976840305,42,24,84.7248208423059,0,"BK13",TRUE,1,3271871,2,18776,4,0.486548084463023,58220.3504742249,38590.2248915892,8.09342286034224,2.98446908127528,1.6094379124341,0.693147180559945,10.9720074130839,4.7868,24.8600862652836,27.655593603276,"Brooklyn",6.28145869041952,3.82076857985308,0,30.3143455138525,0,3.44407631567442,3.82076857985308,24,38.0736204173516,8,0,72.7272727272727,11,"Reconstruct or repair",1656500,17.7185413095805,7092.44564961215,400.28383407483
"MN1102","East Harlem (North)",12,"Manhattan",1,63246,28197,8951,11290,19846,62593,62806,44772,12,0.317064208457815,0.141526736868735,0.17975989555138,403,99,156.531638364482,0,"MN11",TRUE,6,8787117,2,15977,1,0.936901556049318,67505.4914698751,17053.0189611073,9.08115574702534,2.8318594868285,0.693147180559945,1.94591014905531,11.1199790421607,4.4772,31.7064208457815,14.1526736868735,"Manhattan",33.1670820813852,2.98488723720327,5,70.1850271015041,1,4.26528250278495,2.98488723720327,99,78.0361145904016,8,0,7.46268656716418,67,"Extend operating hours",0,65.8329179186148,51100,776.207429589735
"QN0104","Astoria (East)-Woodside (North)",14,"Queens",1,36805,16717,4995,3732,4371,36741,36802,79887,14,0.118967910508696,0.135715256079337,0.101407532199337,187,57,154.870262192637,0,"QN01",TRUE,2,5068165,2,11956,2,0.934129122353612,39400.3346210499,12799.0871003742,8.53093138874156,2.56155900130908,1.09861228866811,1.09861228866811,10.581554968343,7.9887,11.8967910508696,13.5715256079337,"Queens",20.5213907137266,2.77758953060979,1,8.77583447156678,1,2.27991347016302,2.77758953060979,57,34.3738314598681,7.66666666666667,0,27.2727272727273,22,"Build new / modular unit",1200000,36.4786092862734,80658.8491162309,2211.12730705395
"QN0402","Corona",17,"Queens",1,67341,20432,9579,9178,13547,65933,66838,69520,17,0.205466155036173,0.142246179890409,0.137317095065681,150,54,80.188889383882,0,"QN04",TRUE,4,4981726,1,10404,2,0.86180512595918,78139.4748900457,12072.3347849904,8.51373240981392,2.43396417105043,1.09861228866811,1.6094379124341,11.2662634460163,6.952,20.5466155036173,14.2246179890409,"Queens",31.0621510764202,1.73845011142812,1,9.12541020632313,1,2.31504812637668,1.73845011142812,54,62.1706066600452,8,0,5.55555555555556,36,"Extend operating hours",0,22.9378489235798,51100,2227.75902702323
"SI0101","St. George-New Brighton",6,"Staten Island",1,21009,7342,3172,2742,5854,20643,20641,70476,6,0.283582812575692,0.150982912085297,0.132842401046461,8,5,23.7993240991956,0,"SI01",TRUE,2,1,1,6338,1,0.950876131191781,22094.3604648782,6665.4317971535,0.000999500333083533,1.99306632593309,0.693147180559945,1.09861228866811,10.0031229317508,7.0476,28.3582812575692,15.0982912085297,"Staten Island",2.99124850180785,1.67154283469866,1,27.400248519281,1,3.34639789580778,1.67154283469866,5,40.0886644170552,8.16666666666667,0,25,12,"Reconstruct or repair",1656500,2.00875149819215,7092.44564961215,3530.77304783357
