"nta2020","ntaname","pop_total","resid_ratio","oath","c311"
"BK0101","Greenpoint",39784,0.85195714635983,18,12
"BK0102","Williamsburg",66612,0.587028942159454,82,20
"BK0103","South Williamsburg",50948,0.235112589311478,10,2
"BK0104","East Williamsburg",50775,1.18240182122494,155,22
"BK0201","Brooklyn Heights",26031,2.1165762024311,6,14
"BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",39977,1.36689343496011,69,28
"BK0203","Fort Greene",33180,1.25147192687659,95,15
"BK0204","Clinton Hill",29205,1.66309561722016,58,18
"BK0301","Bedford-Stuyvesant (West)",90068,1.24213648631107,368,33
"BK0302","Bedford-Stuyvesant (East)",92769,0.683363325625694,398,11
"BK0401","Bushwick (West)",52698,1.70005718061805,233,28
"BK0402","Bushwick (East)",59859,1.35486401042345,184,15
"BK0501","Cypress Hills",42117,1.48581106075383,79,11
"BK0502","East New York (North)",41335,0.599461287088404,168,3
"BK0503","East New York-New Lots",51641,0.28788275188515,229,2
"BK0504","Spring Creek-Starrett City",16410,0.630782214904149,7,1
"BK0505","East New York-City Line",47234,0.271921857939833,67,3
"BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook",60738,1.2178484867544,156,29
"BK0602","Park Slope",59281,0.944904209447132,8,13
"BK0701","Windsor Terrace-South Slope",25036,1.61097470624291,3,7
"BK0702","Sunset Park (West)",50926,1.03145624677075,162,18
"BK0703","Sunset Park (Central)",44499,1.97368044048756,78,16
"BK0801","Prospect Heights",23969,0.687582292097152,22,3
"BK0802","Crown Heights (North)",85819,0.915321916751232,270,21
"BK0901","Crown Heights (South)",53466,0.522683255415161,54,6
"BK0902","Prospect Lefferts Gardens-Wingate",44881,1.18279553624312,30,10
"BK1001","Bay Ridge",84838,0.76698024720586,37,12
"BK1002","Dyker Heights",39148,2.54644104261137,6,11
"BK1101","Bensonhurst",94498,1.00787269512168,60,20
"BK1102","Bath Beach",30170,0.470281526662603,45,1
"BK1103","Gravesend (West)",56517,0.565728418088386,11,7
"BK1201","Sunset Park (East)-Borough Park (West)",30220,0.539056458436549,7,1
"BK1202","Borough Park",89673,0.317479831000693,31,8
"BK1203","Kensington",38903,1.10947210962221,6,9
"BK1204","Mapleton-Midwood (West)",37519,0.554091591445892,2,2
"BK1301","Gravesend (South)",28604,0.585787538746513,8,4
"BK1302","Coney Island-Sea Gate",54465,0.768761163283339,74,4
"BK1303","Brighton Beach",28327,3.82076857985308,14,12
"BK1401","Flatbush",65759,0.65956704421606,166,8
"BK1402","Flatbush (West)-Ditmas Park-Parkville",39803,0.938310626783899,97,7
"BK1403","Midwood",49291,0.553411516900184,14,6
"BK1501","Gravesend (East)-Homecrest",50032,0.62586485008226,41,6
"BK1502","Madison",38197,1.12430422931001,9,9
"BK1503","Sheepshead Bay-Manhattan Beach-Gerritsen Beach",64244,0.471229562804624,16,7
"BK1601","Ocean Hill",39942,0.564658490417626,90,3
"BK1602","Brownsville",59014,0.558200404344458,212,5
"BK1701","East Flatbush-Erasmus",42375,1.13677888387616,99,10
"BK1702","East Flatbush-Farragut",34025,1.05850790324958,24,6
"BK1703","East Flatbush-Rugby",36352,3.17710354379328,78,13
"BK1704","East Flatbush-Remsen Village",38240,0.521337884420398,42,1
"BK1801","Flatlands",61589,0.775737670911601,33,7
"BK1802","Marine Park-Mill Basin-Bergen Beach",42837,0.81900334196848,0,4
"BK1803","Canarsie",76746,0.630559920221383,76,6
