community_board,n311_all_2020_2026
12 BRONX,843526
12 MANHATTAN,713074
01 BROOKLYN,557398
04 BRONX,555237
12 QUEENS,544333
05 BROOKLYN,543609
01 QUEENS,529149
05 QUEENS,526709
07 BRONX,509552
10 MANHATTAN,500896
07 QUEENS,489786
05 BRONX,485502
03 BROOKLYN,469765
14 BROOKLYN,450917
02 BROOKLYN,432047
07 MANHATTAN,430481
17 BROOKLYN,415272
09 BRONX,414046
08 QUEENS,411933
03 MANHATTAN,410697
11 BROOKLYN,394101
10 QUEENS,394032
09 QUEENS,388757
01 STATEN ISLAND,386564
18 BROOKLYN,368870
04 BROOKLYN,360662
15 BROOKLYN,359201
08 BROOKLYN,353210
13 QUEENS,353011
04 MANHATTAN,347691
09 MANHATTAN,346343
03 QUEENS,345853
02 QUEENS,339564
12 BROOKLYN,333183
06 BROOKLYN,331220
05 MANHATTAN,329672
08 BRONX,322172
11 BRONX,317393
09 BROOKLYN,317015
10 BROOKLYN,314025
11 MANHATTAN,308204
03 STATEN ISLAND,305264
04 QUEENS,300524
03 BRONX,300221
08 MANHATTAN,298724
06 BRONX,297957
02 MANHATTAN,288162
07 BROOKLYN,276565
01 BRONX,269211
10 BRONX,259181
02 STATEN ISLAND,245804
14 QUEENS,236847
06 MANHATTAN,236667
06 QUEENS,224511
11 QUEENS,220557
16 BROOKLYN,213332
13 BROOKLYN,180768
01 MANHATTAN,179335
02 BRONX,169062
Unspecified MANHATTAN,112843
Unspecified QUEENS,77981
Unspecified BROOKLYN,75315
Unspecified BRONX,46541
0 Unspecified,40730
,38433
64 MANHATTAN,18791
83 QUEENS,17776
55 BROOKLYN,10875
81 QUEENS,9454
80 QUEENS,7644
Unspecified STATEN ISLAND,7426
26 BRONX,6503
82 QUEENS,4236
28 BRONX,3591
95 STATEN ISLAND,1805
27 BRONX,1434
56 BROOKLYN,1088
84 QUEENS,797
QENB,2
