locationid,zone,borough,shape_area,shape_leng
1,Newark Airport,EWR,0.0007823067885,0.116357453189
2,Jamaica Bay,Queens,0.00486634037837,0.43346966679
3,Allerton/Pelham Gardens,Bronx,0.000314414156821,0.0843411059012
4,Alphabet City,Manhattan,0.000111871946192,0.0435665270921
5,Arden Heights,Staten Island,0.000497957489363,0.0921464898574
6,Arrochar/Fort Wadsworth,Staten Island,0.000606460984581,0.150490542523
7,Astoria,Queens,0.000389787989274,0.107417171123
8,Astoria Park,Queens,0.000026587716279,0.0275906911574
9,Auburndale,Queens,0.000338443803197,0.0997840924705
10,Baisley Park,Queens,0.000435823818081,0.0998394794152
11,Bath Beach,Brooklyn,0.00026452053504,0.0792110389596
12,Battery Park,Manhattan,0.0000415116236727,0.0366613013579
13,Battery Park City,Manhattan,0.000149358592917,0.0502813228631
14,Bay Ridge,Brooklyn,0.00138177826442,0.175213698053
15,Bay Terrace/Fort Totten,Queens,0.000925219395547,0.14433622262
16,Bayside,Queens,0.000871889446182,0.141291873771
17,Bedford,Brooklyn,0.000322957654799,0.093522632948
18,Bedford Park,Bronx,0.000148850163948,0.0697995498569
19,Bellerose,Queens,0.000546661094782,0.101824875452
20,Belmont,Bronx,0.000134512633032,0.0514401924362
21,Bensonhurst East,Brooklyn,0.000380251345507,0.115973569062
22,Bensonhurst West,Brooklyn,0.000472062684608,0.126170229196
23,Bloomfield/Emerson Hill,Staten Island,0.00219556576201,0.290556028962
24,Bloomingdale,Manhattan,0.0000607235737749,0.0469999619287
25,Boerum Hill,Brooklyn,0.000124168267356,0.0471458199319
26,Borough Park,Brooklyn,0.000534039927626,0.12354780707
27,Breezy Point/Fort Tilden/Riis Beach,Queens,0.00134088762746,0.202508808518
28,Briarwood/Jamaica Hills,Queens,0.000291203927662,0.097960782214
29,Brighton Beach,Brooklyn,0.000201673837402,0.0714083127733
30,Broad Channel,Queens,0.000145862107626,0.0945097669793
31,Bronx Park,Bronx,0.000333975927329,0.0964245666516
32,Bronxdale,Bronx,0.000150879171971,0.05426721601
33,Brooklyn Heights,Brooklyn,0.000147416802448,0.0532702931967
34,Brooklyn Navy Yard,Brooklyn,0.000173946146651,0.0657059323545
35,Brownsville,Brooklyn,0.000323825195932,0.085787918592
36,Bushwick North,Brooklyn,0.000247666139269,0.0870507867063
37,Bushwick South,Brooklyn,0.000452062644782,0.142810040466
38,Cambria Heights,Queens,0.000327392684821,0.0832175685234
39,Canarsie,Brooklyn,0.00090028293862,0.132369620757
40,Carroll Gardens,Brooklyn,0.000108949211644,0.0518506648762
41,Central Harlem,Manhattan,0.000143093037737,0.052793109453
42,Central Harlem North,Manhattan,0.000263896952605,0.0927092274616
43,Central Park,Manhattan,0.000379662912054,0.0997386183576
44,Charleston/Tottenville,Staten Island,0.00194465649192,0.235688967594
45,Chinatown,Manhattan,0.0000913594688556,0.0459068626235
46,City Island,Bronx,0.000926391677672,0.134475429879
47,Claremont/Bathgate,Bronx,0.000163198117339,0.0898275563294
48,Clinton East,Manhattan,0.0000942538425377,0.0437467441431
49,Clinton Hill,Brooklyn,0.000203185525471,0.0752900183427
50,Clinton West,Manhattan,0.000173249283326,0.0557479867536
51,Co-Op City,Bronx,0.000395756553505,0.0953613442277
52,Cobble Hill,Brooklyn,0.0000452027509603,0.0289076710093
53,College Point,Queens,0.000947530980821,0.161500913385
54,Columbia Street,Brooklyn,0.000132452130536,0.0762192448554
55,Coney Island,Brooklyn,0.000736274713586,0.149956807524
56,Corona,Queens,0.000180907844436,0.0568478126677
56,Corona,Queens,0.0000180259807917,0.0192705048557
58,Country Club,Bronx,0.000204980931361,0.0598554094851
59,Crotona Park,Bronx,0.0000628765230648,0.0377948070893
60,Crotona Park East,Bronx,0.000161833284912,0.0786482878226
61,Crown Heights North,Brooklyn,0.000510772092295,0.117310808097
62,Crown Heights South,Brooklyn,0.000158238169004,0.0822593359838
63,Cypress Hills,Brooklyn,0.000353190910142,0.119100721883
64,Douglaston,Queens,0.00105790284614,0.18445188474
65,Downtown Brooklyn/MetroTech,Brooklyn,0.000081803882541,0.0446070683658
66,DUMBO/Vinegar Hill,Brooklyn,0.000108378855948,0.0546334593634
67,Dyker Heights,Brooklyn,0.000394282272487,0.0997470781551
68,East Chelsea,Manhattan,0.000111073378655,0.0493373795569
69,East Concourse/Concourse Village,Bronx,0.00019905160381,0.0789896450483
70,East Elmhurst,Queens,0.000195458476728,0.0638403183367
71,East Flatbush/Farragut,Brooklyn,0.000382572587364,0.0931694551828
72,East Flatbush/Remsen Village,Brooklyn,0.000323532461947,0.0952020695166
73,East Flushing,Queens,0.000291799754395,0.0853020209129
74,East Harlem North,Manhattan,0.000295038418204,0.11029093625
75,East Harlem South,Manhattan,0.00024056392715,0.0876638997685
76,East New York,Brooklyn,0.00126660143241,0.241203016269
77,East New York/Pennsylvania Avenue,Brooklyn,0.000191917981315,0.075461081444
78,East Tremont,Bronx,0.000191114419551,0.0935944495806
79,East Village,Manhattan,0.000107893068218,0.0426249113144
80,East Williamsburg,Brooklyn,0.00040732245622,0.117212621448
81,Eastchester,Bronx,0.00039956655019,0.197592771731
82,Elmhurst,Queens,0.000323601079994,0.119875649697
83,Elmhurst/Maspeth,Queens,0.000217463718718,0.105984933269
84,Eltingville/Annadale/Prince's Bay,Staten Island,0.00207375572052,0.233623987032
85,Erasmus,Brooklyn,0.000143637804933,0.0574751473562
86,Far Rockaway,Queens,0.000623278815249,0.134245282582
87,Financial District North,Manhattan,0.0000672050210692,0.0369015496117
88,Financial District South,Manhattan,0.0000572999455414,0.0352046035327
89,Flatbush/Ditmas Park,Brooklyn,0.000447548142373,0.122794569553
90,Flatiron,Manhattan,0.0000553132476305,0.0307591620819
91,Flatlands,Brooklyn,0.000537330013243,0.124996624585
92,Flushing,Queens,0.000374946617289,0.117830066799
