"facility_name","location_type","operator","status","open","hours_of_operation","accessibility","restroom_type","changing_stations","latitude","longitude","additional_notes","location_1.type","location_1.coordinates","website.url"
"Aqueduct Walk Zone 2","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes","40.858410","-73.908000",,"Point","[-73.908,40.8584]",
"Ben Abrams Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""","40.854380","-73.869700",,"Point","[-73.8697,40.8544]",
"Brady Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No","40.851430","-73.868600",,"Point","[-73.8686,40.8514]",
"Waring Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes","40.860620","-73.871200",,"Point","[-73.8712,40.8606]",
"River Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes","40.843170","-73.877300",,"Point","[-73.8773,40.8432]",
"Rosewood Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""","40.872980","-73.871100",,"Point","[-73.8711,40.873]",
"Allerton Fields In Bronx Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""","40.869530","-73.876600",,"Point","[-73.8766,40.8695]",
"227th Street Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes","40.890830","-73.864100",,"Point","[-73.8641,40.8908]",
"Olinville Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""","40.884330","-73.867000",,"Point","[-73.867,40.8843]",
"Parque De Los Ninos","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes","40.827140","-73.873700",,"Point","[-73.8737,40.8271]",
"Claremont Zone 1","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in men's restroom only""","40.841510","-73.906800",,"Point","[-73.9068,40.8415]",
"Claremont Zone 3","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""","40.837670","-73.908000",,"Point","[-73.908,40.8377]",
