evnt_key,occur_date,law_desc,law_code,precinct,latitude,longitude
"261181447","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.752895","-73.865834"
"261181459","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","033","40.833176","-73.941804"
"261182130","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","052","40.865743","-73.901862"
"261182131","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.677976","-73.896377"
"261185845","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","104","40.699784","-73.909193"
"261185859","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"261186314","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"261186318","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.751967","-73.863772"
"261186319","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.751967","-73.863772"
"261186320","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.751967","-73.863772"
"261186322","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","006","40.739721","-74.004578"
"261187958","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.6713598203364","-73.8818110231735"
"261204469","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.749581","-73.868642"
"261207712","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.753997","-73.864793"
"261207719","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.803226","-73.934696"
"261209211","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","073","40.6711300016904","-73.9135020552048"
"261215263","2023-01-02T00:00:00.000","PUBLIC URINATION","16-118(6)","046","40.857414","-73.902346"
"261231677","2023-01-02T00:00:00.000","PUBLIC URINATION","16-118(6)","077","40.671446","-73.957223"
"261249776","2023-01-02T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.8009303727402","-73.9410982410066"
"261260208","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","006","40.737117","-74.001799"
"261276191","2023-01-03T00:00:00.000","PUBLIC URINATION","16-118(6)","070","40.641272","-73.956393"
"261280229","2023-01-03T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.8009303727402","-73.9410982410066"
"261284271","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.689088","-73.870612"
"261289666","2023-01-03T00:00:00.000","PUBLIC URINATION","16-118(6)","042","40.8222710411331","-73.911697780277"
"261289673","2023-01-02T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"261289675","2023-01-03T00:00:00.000","PUBLIC URINATION","16-118(6)","088","40.6902236041959","-73.9602785860011"
"261292566","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","023","40.795849","-73.94787"
"261293713","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","104","40.70303","-73.90806"
"261307804","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.681857","-73.878496"
"261307806","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.681857","-73.878496"
"261307807","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","006","40.732894","-74.001964"
"261328156","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","109","40.7623158004241","-73.8274480018593"
"261345249","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","020","40.7842519786623","-73.9748976664227"
"261355122","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","088","40.683791","-73.961889"
"261357788","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","040","40.8103518634571","-73.924942325642"
"261359745","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","079","40.68900139556","-73.9450265328727"
"261364691","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","109","40.763712","-73.81791"
"261368406","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","032","40.810878","-73.948794"
"261369248","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.6713598203364","-73.8818110231735"
"261370853","2023-01-05T00:00:00.000","PUBLIC URINATION","16-118(6)","110","40.748344","-73.87717"
"261397270","2023-01-04T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.74865","-73.874306"
"261397276","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"261426189","2023-01-05T00:00:00.000","PUBLIC URINATION","16-118(6)","105","40.664677","-73.760703"
"261428571","2023-01-05T00:00:00.000","PUBLIC URINATION","16-118(6)","023","40.79447","-73.943608"
"261431691","2023-01-05T00:00:00.000","PUBLIC URINATION","16-118(6)","079","40.68900139556","-73.9450265328727"
"261435079","2023-01-05T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.749385","-73.869555"
"261437551","2023-01-05T00:00:00.000","PUBLIC URINATION","16-118(6)","040","40.806195","-73.916003"
"261440786","2023-01-05T00:00:00.000","PUBLIC URINATION","16-118(6)","007","40.7163099917327","-73.9831660136947"
"261443660","2023-01-05T00:00:00.000","PUBLIC URINATION","16-118(6)","109","40.758663","-73.830689"
"261443663","2023-01-05T00:00:00.000","PUBLIC URINATION","16-118(6)","013","40.743666","-73.984886"
