"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Toronto (C), Ontario","2021A00053520005","Persons","249","units","0","v1592182773","2132","2917666","","","","0"
"2021","Vancouver (CY), British Columbia","2021A00055915022","Persons","249","units","0","v1592185017","4334","696031","","","","0"
"2022","Toronto (C), Ontario","2021A00053520005","Persons","249","units","0","v1592182773","2132","2988742","","","","0"
"2022","Vancouver (CY), British Columbia","2021A00055915022","Persons","249","units","0","v1592185017","4334","708220","","","","0"
"2023","Toronto (C), Ontario","2021A00053520005","Persons","249","units","0","v1592182773","2132","3134010","","","","0"
"2023","Vancouver (CY), British Columbia","2021A00055915022","Persons","249","units","0","v1592185017","4334","732005","","","","0"
"2024","Toronto (C), Ontario","2021A00053520005","Persons","249","units","0","v1592182773","2132","3280417","","","","0"
"2024","Vancouver (CY), British Columbia","2021A00055915022","Persons","249","units","0","v1592185017","4334","748788","","","","0"
"2025","Toronto (C), Ontario","2021A00053520005","Persons","249","units","0","v1592182773","2132","3271830","","","","0"
"2025","Vancouver (CY), British Columbia","2021A00055915022","Persons","249","units","0","v1592185017","4334","740454","","","","0"
