type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d
Sanisette;En service;27 bd poissonniere;75002;24/24h;Oui;Non;;"{""coordinates"": [2.3436539998311914, 48.871311000377034], ""type"": ""Point""}";48.871311000377034, 2.3436539998311914
WC;Hors service;2 quai de l archeveche;75004;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-jean-xxiii-35;"{""coordinates"": [2.351064327131835, 48.85284931542226], ""type"": ""Point""}";48.85284931542226, 2.351064327131835
Sanisette;En service;119b rue saint-antoine;75004;23h57 - 23h58;Oui;Non;;"{""coordinates"": [2.3605029994385647, 48.855252999706806], ""type"": ""Point""}";48.855252999706806, 2.3605029994385647
Sanisette;En service;16 w rue buffon;75005;08h00 - 17h00;Oui;Non;;"{""coordinates"": [2.3606220006197094, 48.84433299987727], ""type"": ""Point""}";48.84433299987727, 2.3606220006197094
Sanisette;En service;135b bd du montparnasse;75006;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.332351000486413, 48.84122000004061], ""type"": ""Point""}";48.84122000004061, 2.332351000486413
Sanisette;En service;93b bd du montparnasse;75006;06h00 - 22h00;Non;Non;;"{""coordinates"": [2.3275829994274915, 48.84286800014476], ""type"": ""Point""}";48.84286800014476, 2.3275829994274915
Sanisette;En service;2t pl joffre;75007;24/24h;Oui;Non;;"{""coordinates"": [2.3051089994689358, 48.85433100021918], ""type"": ""Point""}";48.85433100021918, 2.3051089994689358
Sanisette;En service;2 rue de mazagran;75010;06h00 - 06h02;Non;Non;;"{""coordinates"": [2.3512069999291474, 48.87027700036826], ""type"": ""Point""}";48.87027700036826, 2.3512069999291474
Sanisette;En service;117 qu de valmy;75010;06h00 - 22h00;Non;Non;;"{""coordinates"": [2.363490000115806, 48.8753499999498], ""type"": ""Point""}";48.8753499999498, 2.363490000115806
Sanisette;En service;81b bd de la villette;75010;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3708719998770422, 48.87743100005244], ""type"": ""Point""}";48.87743100005244, 2.3708719998770422
Sanisette;En service;1 av de verdun;75010;24/24h;Oui;Non;;"{""coordinates"": [2.3614029999510397, 48.87629499978287], ""type"": ""Point""}";48.87629499978287, 2.3614029999510397
Sanisette;En service;195 rue du faubourg poissonniere;75010;21h59 - 22h00;Oui;Non;;"{""coordinates"": [2.3496630005578174, 48.88326399964491], ""type"": ""Point""}";48.88326399964491, 2.3496630005578174
Sanisette;En service;28 rue du general guilhem;75011;06h00 - 23h59;Oui;Non;;"{""coordinates"": [2.3790769994169096, 48.86230200015077], ""type"": ""Point""}";48.86230200015077, 2.3790769994169096
Sanisette;En service;96 rue oberkampf;75011;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.37761300023142, 48.86576100043247], ""type"": ""Point""}";48.86576100043247, 2.37761300023142
Sanisette;En service;2 rue paul dukas;75012;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.392042000365784, 48.840502999686144], ""type"": ""Point""}";48.840502999686144, 2.392042000365784
WC;En service;30 rue du rendez-vous;75012;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-debergue-rendez-vous-2848;"{""coordinates"": [2.4039110734655846, 48.84657172830047], ""type"": ""Point""}";48.84657172830047, 2.4039110734655846
Sanisette;En service;2 v bd de reuilly;75012;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.389580000482424, 48.838922999875344], ""type"": ""Point""}";48.838922999875344, 2.389580000482424
Sanisette;En service;2 av claudius regaud;75013;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.372721000201444, 48.82228900039548], ""type"": ""Point""}";48.82228900039548, 2.372721000201444
WC;En service;93 rue du chateau des rentiers;75013;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-florence-blumenthal-2523;"{""coordinates"": [2.3673178731393754, 48.827498385447356], ""type"": ""Point""}";48.827498385447356, 2.3673178731393754
WC;En service;22 rue de la fontaine a mulard;75013;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-paul-grimault-2567;"{""coordinates"": [2.3485091460670224, 48.82302967544841], ""type"": ""Point""}";48.82302967544841, 2.3485091460670224
Sanisette;En service;1 rue jean rey;75015;24/24h;Oui;Non;;"{""coordinates"": [2.2898729994070504, 48.85555399956984], ""type"": ""Point""}";48.85555399956984, 2.2898729994070504
Sanisette;En service;22 rue gros;75016;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2753980004073235, 48.85125999992028], ""type"": ""Point""}";48.85125999992028, 2.2753980004073235
WC;En service;93 avenue de l' hippodrome;75016;Horaires du parc;Non;Oui;https://www.paris.fr/lieux/parc-de-bagatelle-1808;"{""coordinates"": [2.24571855392109, 48.868443030700334], ""type"": ""Point""}";48.868443030700334, 2.24571855392109
Lavatory;En service;1 av des nations unies;75016;10h00-18h00;Non;Non;;"{""coordinates"": [2.2917962698692977, 48.861732100857765], ""type"": ""Point""}";48.861732100857765, 2.2917962698692977
Sanisette;En service;3 av de la porte des ternes;75017;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2829540000409247, 48.8811389996345], ""type"": ""Point""}";48.8811389996345, 2.2829540000409247
Sanisette;En service;186 bd ney;75018;24/24h;Oui;Non;;"{""coordinates"": [2.329484000444752, 48.897914000345686], ""type"": ""Point""}";48.897914000345686, 2.329484000444752
WC;Hors service;38 rue charles hermite;75018;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-charles-hermite-2648;"{""coordinates"": [2.366573420983327, 48.89989643206477], ""type"": ""Point""}";48.89989643206477, 2.366573420983327
Sanisette;En service;12 rue marcel sembat;75018;24/24h;Oui;Non;;"{""coordinates"": [2.3377140002823458, 48.8990230002305], ""type"": ""Point""}";48.8990230002305, 2.3377140002823458
Sanisette;En service;52 bd marguerite de rochechouart;75018;21h59 - 22h00;Oui;Non;;"{""coordinates"": [2.345855999825567, 48.88324600019954], ""type"": ""Point""}";48.88324600019954, 2.345855999825567
Sanisette;En service;42 av simon bolivar;75019;24/24h;Oui;Non;;"{""coordinates"": [2.38054299978079, 48.87621299957802], ""type"": ""Point""}";48.87621299957802, 2.38054299978079
Sanisette;En service;161 rue de crimee;75019;24/24h;Oui;Non;;"{""coordinates"": [2.3790580004698865, 48.888842000218574], ""type"": ""Point""}";48.888842000218574, 2.3790580004698865
Sanisette;En service;14 av du professeur andre lemierre;75020;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.415241999740021, 48.85533899971065], ""type"": ""Point""}";48.85533899971065, 2.415241999740021
WC;En service;2 rue de buzenval;75020;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-sarah-bernhardt-1774;"{""coordinates"": [2.40370184146147, 48.849620046843484], ""type"": ""Point""}";48.849620046843484, 2.40370184146147
WC;Hors service;40 rue le vau;75020;Horaires du parc;Non;Oui;https://www.paris.fr/lieux/square-emmanuel-fleury-2720;"{""coordinates"": [2.4112649493156337, 48.87081299107255], ""type"": ""Point""}";48.87081299107255, 2.4112649493156337
WC;En service;12 rue michel de bourges;75020;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-casque-d-or-2713;"{""coordinates"": [2.401213778352068, 48.85392001355039], ""type"": ""Point""}";48.85392001355039, 2.401213778352068
Sanisette;En service;6 rue de panama;75018;06h00 - 20h33;Oui;Non;;"{""coordinates"": [2.3527540005299024, 48.88764899975983], ""type"": ""Point""}";48.88764899975983, 2.3527540005299024
WC;Hors service;7 nd cd/18;75018;Horaires du parc;Oui;Non;;"{""coordinates"": [2.363820903429186, 48.8966156453422], ""type"": ""Point""}";48.8966156453422, 2.363820903429186
Sanisette;En service;9 imp alexandre lecuyer;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3417379994179384, 48.89777199983381], ""type"": ""Point""}";48.89777199983381, 2.3417379994179384
Sanisette;En service;32 av corentin cariou;75019;24/24h;Oui;Non;;"{""coordinates"": [2.3856649999545296, 48.89731199959006], ""type"": ""Point""}";48.89731199959006, 2.3856649999545296
Sanisette;En service;2 av de laumiere;75019;24/24h;Oui;Non;;"{""coordinates"": [2.3814320001101352, 48.88303199992398], ""type"": ""Point""}";48.88303199992398, 2.3814320001101352
Sanisette;En service;1 rue du japon;75020;24/24h;Oui;Non;;"{""coordinates"": [2.3998249994463534, 48.86489899973789], ""type"": ""Point""}";48.86489899973789, 2.3998249994463534
Sanisette;En service;171 rue des pyrenees;75020;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.40103099972282, 48.86001899986408], ""type"": ""Point""}";48.86001899986408, 2.40103099972282
WC;En service;45 rue des couronnes;75020;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-des-couronnes-2748;"{""coordinates"": [2.384968920960215, 48.87154116048027], ""type"": ""Point""}";48.87154116048027, 2.384968920960215
Sanisette;En service;23 pl de la bourse;75002;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.340639000086698, 48.86893600009567], ""type"": ""Point""}";48.86893600009567, 2.340639000086698
Sanisette;En service;1 bd des filles du calvaire;75003;24/24h;Oui;Non;;"{""coordinates"": [2.367030999614015, 48.86112300001341], ""type"": ""Point""}";48.86112300001341, 2.367030999614015
