name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
Crane Cove Park,3854442721173284396,out_of_service,0,0,0,0,37.76302,-122.38734,701 Illinois St,San Francisco,CA,94107,,limited_access,,,Daily,,port,POINT (-122.38734 37.76302),10,Potrero Hill,2024/10/04 01:51:23 PM,2026/09/01 09:08:33 AM
Tenderloin Pit Stop - Turk and Hyde streets,4596080096965280480,restroom,0,0,0,0,37.7825365,-122.4157402,Turk and Hyde streets,San Francisco,CA,,,publicly_accessible,08:00:00,20:00:00,Daily,,pit_stop,POINT (-122.4157402 37.7825365),5,Tenderloin,2026/09/01 09:05:57 AM,2026/09/01 09:08:33 AM
Laurel Hill Clubhouse,5792798905216035670,restroom,0,0,0,0,37.783691040372204,-122.45113542886506,251 Euclid Ave,San Francisco,CA,94118,Laurel Hill Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.451135429 37.78369104),2,Presidio Heights,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Grattan Playground - Drinking Fountain/Cooler,2151389010127542033,drinking_water,1,0,0,0,37.76262003,-122.45170249,1180 Stanyan St,San Francisco,CA,94117,Grattan Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.451702487 37.762620031),8,Haight Ashbury,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Helen Wills Playground - Drinking Fountain/Cooler,8170287419589099041,drinking_water,1,0,0,0,37.7957183,-122.42048043,1401 Broadway,San Francisco,CA,94109,Helen Wills Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.42048043 37.795718299),3,Russian Hill,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Washington Square Restrooms,6250308910410204931,restroom,0,0,0,0,37.80106429464524,-122.41063427620304,600 Columbus Ave,San Francisco,CA,94133,Washington Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.410634276 37.801064295),3,North Beach,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
"Heron's Head Park, Eco Center",3013277213648008590,drinking_water,1,1,0,1,37.740119,-122.37597,32 Jennings Street,San Francisco,CA,94124,,publicly_accessible,,,Daily,Near entrance/on park path,port,POINT (-122.37597 37.740119),10,Bayview Hunters Point,2024/10/04 01:51:23 PM,2026/09/01 09:08:33 AM
Ortega Branch Library,1845787657090241694,drinking_water,1,0,0,0,37.75122405800005,-122.49810319699998,3223 ORTEGA ST,San Francisco,CA,94122,West Sunset Playground,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-18:00"",""Wednesday:12:00-20:00"",""Thursday:11:00-20:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.498103197 37.751224058),4,Sunset/Parkside,2026/05/27 04:20:00 PM,2026/09/01 09:08:33 AM
Alamo Square - Drinking Fountain/Cooler,1550815549017203860,drinking_water,1,1,0,0,37.77571849,-122.43461824,1081 Fulton St,San Francisco,CA,94117,Alamo Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.434618243 37.775718492),5,Hayes Valley,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Mountain Lake Park - Drinking Fountain/Cooler,8070193218352554407,drinking_water,1,0,0,1,37.78697197,-122.46779968999999,1 11th Ave,San Francisco,CA,94118,Mountain Lake Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.467799686 37.786971971),1,Inner Richmond,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
