_id,FLOC_ID,Building Description,Address,Ward Name,District,Building Type,Washroom Info,Gender Inclusive,Accessible Washroom,Hours Available,Location Details,Washroom Status,geometry
1,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - 4,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
2,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - 4,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
3,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Universal Washroom,Yes,Yes,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - 4,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
4,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - 3,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
5,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - 3,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
6,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Universal Washroom,Yes,Yes,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - 3,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
7,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - 2,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
8,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - 2,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
9,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Universal Washroom,Yes,Yes,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - 2,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
10,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - 1,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
