_id,ASSET_ID,LOCATION,ALTERNATIVE_NAME,TYPE,ACCESSIBLE_FEATURES,HOURS,LOCATION_DETAILS,URL,ADDRESS,PostedDate,AssetName,Reason,Comments,Status,geometry
1,13591,Marie Curtis Park,Marie Curtis Park Beach Washroom,Washroom Building,"Accessible Stall, Child Change Table",9 a.m. to 10 p.m.,Located at the south end of the park close to the beach and creek mouth.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=6,2 Forty Second St  ,2026-09-22T09:34:42,Marie Curtis Park Beach Washroom,"Women's Washroom Closed, Men's Washroom Open","Women's beach washroom closed for critical repairs. Tentative re-opening Friday, September 25, 2026. Playground washroom (nearest alternative) is open for use.",2,"{""coordinates"": [[-79.54142374, 43.58573804]], ""type"": ""MultiPoint""}"
2,29656,Taylor Creek Park,Taylor Creek Park Washroom,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 10 p.m.,Located on the pathway east of the parking lot.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=29,260 Dawes Rd  ,2026-09-22T08:44:00,Taylor Creek Park Washroom,Maintenance/Repairs,Closed due to flooding.,0,"{""coordinates"": [[-79.29838937, 43.69664426]], ""type"": ""MultiPoint""}"
3,29542,James Gardens,James Gardens Washroom,Washroom Building,None,9 a.m. to 10 p.m.,Located on the west side of parking lot.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3,99 Edenbridge Dr  ,2026-09-22T07:50:53,James Gardens Washroom,Emergency Response,None,0,"{""coordinates"": [[-79.51476269, 43.67159902]], ""type"": ""MultiPoint""}"
4,29661,Thomson Memorial Park,Thomson Memorial Park South Washroom,Washroom Building,None,9 a.m. to 10 p.m.,Located in the south washroom building of the park. ,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=543,1005 Brimley Rd  ,2026-09-21T09:21:26,Thomson Memorial Park South Washroom,"Men's Washroom Closed, Women's Washroom Open","Woman's Washrooms - Open
Men's and Accessible Washroom - Closed due to vandalism ",0,"{""coordinates"": [[-79.25523249, 43.75759412]], ""type"": ""MultiPoint""}"
5,29502,High Park,High Park Children's Garden Washroom,Washroom Building,Entrance at Grade,9 a.m. to 10 p.m.,Located east of the Children's Garden.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=77,1873 Bloor St  W ,2026-09-17T12:27:34,High Park Children's Garden Washroom,None,None,1,"{""coordinates"": [[-79.46137056, 43.64174996]], ""type"": ""MultiPoint""}"
6,79459,Don Valley Brick Works,Don Valley Brick Works Washroom ,Washroom Building,None,9 a.m. to 10 p.m.,Located in the western building along the pathway into the park.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1449,550 Bayview Ave  ,2026-09-17T09:24:49,Don Valley Brick Works Washroom ,None,None,1,"{""coordinates"": [[-79.36642253, 43.68437785]], ""type"": ""MultiPoint""}"
7,29459,High Park,High Park Chess House Washroom,Washroom Building,"Accessible Stall, Entrance Access Ramp, Automatic Door Opener, Child Change Table",9 a.m. to 10 p.m.,Located in the Chess House building near Bloor Street West.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=77,1873 Bloor St  W ,2026-09-17T08:05:03,High Park Chess House Washroom,None,None,1,"{""coordinates"": [[-79.46627947, 43.65271761]], ""type"": ""MultiPoint""}"
8,29598,Port Union Village Common Park,Port Union Village Common Park Washroom,Washroom Building,"Accessible Stall, Entrance at Grade, Automatic Door Opener",9 a.m. to 10 p.m.,Located on the pathway between parking lot and the playground.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1094,105 Bridgend St  ,2026-09-16T06:25:15,Port Union Village Common Park Washroom,None,None,1,"{""coordinates"": [[-79.1347736, 43.77672534]], ""type"": ""MultiPoint""}"
9,13677,Topham Park,Topham Park Community Centre and Clubhouse Washroom ,Washroom Building,None,9 a.m. to 10 p.m.,Entrance is located on the outside of the Community Centre.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=276,181 Westview Blvd  ,2026-09-15T12:30:35,Topham Park Community Centre and Clubhouse Washroom ,None,None,1,"{""coordinates"": [[-79.30690823, 43.71078337]], ""type"": ""MultiPoint""}"
10,29383,Dunlop Park,Dunlop Park Washroom,Washroom Building,Entrance at Grade,9 a.m. to 10 p.m.,Located on the pathway between the playground and the splash pad.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=605,19 Dunlop Ave  ,2026-09-15T06:05:42,Dunlop Park Washroom,Maintenance/Repairs,Closed due to damage from severe vandalism.,0,"{""coordinates"": [[-79.26689423, 43.71281604]], ""type"": ""MultiPoint""}"
