park_name;type;location;geo_local_area;summer_hours;winter_hours;wheelchair_access;note;geom;geo_point_2d
;LargeAPT;Vancouver Art Gallery;Downtown;6am - 10pm;6am - 10pm;Yes;;"{""coordinates"": [-123.11984855327826, 49.28295538959993], ""type"": ""Point""}";49.28295538959993, -123.11984855327826
;SmallAPT;Robson St and Richards St;Downtown;24hrs - 24hrs;24hrs - 24hrs;No;;"{""coordinates"": [-123.11803855424995, 49.28031868986395], ""type"": ""Point""}";49.28031868986395, -123.11803855424995
;LargeAPT;Bute at Davie;West End;24hrs - 24hrs;24hrs - 24hrs;Yes;;"{""coordinates"": [-123.13309096598624, 49.282049830174515], ""type"": ""Point""}";49.282049830174515, -123.13309096598624
;LargeAPT;Bute St, Nelson Park;West End;24hrs - 24hrs;24hrs - 24hrs;Yes;;"{""coordinates"": [-123.13066155087947, 49.28337239139535], ""type"": ""Point""}";49.28337239139535, -123.13066155087947
Andy Livingstone Park;Park - Field House;South side, fieldhouse;Downtown;10:00 am - 11:00 pm;10:00 am - 11:00 pm;Yes;;"{""coordinates"": [-123.10359902275324, 49.27782096548095], ""type"": ""Point""}";49.27782096548095, -123.10359902275324
Balaclava Park;Park - Field House;Central, field house;Dunbar-Southlands;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.17546094914353, 49.245233993113295], ""type"": ""Point""}";49.245233993113295, -123.17546094914353
Chaldecott Park;Park - Field House;East side fieldhouse;Dunbar-Southlands;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.19112496215543, 49.24942695917802], ""type"": ""Point""}";49.24942695917802, -123.19112496215543
Garden Park;Park - Field House;North east corner, fieldhouse;Grandview-Woodland;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.05833399382524, 49.268285997582815], ""type"": ""Point""}";49.268285997582815, -123.05833399382524
Gordon Park;Park - Field House;East side;Victoria-Fraserview;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.06949997797808, 49.22387004403736], ""type"": ""Point""}";49.22387004403736, -123.06949997797808
Grays Park;Park - Public Washroom;Centre west by parking lot;Kensington-Cedar Cottage;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.08522025523621, 49.24096092890344], ""type"": ""Point""}";49.24096092890344, -123.08522025523621
Harbour Green Park;Park - Public Washroom;Central;Downtown;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.12146699909354, 49.28980401354857], ""type"": ""Point""}";49.28980401354857, -123.12146699909354
MacLean Park;Park - Field House;North west corner, fieldhouse;Strathcona;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.08936604005851, 49.27900702156459], ""type"": ""Point""}";49.27900702156459, -123.08936604005851
