"prop_id","cs_id","long_term_closure","reason_closed","winterized","reason_winterized"
"B001","1336",,,,
"B007","1337","Yes","Repairs",,
"B008","1338",,,,
"B012","1339",,,,
"B016","1340",,,,
"B017","1341",,,,
"B018-ZN01","1342",,,,
"B019","1343",,,,
"B021","1344",,,,
"B025-01","1345",,,,
"B028-03","1346",,,,
"B028-ZN01","1347",,,,
"B032-01","1348",,,,
"B032-ZN03","1349",,,,
"B038","1350",,,,
"B042","1351",,,,
"B043","1352",,,,
"B050","1353",,,,
"B051","1354",,,,
"B052-01","1355",,,,
"B054-01","1356",,,,
"B055","1357","Yes","Capital",,
"B056","1358",,,,
"B057-06","1359",,,,
"B057-ZN01","1360",,,,
"B058-ZN01","1361",,,,
"B058-ZN03","1362",,,,
"B060-01","1363",,,,
"B061","1364",,,,
"B066","1365",,,,
"B073-10","1366",,,,
"B073-20","1367",,,,
"B073-ZN10","1368",,,,
"B073-ZN14","1369",,,,
"B073-ZN28","1371",,,,
"B073-ZN28","1372",,,"Yes","Seasonal"
"B077-01","1374",,,,
"B079","1375",,,,
"B080","1376","Yes","Repairs","Yes","No Power"
"B082-ZN02","1377","Yes","Repairs","Yes","No heat"
"B082-ZN04","1378",,,,
"B082-ZN05","1379",,,"Yes","No heat"
"B087-01","1380",,,,
"B088","1381",,,,
"B100","1382",,,,
"B102","1383",,,,
"B103","1384",,,,
"B109","1385",,,,
"B110","1386",,,,
"B111","1387",,,,
"B113A","1388",,,,
"B114-01","1390",,,,
"B124","1391",,,,
"B125-01","1392",,,,
"B126-ZN03","1393",,,,
"B127","1394","Yes","Repairs",,
"B128","1395",,,,
"B129-ZN01","1396",,,,
"B130","1397",,,,
"B131","1398",,,"Yes","No heat"
"B137","1399",,,,
"B139","1400",,,,
"B140","1401",,,,
"B141","1402",,,"Yes","Seasonal"
"B142","1403",,,"Yes","No Heat"
"B144","1404","Yes","Repairs",,
"B148","1405",,,,
"B150","1406",,,,
"B152","1407",,,,
"B158","1408","Yes","No Power",,
"B159-01","1409",,,"Yes","No heat"
"B161","1410",,,,
"B163","1411",,,,
"B164","1412",,,"Yes","No heat"
"B166D","1413",,,,
"B167","1414",,,,
"B169-ZN01B","1415","Yes","Permanently Closed",,
"B169-ZN02B","1416",,,"Yes","No heat"
"B169-ZN04A","1417","Yes","Repairs",,
"B169-ZN04B","1418",,,"Yes","Seasonal"
"B169-ZN05A","1419",,,,
"B169-ZN05B","1420",,,"Yes","No heat"
"B169-ZN07A","1422",,,"Yes","Seasonal"
"B169-ZN07C","1423",,,"Yes","Seasonal"
"B192","1424",,,,
"B193","1425",,,,
"B197","1426","Yes","Repairs",,
"B207","1427",,,,
"B208","1428",,,,
"B209","1429",,,,
"B210A","1430",,,,
"B210J","1431",,,,
"B210W","1432",,,,
"B214-01","1433",,,,
"B216","1435",,,,
"B218","1436",,,,
"B220","1437",,,,
"B222","1438",,,,
"B223B","1439",,,"Yes","No Heat"
"B223F","1440",,,,
"B223JB","1441",,,,
"B223PC","1442",,,,
"B223R","1443","Yes","Repairs",,
"B224","1444",,,,
"B225","1445",,,,
"B228","1446",,,,
"B230","1447",,,,
"B232","1448",,,,
"B234","1449",,,,
"B235","1450",,,,
"B236","1451",,,,
"B237","1452","Yes","Permanently Closed",,
"B243","1453","Yes","Repairs","Yes","No heat"
"B244","1454",,,,
