"geoid","events_311_raw","events_311"
"36061000100",0,0
"36061002201",9,4
"36061002602",4,1
"36061002800",6,1
"36061003400",20,10
"36061003601",5,2
"36061003602",11,7
"36061004001",12,8
"36061004002",4,1
"36061004100",12,4
"36061004300",10,2
"36061005400",4,3
"36061005501",6,6
"36061005502",7,4
"36061005800",9,2
"36061006700",36,21
"36061006800",9,8
"36061007001",5,3
"36061007002",10,1
"36061007200",17,10
"36061007300",10,6
"36061007700",17,11
"36061007800",3,1
"36061008000",11,6
"36061008100",9,4
"36061008300",6,6
"36061008900",15,6
"36061009200",12,8
"36061009300",9,4
"36061009500",10,5
"36061009600",6,5
"36061009902",3,3
"36061010000",14,11
"36061010100",13,7
"36061010200",2,1
"36061010400",4,3
"36061010801",1,1
"36061010802",3,2
"36061010803",2,1
"36061010900",12,6
"36061011201",12,7
"36061011202",1,1
"36061011203",2,2
"36061011300",15,11
"36061011402",5,1
"36061011800",14,8
"36061011900",13,7
"36061012000",3,3
"36061012101",12,5
"36061012102",9,4
"36061012200",9,4
"36061012500",12,8
"36061012601",16,10
"36061012602",6,6
"36061012700",8,5
"36061013000",2,1
"36061013100",7,7
"36061013201",3,3
"36061013202",0,0
"36061013300",12,8
"36061013601",1,0
"36061013602",1,1
"36061014801",5,4
"36061014900",8,4
"36061015001",0,0
"36061015002",4,2
"36061015101",0,0
"36061015301",3,2
"36061015302",1,1
"36061015401",5,2
"36061015402",2,0
"36061015403",5,2
"36061015501",1,1
"36061015700",29,11
"36061015801",6,5
"36061015802",6,4
"36061016001",3,2
"36061016100",14,9
"36061016400",3,0
"36061016500",3,1
"36061016600",1,0
"36061016900",12,9
"36061017100",11,8
"36061017200",4,2
"36061017300",11,8
"36061017401",1,0
"36061017402",1,0
"36061017500",6,4
"36061017700",3,2
"36061018000",2,2
"36061018100",2,1
"36061018400",11,5
"36061018600",3,1
"36061018700",9,6
"36061019300",3,0
"36061019600",16,11
"36061019702",1,1
"36061019900",21,10
"36061020600",7,4
"36061020701",0,0
"36061021303",7,2
"36061021500",57,19
"36061021703",1,0
"36061021800",12,7
"36061022000",5,3
"36061022102",5,4
"36061022200",8,5
"36061022301",12,8
"36061022600",4,3
"36061022800",9,3
"36061023100",6,2
"36061023400",0,0
"36061023502",1,0
"36061024301",4,2
"36061024900",0,0
"36061027100",3,1
"36061029300",2,1
"36061029500",16,5
"36005001600",1,0
"36005002002",3,1
"36005002300",0,0
"36005002500",2,0
"36005002701",0,0
"36005002702",2,2
"36005003800",0,0
"36005003900",3,2
"36005004001",8,5
"36005004200",0,0
"36005004400",0,0
"36005004600",0,0
"36005004800",8,8
"36005006400",4,1
"36005006800",3,2
"36005007000",0,0
"36005007200",4,0
"36005007400",0,0
"36005007600",4,2
"36005008600",1,0
"36005008700",4,3
"36005011702",0,0
"36005012102",0,0
"36005012500",7,1
"36005012901",2,1
"36005013000",0,0
"36005013200",3,1
"36005013300",2,1
"36005013500",1,0
"36005014400",1,1
"36005014900",3,1
"36005015200",0,0
"36005015300",3,1
"36005015800",1,1
"36005016000",0,0
"36005016200",0,0
"36005016400",0,0
"36005017500",1,0
"36005017901",4,2
"36005017902",0,0
"36005018102",6,3
"36005018400",0,0
"36005020200",0,0
"36005020400",0,0
"36005020900",1,0
"36005021002",3,1
"36005021302",1,0
"36005021501",0,0
"36005021900",1,1
"36005022101",3,1
"36005022102",3,0
"36005022300",1,1
"36005022404",3,1
"36005022500",2,1
"36005022702",0,0
"36005022703",0,0
"36005022800",5,0
"36005022902",3,2
"36005023200",2,1
"36005023301",3,0
"36005023600",0,0
"36005023900",1,1
"36005024100",1,0
"36005024300",0,0
"36005024400",1,1
"36005024501",4,1
"36005024600",0,0
"36005024800",1,1
"36005025000",3,2
"36005025100",2,0
"36005025200",0,0
"36005025300",0,0
"36005025400",0,0
"36005026500",0,0
"36005026601",0,0
"36005026602",4,2
"36005026701",2,0
"36005026702",5,3
"36005027300",3,1
"36005027700",2,0
"36005027900",0,0
"36005028600",0,0
"36005028700",3,0
"36005028800",0,0
"36005030900",0,0
"36005031200",2,1
"36005031400",1,0
"36005031600",1,0
"36005031800",0,0
"36005031900",0,0
"36005032400",0,0
"36005032600",0,0
"36005032800",1,0
"36005033601",3,1
"36005033602",0,0
"36005034000",0,0
"36005034200",0,0
"36005034300",0,0
"36005034400",0,0
"36005035900",2,1
"36005036300",1,0
"36005036501",1,0
"36005036901",0,0
"36005036902",1,1
"36005037000",0,0
"36005037100",0,0
"36005037300",2,1
"36005037400",32,20
"36005037504",4,2
"36005038200",2,1
"36005038600",2,1
"36005038800",0,0
"36005039000",1,0
"36005039100",3,1
"36005039200",1,1
"36005039800",6,2
"36005040302",4,3
"36005040303",0,0
"36005040304",0,0
"36005040400",3,1
"36005040501",4,0
"36005040502",0,0
"36005040600",4,1
"36005040701",0,0
"36005040702",1,1
"36005040800",2,1
"36005041500",2,2
"36005042000",23,12
"36005042200",33,11
"36005042300",2,1
"36005042400",2,0
"36005042800",1,1
"36005042902",2,0
"36005043000",1,0
"36005043101",4,1
"36005043400",3,0
"36005043600",1,1
"36005044200",2,0
