ntaname,boroname,nta2020,candidate_set,rank,cand_id,cand_type,lat,lon,site_in_nta,new_residents_covered,new_busy_street_m,new_subway_entries,L2_after
Sunset Park (Central),Brooklyn,BK0703,prototype candidates (Parks/plaza/busy street),1,1600,park,40.646337,-74.002526,Sunset Park (Central),1771,0,0,0.432
Sunset Park (Central),Brooklyn,BK0703,prototype candidates (Parks/plaza/busy street),2,1517,park,40.632828,-74.013164,Dyker Heights,998,0,0,0.4096
Sunset Park (Central),Brooklyn,BK0703,prototype candidates (Parks/plaza/busy street),3,1615,park,40.649038,-74.0043,Sunset Park (Central),716,0,0,0.3935
Dyker Heights,Brooklyn,BK1002,prototype candidates (Parks/plaza/busy street),1,1367,park,40.616618,-74.020251,Dyker Heights,1368,0,0,0.3985
Brighton Beach,Brooklyn,BK1303,prototype candidates (Parks/plaza/busy street),1,677,park,40.582845,-73.965318,Brighton Beach,6121,0,0,0.3006
Astoria (East)-Woodside (North),Queens,QN0104,prototype candidates (Parks/plaza/busy street),1,2811,park,40.759767,-73.911933,Astoria (East)-Woodside (North),1183,0,1913413,0.4144
East Flushing,Queens,QN0705,prototype candidates (Parks/plaza/busy street),1,2605,park,40.748837,-73.808932,East Flushing,1691,0,0,0.6014
East Flushing,Queens,QN0705,prototype candidates (Parks/plaza/busy street),2,2566,park,40.747503,-73.819593,Queensboro Hill,890,0,0,0.5725
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,QN1403,prototype candidates (Parks/plaza/busy street),1,522,park,40.57464,-73.84486,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,3042,0,0,0.5782
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,QN1403,prototype candidates (Parks/plaza/busy street),2,427,park,40.5706,-73.853727,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1447,0,0,0.5221
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,QN1403,prototype candidates (Parks/plaza/busy street),3,381,park,40.567907,-73.860818,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,719,0,0,0.4942
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,QN1403,prototype candidates (Parks/plaza/busy street),4,1295,park,40.611078,-73.821734,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,609,0,0,0.4706
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,QN1403,prototype candidates (Parks/plaza/busy street),5,954,park,40.594872,-73.823549,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,328,0,0,0.4579
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,QN1403,prototype candidates (Parks/plaza/busy street),6,554,park,40.575984,-73.839543,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,298,0,0,0.4464
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,QN1403,prototype candidates (Parks/plaza/busy street),7,456,park,40.571946,-73.850181,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,230,0,0,0.4374
