nta2020,ntaname,boroname,events_311,pred,resid_ratio,eb_p_gt_1_5,confident_six,residents,street_m,subway_entries,L2_residents,L3_residents,L3_ext_recov,cov21_not14,L2_streets,L2_subway,L2_residents_400m,L3_residents_400m,L3_ext_recov_400m,cov21_not14_400m,L2_streets_400m,L2_subway_400m,L3_ext_recov_frac,L3_ext_recov_frac_400m,parks_restrooms_serving,n_long_term_closed,n_ltc_listed_operational,n_repeatedly_failing,max_res_share_one_broken,broken_names,L2_residents_strict,L4_lost_pp,L4_reopen_gain_pp,pip26_props,pip26_n_rated,pip26_fail_rate,in_29,flag_build,flag_fix,flag_extend,primary_action,flags,build_cands_in_reach,build_sites_needed,build_L2_after,build_target_reached,anyloc_sites,anyloc_L2_after,anyloc_target_reached,fix_gain_pp,L2_after_fix,final_fix,final_build,final_extend,final_action,final_label,build_signal,display_action
BK1703,East Flatbush-Rugby,Brooklyn,18,5.78675487861987,3.11055166108798,0.948166039593192,FALSE,36352,0,0,0.59347552327856,0.40652447672144,0.32456527358596,0,,,0.748350825438743,0.251649174561256,0.208306304842946,0,,,0.798390483651886,0.82776470539243,6,0,0,1,0.0555271734574111,"Kennedy King Playground [failing, 6%]",0.649002696735971,5.5527173457411,0,6,7,0.285714285714286,TRUE,TRUE,FALSE,TRUE,BUILD,BUILD+EXTEND HOURS,1,0,0.59347552327856,FALSE,1,0.307294242887883,TRUE,5.6,0.593,FALSE,TRUE,TRUE,BUILD,BUILD,stronger,BUILD
QN0104,Astoria (East)-Woodside (North),Queens,57,20.2473579016995,2.81518212285938,0.999852585499409,TRUE,36805,0,4902948,0.446504065829566,0.553495934170435,0.389652124129098,0,,0.390257657229895,0.57401251339643,0.425987486603572,0.277312681808674,0,,0.390257657229895,0.703983715278953,0.650987858868128,3,1,0,0,0.0655687309565859,"St. Michael's Playground [long-term closed, 7%]",0.446504065829566,0,6.55687309565861,2,2,0,TRUE,TRUE,FALSE,TRUE,BUILD,BUILD+EXTEND HOURS,1,1,0.41437226006646,FALSE,1,0.247596179349338,TRUE,6.6,0.447,FALSE,TRUE,TRUE,BUILD,BUILD,stronger,BUILD
SI0202,New Dorp-Midland Beach,Staten Island,14,5.08585063258978,2.7527351885423,0.835518751441684,FALSE,29103,0,0,0.590144803514244,0.409855196485757,0.409855196485757,0,,,0.742522614997579,0.257477385002422,0.257477385002422,0,,,1,1,10,1,0,0,0.149966252661608,"Midland Field [long-term closed, 15%]",0.590144803514244,0,4.38255866914012,7,7,0,TRUE,TRUE,TRUE,TRUE,BUILD,BUILD+FIX+EXTEND HOURS,31,6,0.466561511914032,FALSE,2,0.297017132246652,TRUE,4.4,0.59,FALSE,TRUE,TRUE,BUILD,BUILD,stronger,BUILD
BK1002,Dyker Heights,Brooklyn,16,6.4656116142548,2.4746305461226,0.816038359335868,FALSE,39148,0,0,0.433394816075924,0.566605183924077,0.363404697546927,0,,,0.592596316697165,0.407403683302835,0.285009888105832,0,,,0.641371995628657,0.699576120164764,4,0,0,0,0,"",0.433394816075924,0,0,3,3,0.333333333333333,TRUE,TRUE,FALSE,TRUE,BUILD,BUILD+EXTEND HOURS,13,1,0.398454483087159,TRUE,1,0.148563109049596,TRUE,0,0.433,FALSE,TRUE,TRUE,BUILD,BUILD,stronger,BUILD
BX1203,Wakefield-Woodlawn,Bronx,31,13.3780035361382,2.31723664269181,0.939524400174924,FALSE,49552,0,2304894,0.538967860544184,0.455136456998137,0.340093307463444,0,,0,0.65359381239164,0.340510505150681,0.197024953977246,0,,0,0.747233719105995,0.578616374522895,6,0,0,0,0,"",0.538967860544184,0,0,5,6,0.166666666666667,TRUE,TRUE,FALSE,TRUE,BUILD,BUILD+EXTEND HOURS,14,0,0.538967860544184,FALSE,1,0.329378078958318,TRUE,0,0.539,FALSE,TRUE,TRUE,BUILD,BUILD,stronger,BUILD
SI0106,Port Richmond,Staten Island,8,3.82750420603115,2.09013486840696,0.468235173498795,FALSE,20577,0,0,0.585565700815737,0.414434299184262,0.289690481555185,0,,,0.726031305634746,0.273968694365253,0.169450950468591,0,,,0.699002187138919,0.618504792531808,4,1,0,0,0.00886565444081116,"Prall Playground [long-term closed, 1%]",0.585565700815737,0,0.886565444081111,4,5,0,TRUE,TRUE,FALSE,TRUE,BUILD,BUILD+EXTEND HOURS,7,3,0.455854513588877,FALSE,1,0.312245224550225,TRUE,0.9,0.586,FALSE,TRUE,TRUE,BUILD,BUILD,weaker,"BUILD, VERIFY FIRST"
QN0705,East Flushing,Queens,10,4.84195050669765,2.06528339894583,0.521355009696869,FALSE,30771,0,0,0.656357218519516,0.343642781480484,0.275421293031859,0,,,0.745836570589756,0.254163429410244,0.227908146325863,0,,,0.801475566707054,0.896699209853665,5,1,0,0,0.0692077362079363,"Kissena Park Zone 2 (Tennis Courts) [long-term closed, 7%]",0.656357218519516,0,3.87352402561528,6,7,0.142857142857143,TRUE,TRUE,FALSE,FALSE,BUILD,BUILD,34,2,0.572496599487794,FALSE,1,0.376112188939885,TRUE,3.9,0.656,FALSE,TRUE,FALSE,BUILD,BUILD,weaker,"BUILD, VERIFY FIRST"
BK0703,Sunset Park (Central),Brooklyn,30,15.2370387565827,1.96888650605023,0.796276937000427,FALSE,44499,0,2951046,0.471775939676904,0.528224060323096,0.453808262857343,0,,0,0.655114195539261,0.344885804460739,0.305713174578205,0,,1,0.859120772688325,0.88641854963041,4,0,0,0,0,"",0.471775939676904,0,0,6,6,0.166666666666667,TRUE,TRUE,FALSE,TRUE,BUILD,BUILD+EXTEND HOURS,10,3,0.393475803094558,TRUE,1,0.0832150410371269,TRUE,0,0.472,FALSE,TRUE,TRUE,BUILD,BUILD,stronger,BUILD
QN1206,Hollis,Queens,9,4.58744438364214,1.96187664576209,0.454317899384362,FALSE,22264,0,0,0.452956173486284,0.547043826513718,0.547043826513718,0,,,0.602216907843507,0.397783092156494,0.381902946829709,0,,,1,0.960078380303459,5,0,0,1,0.056598594642073,"Bellaire Playground [failing, 6%]",0.509554768128357,5.6598594642073,0,5,6,0.166666666666667,TRUE,TRUE,FALSE,TRUE,BUILD,BUILD+EXTEND HOURS,0,0,0.452956173486284,FALSE,1,0.174578934460358,TRUE,5.7,0.453,FALSE,TRUE,TRUE,BUILD,BUILD,weaker,"BUILD, VERIFY FIRST"
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,15,8.75921616510113,1.71248199807692,0.439063150490401,FALSE,25783.0000000001,0,234326,0.696212185374479,0.30378781462552,0.274735290695419,0,,0.183581847511586,0.762181755402648,0.237818244597351,0.214213068904144,0,,0.183581847511586,0.904365736440371,0.900742788959809,6,1,0,0,0.144121665007519,"Rockaway Beach 08b (PIP Q050-ZN08B) [long-term closed, 14%]",0.696212185374479,0,3.4615832137456,4,4,0,TRUE,TRUE,TRUE,FALSE,BUILD,BUILD+FIX,24,9,0.430302300049214,FALSE,2,0.316919741429704,TRUE,3.5,0.696,FALSE,TRUE,FALSE,BUILD,BUILD,weaker,"BUILD, VERIFY FIRST"
