nta2020,ntaname,boroname,events_311,pred,resid_ratio,eb_p_gt_1_5,confident_six,in_29,residents,L2_residents,L2_streets,L2_subway,L3_residents,L3_ext_recov,L3_ext_recov_frac,L2_residents_400m,L3_residents_400m,L3_ext_recov_frac_400m,parks_restrooms_serving,n_long_term_closed,n_ltc_listed_operational,n_repeatedly_failing,max_res_share_one_broken,L4_lost_pp,L4_reopen_gain_pp,pip26_props,pip26_n_rated,pip26_fail_rate,flag_build,flag_fix,flag_extend,flags,primary_action,build_cands_in_reach,build_sites_needed,build_L2_after,build_target_reached,anyloc_sites,anyloc_L2_after,anyloc_target_reached,broken_names,street_m,subway_entries
BK1303,Brighton Beach,Brooklyn,24,6.2374,3.8478,0.9969,TRUE,TRUE,28327,0.5167,,0,0.4833,0.4671,0.9666,0.5939,0.4061,0.9602,7,4,1,0,0.3484,0,33.1691,4,4,0,TRUE,TRUE,TRUE,BUILD+FIX+EXTEND HOURS,BUILD,13,1,0.3006,TRUE,1,0.11,TRUE,"Asser Levy Park [long-term closed, 4%]; Grady Playground [long-term closed, 31%]; Coney Island Beach Zone 4a (PIP B169-ZN04A) [long-term closed, 3%]; Coney Island Beach Zone 1b (PIP B169-ZN01B) [long-term closed, 35%]",0,3242354
QN0302,East Elmhurst,Queens,36,10.2883,3.4991,0.9997,TRUE,TRUE,29093,0.1439,,,0.6799,0.4051,0.5958,0.2908,0.5879,0.4907,5,0,0,1,0.289,3.9638,0,5,7,0.2857,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Helen Marshall Playground [failing, 29%]",0,0
BK1703,East Flatbush-Rugby,Brooklyn,18,5.7868,3.1106,0.9482,FALSE,TRUE,36352,0.5935,,,0.4065,0.3246,0.7984,0.7484,0.2516,0.8278,6,0,0,1,0.0555,5.5527,0,6,7,0.2857,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,1,0,0.5935,FALSE,1,0.3073,TRUE,"Kennedy King Playground [failing, 6%]",0,0
MN1102,East Harlem (North),Manhattan,99,33.048,2.9956,1,TRUE,TRUE,63246,0.0843,0,0.3469,0.9157,0.8749,0.9554,0.269,0.731,0.871,15,1,1,3,0.3158,18.6848,0,14,18,0.2222,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Marcus Garvey Park Zone 1 [long-term closed, 12%]; Alice Kornegay Triangle [failing, 22%]; Poor Richard's Playground [failing, 15%]; P.S. 155 Playground [failing, 32%]",2035.0825,9055398
BX1201,Williamsbridge-Olinville,Bronx,39,13.1156,2.9736,0.9986,TRUE,TRUE,57663,0.2202,,0,0.7798,0.7798,1,0.3289,0.6711,1,11,1,0,1,0.1153,0,0,9,9,0.2222,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Rosewood Playground [failing, 12%]; Zimmerman Playground [long-term closed, 2%]",0,3035680
QN0104,Astoria (East)-Woodside (North),Queens,57,20.2474,2.8152,0.9999,TRUE,TRUE,36805,0.4465,,0.3903,0.5535,0.3897,0.704,0.574,0.426,0.651,3,1,0,0,0.0656,0,6.5569,2,2,0,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,1,1,0.4144,FALSE,1,0.2476,TRUE,"St. Michael's Playground [long-term closed, 7%]",0,4902948
SI0202,New Dorp-Midland Beach,Staten Island,14,5.0859,2.7527,0.8355,FALSE,TRUE,29103,0.5901,,,0.4099,0.4099,1,0.7425,0.2575,1,10,1,0,0,0.15,0,4.3826,7,7,0,TRUE,TRUE,TRUE,BUILD+FIX+EXTEND HOURS,BUILD,31,6,0.4666,FALSE,2,0.297,TRUE,"Midland Field [long-term closed, 15%]",0,0
BK1002,Dyker Heights,Brooklyn,16,6.4656,2.4746,0.816,FALSE,TRUE,39148,0.4334,,,0.5666,0.3634,0.6414,0.5926,0.4074,0.6996,4,0,0,0,0,0,0,3,3,0.3333,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,13,1,0.3985,TRUE,1,0.1486,TRUE,"",0,0
BX0201,Hunts Point,Bronx,5,2.1479,2.3278,0.4029,FALSE,TRUE,14219,0.0399,,,0.9601,0.9249,0.9633,0.209,0.791,0.7092,8,1,0,0,0.4269,0,0,7,8,0.25,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Monsignor Raul Del Valle Square [long-term closed, 43%]",0,0
BX1203,Wakefield-Woodlawn,Bronx,31,13.378,2.3172,0.9395,FALSE,TRUE,49552,0.539,,0,0.4551,0.3401,0.7472,0.6536,0.3405,0.5786,6,0,0,0,0,0,0,5,6,0.1667,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,14,0,0.539,FALSE,1,0.3294,TRUE,"",0,2304894
BK0201,Brooklyn Heights,Brooklyn,24,11.3645,2.1118,0.8112,FALSE,TRUE,26031,0.0502,0,0,0.5563,0.4308,0.7744,0.0986,0.5847,0.7011,6,0,0,0,0,0,0,4,4,0,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",184.0531,1724293
SI0106,Port Richmond,Staten Island,8,3.8275,2.0901,0.4682,FALSE,TRUE,20577,0.5856,,,0.4144,0.2897,0.699,0.726,0.274,0.6185,4,1,0,0,0.0089,0,0.8866,4,5,0,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,7,3,0.4559,FALSE,1,0.3122,TRUE,"Prall Playground [long-term closed, 1%]",0,0
QN0705,East Flushing,Queens,10,4.842,2.0653,0.5214,FALSE,TRUE,30771,0.6564,,,0.3436,0.2754,0.8015,0.7458,0.2542,0.8967,5,1,0,0,0.0692,0,3.8735,6,7,0.1429,TRUE,FALSE,FALSE,BUILD,BUILD,34,2,0.5725,FALSE,1,0.3761,TRUE,"Kissena Park Zone 2 (Tennis Courts) [long-term closed, 7%]",0,0
QN1401,Far Rockaway-Bayswater,Queens,50,25.2597,1.9794,0.9175,FALSE,TRUE,62827,0.2658,,0.1857,0.6247,0.4733,0.7577,0.4843,0.4549,0.7349,8,2,2,0,0.0831,7.9244,0,7,10,0.1,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"Bayswater Playground [long-term closed, 8%]; Arverne East Nature Preserve [long-term closed, 2%]",0,1078182
BK0703,Sunset Park (Central),Brooklyn,30,15.237,1.9689,0.7963,FALSE,TRUE,44499,0.4718,,0,0.5282,0.4538,0.8591,0.6551,0.3449,0.8864,4,0,0,0,0,0,0,6,6,0.1667,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,10,3,0.3935,TRUE,1,0.0832,TRUE,"",0,2951046
QN1206,Hollis,Queens,9,4.5874,1.9619,0.4543,FALSE,TRUE,22264,0.453,,,0.547,0.547,1,0.6022,0.3978,0.9601,5,0,0,1,0.0566,5.6599,0,5,6,0.1667,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,0,0,0.453,FALSE,1,0.1746,TRUE,"Bellaire Playground [failing, 6%]",0,0
