nta2020,site_id,published_name,borough,lat,lon,snapped_to_residential,raw_nta,ambiguous,ntaname,resid_ratio,in_29,confident_six,primary_action,flags,L2_residents,L3_residents,L4_lost_pp,reaches_29_within_500m
BX0401,P01,Yankee Stadium,Bronx,40.82882,-73.926474,TRUE,Yankee Stadium-Macombs Dam Park,TRUE,Concourse-Concourse Village,0.899342485336271,FALSE,FALSE,EXTEND HOURS,EXTEND HOURS,0,0.983922775365679,0,""
BX0602,P02,Admiral Farragut Playground,Bronx,40.843018,-73.891811,FALSE,Tremont,FALSE,Tremont,0.946038057835243,FALSE,FALSE,EXTEND HOURS,EXTEND HOURS,0.0470446065128901,0.833829946342667,0,""
BX0602,P03,Mapes Park,Bronx,40.847221,-73.885799,FALSE,Tremont,FALSE,Tremont,0.946038057835243,FALSE,FALSE,EXTEND HOURS,EXTEND HOURS,0.0470446065128901,0.833829946342667,0,""
BX0202,P04,Monsignor Raul Del Valle Square,Bronx,40.820651,-73.890772,FALSE,Longwood,FALSE,Longwood,0.852152132216302,FALSE,FALSE,EXTEND HOURS,EXTEND HOURS,0,1,0,Hunts Point
BK0202,P05,Columbus Park,Brooklyn,40.693713,-73.989976,FALSE,Downtown Brooklyn-DUMBO-Boerum Hill,TRUE,Downtown Brooklyn-DUMBO-Boerum Hill,1.36704605554042,FALSE,FALSE,EXTEND HOURS,EXTEND HOURS,0.116383059328378,0.848546775326549,0,Brooklyn Heights
BK1101,P06,Milestone Park,Brooklyn,40.609542,-73.999463,FALSE,Bensonhurst,FALSE,Bensonhurst,1.01083773011612,FALSE,FALSE,BUILD,BUILD,0.704319894903295,0.295680105096707,0.654334836010628,""
BK1601,P07,Fulton Street and Truxton Street,Brooklyn,40.678193,-73.909103,FALSE,Ocean Hill,FALSE,Ocean Hill,0.568412603127196,FALSE,FALSE,FIX,FIX EXTEND HOURS,0.446824663438754,0.553175336561247,11.699770222378,""
BK1203,P08,Avenue C Plaza,Brooklyn,40.640566,-73.979094,FALSE,Kensington,FALSE,Kensington,1.10777315823882,FALSE,FALSE,BUILD,BUILD EXTEND HOURS,0.480829303163056,0.506639529574779,0,""
QN0103,P09,Astoria Boulevard South and 31st Street,Queens,40.769977,-73.91784,FALSE,Astoria (Central),TRUE,Astoria (Central),0.85258310598345,FALSE,FALSE,EXTEND HOURS,EXTEND HOURS,0.363932268436473,0.636067731563527,0,""
QN0105,P10,Northern Boulevard and 31st Street,Queens,40.751613,-73.933834,FALSE,Queensbridge-Ravenswood-Dutch Kills,FALSE,Queensbridge-Ravenswood-Dutch Kills,0.298642690097429,FALSE,FALSE,EXTEND HOURS,EXTEND HOURS,0.23363029120318,0.76636970879682,0,""
QN0104,P11,Northern Boulevard and 54th Street,Queens,40.753305,-73.906798,FALSE,Astoria (East)-Woodside (North),FALSE,Astoria (East)-Woodside (North),2.81518212285938,TRUE,TRUE,BUILD,BUILD EXTEND HOURS,0.446504065829566,0.553495934170435,0,Woodside; Astoria (East)-Woodside (North)
QN0203,P12,34th Avenue and 64th Street,Queens,40.75227,-73.899015,FALSE,Woodside,FALSE,Woodside,1.70571758332386,TRUE,FALSE,EXTEND HOURS,EXTEND HOURS,0.300630730591751,0.69936926940825,0,Woodside; Astoria (East)-Woodside (North)
MN0202,P13,Cooper Square,Manhattan,40.727922,-73.991372,FALSE,Greenwich Village,FALSE,Greenwich Village,1.23593330174516,FALSE,FALSE,EXTEND HOURS,EXTEND HOURS,0,0.814333818135829,0,""
MN1001,P14,Malcolm X Plaza,Manhattan,40.79863,-73.952505,FALSE,Harlem (South),TRUE,Harlem (South),0.763300163778297,FALSE,FALSE,EXTEND HOURS,EXTEND HOURS,0.00824514809157504,0.991754851908425,0,""
MN0302,P15,Delancey Street and Suffolk Street,Manhattan,40.718028,-73.986579,FALSE,Lower East Side,FALSE,Lower East Side,0.862349755240968,FALSE,FALSE,EXTEND HOURS,EXTEND HOURS,0,1,0,Chinatown-Two Bridges
MN1201,P16,Plaza Alianza Dominicana,Manhattan,40.839041,-73.93943,FALSE,Washington Heights (South),TRUE,Washington Heights (South),0.677143171019652,FALSE,FALSE,EXTEND HOURS,EXTEND HOURS,0.138358444221429,0.861641555778571,0,""
SI0101,P17,North Shore Esplanade,Staten Island,40.64664,-74.089449,FALSE,St. George-New Brighton,TRUE,St. George-New Brighton,1.65828631651932,TRUE,FALSE,BUILD,BUILD EXTEND HOURS,0.490918810353338,0.509081189646661,0,St. George-New Brighton
