"nta2020","ntaname","six","scenario","hour","measure","n_origins","weight_total","median_min","wmean_min","share_over_500m","weighting"
"BK1303","Brighton Beach",TRUE,"off_season",14,"stations_in",2,3242354,3.3,4,0,"2025 entries"
"BK1303","Brighton Beach",TRUE,"off_season",14,"stations_400",2,3242354,3.3,4,0,"2025 entries"
"BK1303","Brighton Beach",TRUE,"off_season",14,"hotspots",3,12,4.49,4.31,0,"complaints in hot spot"
"BK1303","Brighton Beach",TRUE,"off_season",14,"complaints",24,24,4.94,4.68,0.17,"none (each complaint = 1)"
"BK1303","Brighton Beach",TRUE,"off_season",14,"complaints_evening",10,10,3.52,3.78,0,"none (each complaint = 1)"
"BK1303","Brighton Beach",TRUE,"off_season",18,"stations_in",2,3242354,22.34,24.78,1,"2025 entries"
"BK1303","Brighton Beach",TRUE,"off_season",18,"stations_400",2,3242354,22.34,24.78,1,"2025 entries"
"BK1303","Brighton Beach",TRUE,"off_season",18,"hotspots",3,12,25.11,23.8,1,"complaints in hot spot"
"BK1303","Brighton Beach",TRUE,"off_season",18,"complaints",24,24,25.54,26.03,1,"none (each complaint = 1)"
"BK1303","Brighton Beach",TRUE,"off_season",18,"complaints_evening",10,10,28.22,27.07,1,"none (each complaint = 1)"
"BK1303","Brighton Beach",TRUE,"off_season",21,"stations_in",2,3242354,22.34,24.78,1,"2025 entries"
"BK1303","Brighton Beach",TRUE,"off_season",21,"stations_400",2,3242354,22.34,24.78,1,"2025 entries"
"BK1303","Brighton Beach",TRUE,"off_season",21,"hotspots",3,12,25.11,23.8,1,"complaints in hot spot"
"BK1303","Brighton Beach",TRUE,"off_season",21,"complaints",24,24,25.54,26.03,1,"none (each complaint = 1)"
"BK1303","Brighton Beach",TRUE,"off_season",21,"complaints_evening",10,10,28.22,27.07,1,"none (each complaint = 1)"
"BK1303","Brighton Beach",TRUE,"in_season",14,"stations_in",2,3242354,3.3,4,0,"2025 entries"
"BK1303","Brighton Beach",TRUE,"in_season",14,"stations_400",2,3242354,3.3,4,0,"2025 entries"
"BK1303","Brighton Beach",TRUE,"in_season",14,"hotspots",3,12,4.49,4.31,0,"complaints in hot spot"
"BK1303","Brighton Beach",TRUE,"in_season",14,"complaints",24,24,4.94,4.68,0.17,"none (each complaint = 1)"
"BK1303","Brighton Beach",TRUE,"in_season",14,"complaints_evening",10,10,3.52,3.78,0,"none (each complaint = 1)"
"BK1303","Brighton Beach",TRUE,"in_season",18,"stations_in",2,3242354,3.41,4.05,0,"2025 entries"
"BK1303","Brighton Beach",TRUE,"in_season",18,"stations_400",2,3242354,3.41,4.05,0,"2025 entries"
"BK1303","Brighton Beach",TRUE,"in_season",18,"hotspots",3,12,4.49,4.77,0.33,"complaints in hot spot"
"BK1303","Brighton Beach",TRUE,"in_season",18,"complaints",24,24,4.94,4.89,0.25,"none (each complaint = 1)"
"BK1303","Brighton Beach",TRUE,"in_season",18,"complaints_evening",10,10,3.52,3.94,0.1,"none (each complaint = 1)"
"BK1303","Brighton Beach",TRUE,"in_season",21,"stations_in",2,3242354,22.34,24.78,1,"2025 entries"
"BK1303","Brighton Beach",TRUE,"in_season",21,"stations_400",2,3242354,22.34,24.78,1,"2025 entries"
"BK1303","Brighton Beach",TRUE,"in_season",21,"hotspots",3,12,25.11,23.8,1,"complaints in hot spot"
"BK1303","Brighton Beach",TRUE,"in_season",21,"complaints",24,24,25.54,26.03,1,"none (each complaint = 1)"
"BK1303","Brighton Beach",TRUE,"in_season",21,"complaints_evening",10,10,28.22,27.07,1,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"off_season",14,"stations_in",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"off_season",14,"stations_400",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"off_season",14,"hotspots",1,20,1.63,1.63,0,"complaints in hot spot"
"QN0302","East Elmhurst",TRUE,"off_season",14,"complaints",36,36,2.13,3.39,0.14,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"off_season",14,"complaints_evening",19,19,1.79,2.89,0.16,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"off_season",18,"stations_in",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"off_season",18,"stations_400",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"off_season",18,"hotspots",1,20,23.59,23.59,1,"complaints in hot spot"
"QN0302","East Elmhurst",TRUE,"off_season",18,"complaints",36,36,23.06,18.07,0.89,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"off_season",18,"complaints_evening",19,19,23.09,20.16,0.95,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"off_season",21,"stations_in",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"off_season",21,"stations_400",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"off_season",21,"hotspots",1,20,23.59,23.59,1,"complaints in hot spot"
"QN0302","East Elmhurst",TRUE,"off_season",21,"complaints",36,36,23.06,18.07,0.89,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"off_season",21,"complaints_evening",19,19,23.09,20.16,0.95,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"in_season",14,"stations_in",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"in_season",14,"stations_400",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"in_season",14,"hotspots",1,20,1.63,1.63,0,"complaints in hot spot"
"QN0302","East Elmhurst",TRUE,"in_season",14,"complaints",36,36,2.13,3.39,0.14,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"in_season",14,"complaints_evening",19,19,1.79,2.89,0.16,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"in_season",18,"stations_in",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"in_season",18,"stations_400",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"in_season",18,"hotspots",1,20,1.63,1.63,0,"complaints in hot spot"
"QN0302","East Elmhurst",TRUE,"in_season",18,"complaints",36,36,2.13,3.9,0.19,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"in_season",18,"complaints_evening",19,19,2.13,3.15,0.16,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"in_season",21,"stations_in",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"in_season",21,"stations_400",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"in_season",21,"hotspots",1,20,23.59,23.59,1,"complaints in hot spot"
"QN0302","East Elmhurst",TRUE,"in_season",21,"complaints",36,36,23.06,18.07,0.89,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"in_season",21,"complaints_evening",19,19,23.09,20.16,0.95,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",14,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",14,"stations_400",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",14,"hotspots",1,5,6.33,6.33,0,"complaints in hot spot"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",14,"complaints",18,18,6.66,6.33,0.28,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",14,"complaints_evening",7,7,6.76,6.68,0.29,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",18,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",18,"stations_400",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",18,"hotspots",1,5,41.32,41.32,1,"complaints in hot spot"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",18,"complaints",18,18,43.86,45.28,1,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",18,"complaints_evening",7,7,43.57,43.59,1,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",21,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",21,"stations_400",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",21,"hotspots",1,5,47.96,47.96,1,"complaints in hot spot"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",21,"complaints",18,18,51.54,51.91,1,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",21,"complaints_evening",7,7,51.51,50.95,1,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",14,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",14,"stations_400",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",14,"hotspots",1,5,6.33,6.33,0,"complaints in hot spot"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",14,"complaints",18,18,6.66,6.33,0.28,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",14,"complaints_evening",7,7,6.76,6.68,0.29,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",18,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",18,"stations_400",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",18,"hotspots",1,5,7.71,7.71,1,"complaints in hot spot"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",18,"complaints",18,18,7.08,6.94,0.56,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",18,"complaints_evening",7,7,7.09,7.31,0.71,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",21,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",21,"stations_400",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",21,"hotspots",1,5,47.96,47.96,1,"complaints in hot spot"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",21,"complaints",18,18,51.54,51.91,1,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",21,"complaints_evening",7,7,51.51,50.95,1,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"off_season",14,"stations_in",2,9055398,5.62,5.01,0.35,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"off_season",14,"stations_400",9,23259135,3.41,3.68,0.14,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"off_season",14,"hotspots",5,70,3.12,3.88,0.11,"complaints in hot spot"
"MN1102","East Harlem (North)",TRUE,"off_season",14,"complaints",100,100,3.11,3.53,0.07,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"off_season",14,"complaints_evening",35,35,3.11,3.69,0.11,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"off_season",18,"stations_in",2,9055398,7.04,6,0.35,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"off_season",18,"stations_400",9,23259135,6.36,6.16,0.27,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"off_season",18,"hotspots",5,70,3.12,4.13,0.11,"complaints in hot spot"
"MN1102","East Harlem (North)",TRUE,"off_season",18,"complaints",100,100,3.33,5.32,0.3,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"off_season",18,"complaints_evening",35,35,3.22,5.56,0.37,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"off_season",21,"stations_in",2,9055398,27.8,27.78,1,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"off_season",21,"stations_400",9,23259135,29.76,30.18,1,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"off_season",21,"hotspots",5,70,24.25,26.16,1,"complaints in hot spot"
"MN1102","East Harlem (North)",TRUE,"off_season",21,"complaints",100,100,24.51,26.23,0.99,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"off_season",21,"complaints_evening",35,35,24.53,25.96,1,"none (each complaint = 1)"
