"nta2020","ntaname","six","ratio","complaints","evening_complaints","thin","stations_in","stations_400","hotspots","hotspot_complaints","hotspot_params","restrooms","restrooms_open_14","restrooms_open_18_off","restrooms_open_18_in","restrooms_open_21","stations_in_off_14","stations_400_off_14","hotspots_off_14","complaints_off_14","complaints_evening_off_14","stations_in_off_18","stations_400_off_18","hotspots_off_18","complaints_off_18","complaints_evening_off_18","stations_in_off_21","stations_400_off_21","hotspots_off_21","complaints_off_21","complaints_evening_off_21","stations_in_in_14","stations_400_in_14","hotspots_in_14","complaints_in_14","complaints_evening_in_14","stations_in_in_18","stations_400_in_18","hotspots_in_18","complaints_in_18","complaints_evening_in_18","stations_in_in_21","stations_400_in_21","hotspots_in_21","complaints_in_21","complaints_evening_in_21","stations_in_off_14_wmean","stations_400_off_14_wmean","hotspots_off_14_wmean","complaints_off_14_wmean","complaints_evening_off_14_wmean","stations_in_off_18_wmean","stations_400_off_18_wmean","hotspots_off_18_wmean","complaints_off_18_wmean","complaints_evening_off_18_wmean","stations_in_off_21_wmean","stations_400_off_21_wmean","hotspots_off_21_wmean","complaints_off_21_wmean","complaints_evening_off_21_wmean","stations_in_in_14_wmean","stations_400_in_14_wmean","hotspots_in_14_wmean","complaints_in_14_wmean","complaints_evening_in_14_wmean","stations_in_in_18_wmean","stations_400_in_18_wmean","hotspots_in_18_wmean","complaints_in_18_wmean","complaints_evening_in_18_wmean","stations_in_in_21_wmean","stations_400_in_21_wmean","hotspots_in_21_wmean","complaints_in_21_wmean","complaints_evening_in_21_wmean"
"BK1303","Brighton Beach",TRUE,3.85,24,10,TRUE,2,2,3,12,"eps150_min4 (fallback)",1,1,0,0,0,3.3,3.3,4.49,4.94,3.52,22.34,22.34,25.11,25.54,28.22,22.34,22.34,25.11,25.54,28.22,3.3,3.3,4.49,4.94,3.52,3.41,3.41,4.49,4.94,3.52,22.34,22.34,25.11,25.54,28.22,4,4,4.31,4.68,3.78,24.78,24.78,23.8,26.03,27.07,24.78,24.78,23.8,26.03,27.07,4,4,4.31,4.68,3.78,4.05,4.05,4.77,4.89,3.94,24.78,24.78,23.8,26.03,27.07
"QN0302","East Elmhurst",TRUE,3.5,36,19,FALSE,0,0,1,20,"eps150_min5",7,7,2,4,2,NA,NA,1.63,2.13,1.79,NA,NA,23.59,23.06,23.09,NA,NA,23.59,23.06,23.09,NA,NA,1.63,2.13,1.79,NA,NA,1.63,2.13,2.13,NA,NA,23.59,23.06,23.09,NA,NA,1.63,3.39,2.89,NA,NA,23.59,18.07,20.16,NA,NA,23.59,18.07,20.16,NA,NA,1.63,3.39,2.89,NA,NA,1.63,3.9,3.15,NA,NA,23.59,18.07,20.16
"BK1703","East Flatbush-Rugby",FALSE,3.11,18,7,TRUE,0,0,1,5,"eps150_min5",4,3,0,2,0,NA,NA,6.33,6.66,6.76,NA,NA,41.32,43.86,43.57,NA,NA,47.96,51.54,51.51,NA,NA,6.33,6.66,6.76,NA,NA,7.71,7.08,7.09,NA,NA,47.96,51.54,51.51,NA,NA,6.33,6.33,6.68,NA,NA,41.32,45.28,43.59,NA,NA,47.96,51.91,50.95,NA,NA,6.33,6.33,6.68,NA,NA,7.71,6.94,7.31,NA,NA,47.96,51.91,50.95
"MN1102","East Harlem (North)",TRUE,3,100,35,FALSE,2,9,5,70,"eps150_min5",8,8,1,8,0,5.62,3.41,3.12,3.11,3.11,7.04,6.36,3.12,3.33,3.22,27.8,29.76,24.25,24.51,24.53,5.62,3.41,3.12,3.11,3.11,5.62,3.41,3.12,3.11,3.11,27.8,29.76,24.25,24.51,24.53,5.01,3.68,3.88,3.53,3.69,6,6.16,4.13,5.32,5.56,27.78,30.18,26.16,26.23,25.96,5.01,3.68,3.88,3.53,3.69,5.01,3.72,3.88,3.53,3.69,27.78,30.18,26.16,26.23,25.96
"BX1201","Williamsbridge-Olinville",TRUE,2.97,39,22,FALSE,4,5,2,26,"eps150_min5",6,6,0,6,0,4.8,4.6,0.72,3.51,0.96,12.8,11.66,14.55,14.44,14.5,30.06,28.27,36.66,36.6,36.6,4.8,4.6,0.72,3.51,0.96,4.8,4.6,0.72,3.51,0.96,30.06,28.27,36.66,36.6,36.6,4.3,4.25,2.11,3.13,2.45,12.12,10.44,15.08,14.08,14.16,31.74,31.01,35.32,34.63,35.04,4.3,4.25,2.11,3.13,2.45,4.3,4.25,2.11,3.13,2.45,31.74,31.01,35.32,34.63,35.04
"QN0104","Astoria (East)-Woodside (North)",TRUE,2.82,59,32,FALSE,2,4,2,48,"eps150_min5",2,2,0,1,0,5.33,8.5,7.62,7.5,7.5,31.87,31.87,47.12,47.02,47.02,50.59,49.64,47.51,47.61,47.61,5.33,8.5,7.62,7.5,7.5,10.21,10.15,7.62,7.72,7.72,50.59,49.64,47.51,47.61,47.61,4.94,6.67,5.98,6.37,6.67,30.92,32.5,43.19,42.29,42.84,49.63,49.04,48.03,48,48.02,4.94,6.67,5.98,6.37,6.67,10.78,10.54,7.85,8.01,7.89,49.63,49.04,48.03,48,48.02
"SI0202","New Dorp-Midland Beach",FALSE,2.75,15,4,TRUE,0,0,0,0,"none (no cluster at minPts 4)",4,4,0,4,0,NA,NA,NA,6.35,4.97,NA,NA,NA,50.21,43.59,NA,NA,NA,57.09,43.59,NA,NA,NA,6.35,4.97,NA,NA,NA,6.35,4.97,NA,NA,NA,57.09,43.59,NA,NA,NA,6.94,4.69,NA,NA,NA,49.76,44.49,NA,NA,NA,52.42,44.75,NA,NA,NA,6.94,4.69,NA,NA,NA,6.94,4.69,NA,NA,NA,52.42,44.75
"BK1002","Dyker Heights",FALSE,2.47,16,3,TRUE,0,4,1,5,"eps150_min5",5,5,0,3,0,NA,11.18,15.93,7.51,9.75,NA,33.46,31.52,28.63,17.9,NA,49.44,46.56,47.27,46.78,NA,11.18,15.93,7.51,9.75,NA,11.45,15.93,7.78,9.87,NA,49.44,46.56,47.27,46.78,NA,9.57,15.93,8.48,10.13,NA,33.25,31.52,26.93,19.62,NA,49.88,46.56,49.32,45.58,NA,9.57,15.93,8.48,10.13,NA,9.95,15.93,9.29,10.7,NA,49.88,46.56,49.32,45.58
"BX0201","Hunts Point",FALSE,2.33,5,1,TRUE,0,6,0,0,"none (no cluster at minPts 4)",3,3,0,2,0,NA,3.55,NA,4.46,4.97,NA,20.38,NA,22.44,22.44,NA,28.42,NA,35.15,36.78,NA,3.55,NA,4.46,4.97,NA,3.55,NA,4.46,4.97,NA,28.42,NA,35.15,36.78,NA,3.46,NA,4.19,4.97,NA,19.51,NA,23.17,22.44,NA,29.06,NA,35.4,36.78,NA,3.46,NA,4.19,4.97,NA,3.46,NA,4.19,4.97,NA,29.06,NA,35.4,36.78
"BX1203","Wakefield-Woodlawn",FALSE,2.32,31,11,FALSE,3,4,1,23,"eps150_min5",7,7,4,7,2,5.27,4.67,3.6,3.35,3.35,12.78,8.8,3.6,3.52,3.35,32.13,30.2,28.7,28.05,28.05,5.27,4.67,3.6,3.35,3.35,5.27,4.67,3.6,3.35,3.35,32.13,30.2,28.7,28.05,28.05,4.88,4.23,3.6,4.28,3.43,12.93,11.17,3.6,5.59,4.64,33.22,31.89,28.7,28.36,26.76,4.88,4.23,3.6,4.28,3.43,4.88,4.23,3.6,4.28,3.43,33.22,31.89,28.7,28.36,26.76
