"ntaname","cluster","plain","n","distinct_addr","station_anchored","nearest_station","d_station_m","nearest_restroom","d_restroom_m","nearest_open9pm","d_open9pm_m","nearest_park","d_park_m","owner","share_evening_night","years","lat","lon"
"East Harlem (North)",1,"Park Ave at E 124-125 St, under the Metro-North viaduct",6,6,TRUE,"125 St (4,5,6)",190,"Harlem Library, NYPL",344,"Sunken Meadow",2183,"Marcus Garvey Park",157,"MTA / DOT (station exit, sidewalk)",0.166667,"2020-2025",40.804951,-73.939574
"East Harlem (North)",2,"E 116-117 St at Lexington Ave",8,7,TRUE,"116 St (6)",85,"P.S. 155 Playground",611,"Sunken Meadow",2075,"Lydia's Magic Garden (El Girasol Magic Garden)",78,"MTA / DOT (station exit, sidewalk)",0.625,"2020-2026",40.799269,-73.942173
"East Harlem (North)",3,"E 122 St between 2nd and 3rd Ave",42,22,FALSE,"125 St (4,5,6)",316,"125th Street Library, NYPL",226,"Sunken Meadow",1746,"Dr. Ronald E. McNair Playground",156,"DOT (street) / private frontage",0.357143,"2021-2025",40.801419,-73.936496
"East Harlem (North)",4,"E 124-126 St between Lexington and 3rd Ave",10,9,TRUE,"125 St (4,5,6)",60,"125th Street Library, NYPL",204,"Sunken Meadow",1941,"Dr. Ronald E. McNair Playground",159,"MTA / DOT (station exit, sidewalk)",0.3,"2020-2025",40.804003,-73.936896
"East Harlem (North)",5,"E 128 St at Madison Ave",4,4,FALSE,"125 St (4,5,6)",385,"Moore Playground",281,"Sunken Meadow",2353,"Harlem Rose Garden",131,"DOT (street) / private frontage",0.25,"2024-2026",40.807205,-73.939726
"Astoria (East)-Woodside (North)",1,"28 Ave at 56 Pl, Woodside (North)",36,3,FALSE,"46 St (M,R)",902,"Astoria Heights Playground",547,"Grand Central Parkway Gas",3423,"St. Michael's Playground",365,"DOT (street) / private frontage",0.583333,"2020-2022",40.761228,-73.904825
"Astoria (East)-Woodside (North)",2,"Broadway at 41-42 St (Steinway St commercial strip)",12,8,FALSE,"Steinway St (M,R)",306,"Broadway Library, QPL",69,"Queensboro Oval Indoor Tennis",3566,"Sean's Place",213,"DOT (street) / private frontage",0.333333,"2020-2026",40.758506,-73.917814
"East Elmhurst",1,"25 Ave at 85 St, at Gorman Playground",20,12,FALSE,"82 St-Jackson Hts (7)",1712,"Gorman Playground",126,"Grand Central Parkway Gas",1694,"Gorman Playground",0,"Parks (adjacent park/playground)",0.65,"2022-2026",40.763069,-73.884306
"Williamsbridge-Olinville",1,"E 211 St by the Gun Hill Rd (2,5) station",9,5,TRUE,"Gun Hill Rd (2,5)",70,"Gun Hill Playground",342,"Major Deegan No. Gas Station",2356,"Marcus Garvey Square",54,"MTA / DOT (station exit, sidewalk)",0.555556,"2022-2026",40.877763,-73.865438
"Williamsbridge-Olinville",2,"Cruger Ave at Magenta St, by Gun Hill Playground",17,5,FALSE,"Burke Av (2,5)",360,"Gun Hill Playground",47,"Major Deegan No. Gas Station",2648,"Gun Hill Playground",11,"Parks (adjacent park/playground)",0.764706,"2022-2026",40.874439,-73.865856
"Brighton Beach",1,"Brighton 8 St at Coney Island Ave",4,4,TRUE,"Brighton Beach (B,Q)",128,"Coney Island Beach Zone 2a",323,"Steeplechase Park Carousel",2046,"Tilyou Playground",104,"MTA / DOT (station exit, sidewalk)",0.5,"2021-2024",40.577838,-73.959887
"Brighton Beach",2,"Ocean Pkwy malls at the Ocean Pkwy (Q) station",4,4,TRUE,"Ocean Pkwy (Q)",22,"Brighton Beach Library, BPL",151,"Steeplechase Park Carousel",1287,"Ocean Parkway Malls",10,"MTA / DOT (station exit, sidewalk)",0.25,"2020-2022",40.576123,-73.968562
"Brighton Beach",3,"Brighton 4-5 St at Oceanview Ave",4,4,FALSE,"Brighton Beach (B,Q)",274,"Brighton Beach Library, BPL",458,"Steeplechase Park Carousel",1808,"Grady Playground",322,"DOT (street) / private frontage",0.5,"2024-2026",40.579432,-73.963567
"Midtown-Times Square",1,"Columbus Circle / 8 Ave at 58 St",9,5,TRUE,"59 St-Columbus Circle (1,A,C,B,D)",182,"Central Park West",303,"61 West 62nd Street POPS",501,"Central Park",128,"MTA / DOT (station exit, sidewalk)",0,"2020-2026",40.766645,-73.982098
"Midtown-Times Square",2,"Broadway at 39-40 St (Garment District)",5,5,TRUE,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",186,"Bryant Park",364,"120 Park Avenue POPS",774,"Bryant Park",197,"MTA / DOT (station exit, sidewalk)",0.2,"2020-2026",40.754125,-73.987011
"Midtown-Times Square",3,"Central Park South at 57 St / 7 Ave",17,13,TRUE,"57 St (M)",128,"725 Fifth Avenue POPS",340,"725 Fifth Avenue POPS",340,"Central Park",118,"MTA / DOT (station exit, sidewalk)",0.117647,"2020-2026",40.764755,-73.976343
"Midtown-Times Square",4,"7 Ave at 51-53 St",7,6,TRUE,"7 Av (E,B,D)",26,"825 Eighth Avenue POPS",440,"645 Fifth Avenue POPS",646,"Father Duffy Square",497,"MTA / DOT (station exit, sidewalk)",0.285714,"2022-2026",40.763042,-73.981844
"Midtown-Times Square",5,"Times Square at 42-43 St",5,4,TRUE,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",137,"McCaffrey Playground",369,"575 Fifth Avenue POPS",846,"McCaffrey Playground",317,"MTA / DOT (station exit, sidewalk)",0,"2023-2026",40.756873,-73.988232
