"hour","day","day_type","scenario","placeholder_close","metric","value"
6,"Sunday","weekend","off_season",16,"n_open",34
7,"Sunday","weekend","off_season",16,"n_open",55
8,"Sunday","weekend","off_season",16,"n_open",715
9,"Sunday","weekend","off_season",16,"n_open",733
10,"Sunday","weekend","off_season",16,"n_open",739
11,"Sunday","weekend","off_season",16,"n_open",749
12,"Sunday","weekend","off_season",16,"n_open",759
13,"Sunday","weekend","off_season",16,"n_open",767
14,"Sunday","weekend","off_season",16,"n_open",767
15,"Sunday","weekend","off_season",16,"n_open",766
16,"Sunday","weekend","off_season",16,"n_open",124
17,"Sunday","weekend","off_season",16,"n_open",100
18,"Sunday","weekend","off_season",16,"n_open",97
19,"Sunday","weekend","off_season",16,"n_open",85
20,"Sunday","weekend","off_season",16,"n_open",61
21,"Sunday","weekend","off_season",16,"n_open",54
22,"Sunday","weekend","off_season",16,"n_open",39
23,"Sunday","weekend","off_season",16,"n_open",21
24,"Sunday","weekend","off_season",16,"n_open",15
6,"Monday","weekday","off_season",16,"n_open",34
7,"Monday","weekday","off_season",16,"n_open",56
8,"Monday","weekday","off_season",16,"n_open",720
9,"Monday","weekday","off_season",16,"n_open",741
10,"Monday","weekday","off_season",16,"n_open",912
11,"Monday","weekday","off_season",16,"n_open",943
12,"Monday","weekday","off_season",16,"n_open",952
13,"Monday","weekday","off_season",16,"n_open",953
14,"Monday","weekday","off_season",16,"n_open",953
15,"Monday","weekday","off_season",16,"n_open",952
16,"Monday","weekday","off_season",16,"n_open",311
17,"Monday","weekday","off_season",16,"n_open",294
18,"Monday","weekday","off_season",16,"n_open",154
19,"Monday","weekday","off_season",16,"n_open",98
20,"Monday","weekday","off_season",16,"n_open",65
21,"Monday","weekday","off_season",16,"n_open",56
22,"Monday","weekday","off_season",16,"n_open",41
23,"Monday","weekday","off_season",16,"n_open",22
24,"Monday","weekday","off_season",16,"n_open",15
6,"Tuesday","weekday","off_season",16,"n_open",34
7,"Tuesday","weekday","off_season",16,"n_open",56
8,"Tuesday","weekday","off_season",16,"n_open",720
9,"Tuesday","weekday","off_season",16,"n_open",741
10,"Tuesday","weekday","off_season",16,"n_open",807
11,"Tuesday","weekday","off_season",16,"n_open",836
12,"Tuesday","weekday","off_season",16,"n_open",845
13,"Tuesday","weekday","off_season",16,"n_open",953
14,"Tuesday","weekday","off_season",16,"n_open",953
15,"Tuesday","weekday","off_season",16,"n_open",952
16,"Tuesday","weekday","off_season",16,"n_open",311
17,"Tuesday","weekday","off_season",16,"n_open",295
18,"Tuesday","weekday","off_season",16,"n_open",202
19,"Tuesday","weekday","off_season",16,"n_open",146
20,"Tuesday","weekday","off_season",16,"n_open",66
21,"Tuesday","weekday","off_season",16,"n_open",57
22,"Tuesday","weekday","off_season",16,"n_open",41
23,"Tuesday","weekday","off_season",16,"n_open",22
24,"Tuesday","weekday","off_season",16,"n_open",15
6,"Wednesday","weekday","off_season",16,"n_open",34
