"site_id","borough","published_name","method","geocode_source","lat","lon","raw_nta","raw_ntatype","snapped_to_residential","nta2020","ntaname","resid_ratio","ratio_rank","posterior_p_gt_1.5","posterior_rank","events_311","in_29","in_six","group","dist_to_six_m","nearest_six","dist_to_29_m","nearest_29","dist_to_own_boundary_m","n_ntas_within_30m","ntas_within_30m","any_six_within_30m","any_29_within_30m","polygon_acres","polygon_nta_shares","polygon_touches_six","polygon_touches_29","ambiguous","resolution_note","geosearch_top_hit","geosearch_match_type","geosearch_top_hit_distance_m"
"P01","Bronx","Yankee Stadium","geosearch_venue","NYC GeoSearch venue 'YANKEE STADIUM, Bronx, NY, USA'",40.82882,-73.926474,"Yankee Stadium-Macombs Dam Park","9",TRUE,"BX0401","Concourse-Concourse Village",0.9,96,0.007,120,16,FALSE,FALSE,"neither",1208,"East Harlem (North)",904,"Melrose",86,0,"",FALSE,FALSE,55.53,"Yankee Stadium-Macombs Dam Park 62%; Concourse-Concourse Village 21%; Highbridge 18%",FALSE,FALSE,TRUE,"A stadium is a large site; the unit's exact spot is not published. Checked against the stadium, Macombs Dam Park and the Yankee Stadium garages (share of their area by NTA reported).","YANKEE STADIUM, Bronx, NY, USA","exact",0
"P02","Bronx","Admiral Farragut Playground","parks","NYC Parks property X148H 'Admiral Farragut Playground' (S/S E 176 St bet. Crotona Av and Prospect Av)",40.843018,-73.891811,"Tremont","0",FALSE,"BX0602","Tremont",0.95,82,0.061,71,5,FALSE,FALSE,"neither",3461,"Williamsbridge-Olinville",2296,"Hunts Point",191,1,"Tremont (0.95)",FALSE,FALSE,1.3,"Tremont 100%",FALSE,FALSE,FALSE,"","303 ADMIRAL LANE, Bronx, NY, USA","exact",5085
"P03","Bronx","Mapes Park","parks","NYC Parks property X289 'Mapes Park' (Mapes Ave., Prospect Ave. bet. E. 180 St. and E. 181 St.)",40.847221,-73.885799,"Tremont","0",FALSE,"BX0602","Tremont",0.95,82,0.061,71,5,FALSE,FALSE,"neither",2806,"Williamsbridge-Olinville",2698,"Hunts Point",169,1,"Tremont (0.95)",FALSE,FALSE,1.95,"Tremont 100%",FALSE,FALSE,FALSE,"","MAPES BALLFIELD, Bronx, NY, USA","fallback",18
"P04","Bronx","Monsignor Raul Del Valle Square","parks","NYC Parks property X009 'Monsignor Raul Del Valle Square' (Hunts Point Av, Bruckner Blvd, E 163 St)",40.820651,-73.890772,"Longwood","0",FALSE,"BX0202","Longwood",0.85,106,0.02,97,8,FALSE,FALSE,"neither",3635,"East Harlem (North)",20,"Hunts Point",20,2,"Hunts Point (2.33, 29); Longwood (0.85)",FALSE,TRUE,0.4,"Longwood 100%",FALSE,FALSE,FALSE,"","MONSIGNOR RAUL DEL VALLE SQUARE, Bronx, NY, USA","fallback",58
"P05","Brooklyn","Columbus Park","parks","NYC Parks property B113C 'Columbus Park' (Adam St., Court St., Cadman Plaza West bet. Johnson St. and Fulton St.)",40.693713,-73.989976,"Downtown Brooklyn-DUMBO-Boerum Hill","0",FALSE,"BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",1.37,36,0.172,39,45,FALSE,FALSE,"neither",6050,"Midtown-Times Square",40,"Brooklyn Heights",40,1,"Downtown Brooklyn-DUMBO-Boerum Hill (1.37)",FALSE,FALSE,5.43,"Downtown Brooklyn-DUMBO-Boerum Hill 100%",FALSE,FALSE,TRUE,"Name also matches Columbus Park, Manhattan (M015, Chinatown). The release lists it under Brooklyn, so B113C (Cadman Plaza / Borough Hall) is used.","COLUMBUS PARK, Brooklyn, NY, USA","fallback",7
"P06","Brooklyn","Milestone Park","parks","NYC Parks property B063 'Milestone Park' (18 Ave. bet. 81 St. and 82 St.)",40.609542,-73.999463,"Bensonhurst","0",FALSE,"BK1101","Bensonhurst",1.01,77,0.005,125,32,FALSE,FALSE,"neither",3927,"Brighton Beach",1033,"Dyker Heights",160,1,"Bensonhurst (1.01)",FALSE,FALSE,0.48,"Bensonhurst 100%",FALSE,FALSE,FALSE,"","MILESTONE PARK, Brooklyn, NY, USA","fallback",4
"P07","Brooklyn","Fulton Street and Truxton Street","corner","Intersection of FULTON ST and TRUXTON ST, NYC Centerline inkn-q76z (borough 3)",40.678193,-73.909103,"Ocean Hill","0",FALSE,"BK1601","Ocean Hill",0.57,158,0,151,8,FALSE,FALSE,"neither",8305,"Astoria (East)-Woodside (North)",2211,"Bushwick (West)",349,1,"Ocean Hill (0.57)",FALSE,FALSE,NA,NA,NA,NA,FALSE,"","(no result)",NA,NA
"P08","Brooklyn","Avenue C Plaza","plaza","NYC DOT plaza polygon 'Avenue C Plaza' (McDonald Avenue, Avenue C to Church Avenue)",40.640566,-73.979094,"Kensington","0",FALSE,"BK1203","Kensington",1.11,64,0.048,78,17,FALSE,FALSE,"neither",6307,"Brighton Beach",754,"Windsor Terrace-South Slope",82,1,"Kensington (1.11)",FALSE,FALSE,0.13,"Kensington 100%",FALSE,FALSE,FALSE,"","125 AVENUE C, Brooklyn, NY, USA","fallback",84
"P09","Queens","Astoria Boulevard South and 31st Street","corner","Intersection of ASTORIA BLVD S and 31 ST, NYC Centerline inkn-q76z (borough 4)",40.769977,-73.91784,"Astoria (Central)","0",FALSE,"QN0103","Astoria (Central)",0.85,105,0.001,145,24,FALSE,FALSE,"neither",480,"Astoria (East)-Woodside (North)",480,"Astoria (East)-Woodside (North)",3,2,"Astoria (North)-Ditmars-Steinway (0.90); Astoria (Central) (0.85)",FALSE,FALSE,NA,NA,NA,NA,TRUE,"The two centerlines do not intersect; midpoint of their closest approach used (gap 44 m).","(no result)",NA,NA
"P10","Queens","Northern Boulevard and 31st Street","corner","Intersection of NORTHERN BLVD and 31 ST, NYC Centerline inkn-q76z (borough 4)",40.751613,-73.933834,"Queensbridge-Ravenswood-Dutch Kills","0",FALSE,"QN0105","Queensbridge-Ravenswood-Dutch Kills",0.3,185,0,186,7,FALSE,FALSE,"neither",695,"Astoria (East)-Woodside (North)",695,"Astoria (East)-Woodside (North)",1,1,"Queensbridge-Ravenswood-Dutch Kills (0.30)",FALSE,FALSE,NA,NA,NA,NA,FALSE,"","(no result)",NA,NA
