"station_complex_id","station","borough","nta2020","nta_ratio","in_hi","in_six","entries","d_rr","d_rr18","d_rr21","team_score","y_250","y_250_no_top1","y_250_no_subloc","y_400","y_400_no_top1","y_400_no_subloc","y_600","y_600_no_top1","y_600_no_subloc","pop_250","pop_400","pop_600","area_km2_250","area_km2_400","area_km2_600"
1,"Astoria-Ditmars Blvd (N,W)","Queens","QN0101",0.89520282524565,FALSE,FALSE,3607457,295.050256963882,2083.03029234229,2083.03029234229,56.2617924528302,5,5,5,7,7,7,9,9,9,3147.18479838497,8833.04248517135,17617.9796486071,0.196259835911022,0.493577581614333,0.971014794586
2,"Astoria Blvd (N,W)","Queens","QN0101",0.89520282524565,FALSE,FALSE,2633399,199.662701855666,2530.45301383944,2530.45301383944,45.1179245283019,1,1,1,1,1,1,4,4,4,3392.46806596222,7405.67679114263,12735.5769977222,0.196079018199485,0.42627529873708,0.693094448735317
3,"30 Av (N,W)","Queens","QN0103",0.85258310598345,FALSE,FALSE,3378416,141.118182908164,2318.74371703661,2922.54837996074,47.5,2,2,1,4,4,3,9,9,8,4551.4540524011,9929.24164488912,15645.2088509212,0.196079018201257,0.410773262029641,0.655873802799853
4,"Broadway (N,W)","Queens","QN0103",0.85258310598345,FALSE,FALSE,3023232,686.160151090917,1746.02247499571,2928.71913455134,80.5070754716981,5,5,5,10,10,10,11,11,11,5200.46793934242,11895.8443318431,16048.6972510101,0.196259835911023,0.438316988826462,0.608870239863298
5,"36 Av (N,W)","Queens","QN0103",0.85258310598345,FALSE,FALSE,1630136,347.723870182972,1245.01193192972,2586.25783631777,41.9575471698113,3,3,2,5,5,4,5,5,4,3723.57603780899,6889.23640732801,8815.70045581875,0.196259835911072,0.385914937502074,0.513159028738789
6,"39 Av-Dutch Kills (N,W)","Queens","QN0105",0.298642690097429,FALSE,FALSE,972281,543.351395642479,986.223662723837,2409.18738290868,50.9669811320755,1,1,0,1,1,0,1,1,0,1712.39196620951,2852.10036617912,3052.51439767221,0.177528316174968,0.296170098406656,0.340224417421106
8,"5 Av/59 St (N,R,W)","Manhattan","MN0502",1.92873430718364,TRUE,TRUE,3858708,280.643303306363,280.643303306363,280.643303306363,56.8278301886792,7,7,3,8,8,4,8,8,4,1020.03465673116,1588.3469792021,1712.47432791589,0.179312346888337,0.305008252293295,0.413782359934043
9,"57 St-7 Av (N,Q,R,W)","Manhattan","MN0502",1.92873430718364,TRUE,TRUE,8768081,502.746548128164,595.066071856047,627.761776816817,91.4504716981132,8,2,7,10,3,9,10,3,9,3317.58386311514,4023.60174260113,4023.60174260113,0.113685527458322,0.133563627773751,0.133563627773751
10,"49 St (N,R,W)","Manhattan","MN0502",1.92873430718364,TRUE,TRUE,7380047,351.37741862662,351.37741862662,640.246610015592,69.4575471698113,4,4,3,4,4,3,4,4,3,1565.59462116624,1946.68919320334,1971.04980701332,0.111176601542934,0.14113052440874,0.141805589656209
13,"28 St (R,W)","Manhattan","MN0501",0.696787909162235,FALSE,FALSE,3260572,337.924507182306,337.924507182306,1009.62008621173,55.9198113207547,5,5,5,5,5,5,5,5,5,3514.17264993782,3820.17415184194,3820.17415184194,0.181573985981214,0.19598231646388,0.19598231646388
