yr,all,A,U_noSubs,U_subs,N,rated,fail,fail_noSubs,fail_subs,N_share,acceptable
2012,523,350,43,51,79,444,0.212,0.097,0.115,0.151,0.669
2013,583,414,39,46,84,499,0.17,0.078,0.092,0.144,0.71
2014,697,465,52,64,116,581,0.2,0.09,0.11,0.166,0.667
2015,749,515,30,56,148,601,0.143,0.05,0.093,0.198,0.688
2016,800,549,44,62,145,655,0.162,0.067,0.095,0.181,0.686
2017,851,586,36,41,188,663,0.116,0.054,0.062,0.221,0.689
2018,847,577,53,47,170,677,0.148,0.078,0.069,0.201,0.681
2019,878,597,33,45,203,675,0.116,0.049,0.067,0.231,0.68
2020,574,399,41,17,117,457,0.127,0.09,0.037,0.204,0.695
2021,868,573,53,39,203,665,0.138,0.08,0.059,0.234,0.66
2022,909,633,25,41,210,699,0.094,0.036,0.059,0.231,0.696
2023,977,648,30,34,264,712,0.09,0.042,0.048,0.27,0.663
2024,954,680,39,24,211,743,0.085,0.052,0.032,0.221,0.713
2025,992,652,47,36,257,735,0.113,0.064,0.049,0.259,0.657
2026,975,554,74,65,281,693,0.201,0.107,0.094,0.288,0.568
