period,borough,n,failures,rate,mean_score,auc
2025H1,B,154,18,0.116883116883117,0.125421819635403,0.575980392156863
2025H1,M,95,19,0.2,0.133414207522844,0.562673130193906
2025H1,Q,162,21,0.12962962962963,0.103952496001829,0.66193853427896
2025H1,R,30,0,0,0.0671248539220286,
2025H1,X,112,12,0.107142857142857,0.100517238449825,0.44875
2025H2,B,169,28,0.165680473372781,0.123408789845538,0.657041540020263
2025H2,M,110,14,0.127272727272727,0.139025215930295,0.722842261904762
2025H2,Q,177,16,0.0903954802259887,0.102970998281193,0.496894409937888
2025H2,R,35,0,0,0.060665547358977,
2025H2,X,116,10,0.0862068965517242,0.097192073052362,0.564622641509434
2026H1,B,152,44,0.289473684210526,0.128957239465498,0.556923400673401
2026H1,M,94,22,0.234042553191489,0.146933634607583,0.675820707070707
2026H1,Q,145,19,0.131034482758621,0.107935212698636,0.603174603174603
2026H1,R,33,1,0.0303030303030303,0.0639834948767303,0.59375
2026H1,X,101,20,0.198019801980198,0.10090658368096,0.627160493827161
