period,risk_bin,n,predicted,observed
2025H1,"(0.1,0.2]",254,0.13082330935737,0.149606299212598
2025H1,"(0.05,0.1]",279,0.085964361465307,0.0860215053763441
2025H1,"(0.2,0.3]",19,0.235084383271672,0.421052631578947
2025H1,"(0.3,0.5]",1,0.421509907105258,0
2025H2,"(0.1,0.2]",266,0.130351680332175,0.135338345864662
2025H2,"(0.05,0.1]",307,0.083976655833499,0.0749185667752443
2025H2,"(0.2,0.3]",26,0.241292211156935,0.346153846153846
2025H2,"(0.3,0.5]",2,0.377976081203246,0
2025H2,"[0,0.05]",6,0.048061766984709,0
2026H1,"(0.05,0.1]",260,0.0851509099911825,0.142307692307692
2026H1,"(0.2,0.3]",29,0.237728957460362,0.517241379310345
2026H1,"(0.1,0.2]",230,0.134117916664793,0.221739130434783
2026H1,"(0.3,0.5]",4,0.349603344489268,0.75
2026H1,"[0,0.05]",2,0.04398880048127,0
