year,period,eligible,followed,rated,unknown,failed
2018,2018H1,646,612,526,86,87
2018,2018H2,651,621,580,41,70
2019,2019H1,661,626,527,99,58
2019,2019H2,663,629,588,41,65
2020,2020H1,664,482,400,82,51
2020,2020H2,669,642,581,61,94
2021,2021H1,677,641,521,120,73
2021,2021H2,677,643,584,59,56
2022,2022H1,679,649,537,112,55
2022,2022H2,683,656,589,67,67
2023,2023H1,682,661,543,118,50
2023,2023H2,679,658,603,55,51
2024,2024H1,678,666,556,110,52
2024,2024H2,686,670,614,56,78
2025,2025H1,685,670,553,117,70
2025,2025H2,683,670,607,63,68
2026,2026H1,682,669,525,144,106
