term,estimate,se,z,p,odds_ratio,lower,upper
(Intercept),-2.96893643735332,0.603146311758329,-4.92241497539478,0.000000854827078265932,0.051357903642996,0.0157470346378356,0.167500378786606
last_fail,0.18231993626441,0.124033749394469,1.46992199425151,0.141582881969188,1.19999805536612,0.941024397480249,1.53024229418313
recent_rate,0.659401944924231,0.265966783389851,2.47926427698938,0.0131653719222044,1.93363556796538,1.14809844703793,3.25664277253158
history_rate,2.49776537915275,0.582861472358769,4.2853499460937,0.0000182451762035834,12.1553010999099,3.87814479368532,38.0984601374476
last_struct,-0.203273960786418,0.175598851704078,-1.15760415750884,0.247025611862422,0.816054643826538,0.578424234317343,1.15130926783662
last_amenity,0.0740518758181702,0.118837989880908,0.623133022465124,0.533197110875014,1.07686266717919,0.853106757192206,1.3593060823723
last_litter,-0.313493610635826,0.320032972897258,-0.979566598396938,0.327300099345586,0.730889048904989,0.390331758941872,1.36857631891745
last_n,0.100357717909982,0.149713826888178,0.670330322829431,0.50264724118742,1.10556632822506,0.824414878225313,1.48259928148822
unknown_rate,0.0577940566368151,0.24249621689015,0.238329724801421,0.811625368405713,1.05949677691118,0.658692461134437,1.70418440549918
log_days,0.128480548853154,0.0499216939247445,2.57364161253892,0.0100634454425233,1.13709930319058,1.03110807892585,1.2539857380067
log_history,0.0240644595524721,0.241731997916788,0.0995501619969889,0.920701462149015,1.02435634531414,0.637800170957049,1.64519542321666
boroughM,0.107369838971784,0.100838557956484,1.06476967885755,0.286980169488813,1.1133459370631,0.913681044900451,1.35664319895131
boroughQ,-0.13447694539487,0.0954080519933043,-1.40949262232403,0.158689553465002,0.874173032358333,0.725077504341054,1.05392662981186
boroughR,-0.558016449995104,0.21247915615689,-2.62621736686057,0.00863396618661489,0.572343210036191,0.377390206591439,0.868005434039164
boroughX,-0.167320676297187,0.109316877166546,-1.53060241596794,0.125867684273199,0.845928298683238,0.682780562680117,1.04805954596041
halfH2,-0.0461178160467649,0.0725651645535636,-0.635536573650616,0.525078521235058,0.954929449550262,0.828328438351531,1.10088005119459
