period,n,failures,k,hits,precision,recall,random_hits,lift,auc,brier,mean_score,rate,model,budget
2025H1,493,58,50.0000000000004,5.88235294117647,0.117647058823528,0.101419878296146,5.88235294117651,0.999999999999992,0.5,0.103806588011242,0.1170473609498,0.117647058823529,random,10pct
2025H2,537,52,53.9999999999996,5.22905027932961,0.0968342644320304,0.100558659217877,5.22905027932957,1.00000000000001,0.5,0.0878659589347742,0.1170473609498,0.0968342644320298,random,10pct
2026H1,454,83,46.0000000000002,8.40969162995595,0.182819383259911,0.101321585903084,8.40969162995599,0.999999999999996,0.5,0.153722415283139,0.1170473609498,0.182819383259912,random,10pct
2025H1,493,58,99.0000000000006,11.6470588235294,0.117647058823529,0.200811359026369,11.6470588235295,0.999999999999995,0.5,0.103806588011242,0.1170473609498,0.117647058823529,random,20pct
2025H2,537,52,107.999999999999,10.4581005586592,0.0968342644320304,0.201117318435754,10.4581005586591,1.00000000000001,0.5,0.0878659589347742,0.1170473609498,0.0968342644320298,random,20pct
2026H1,454,83,90.9999999999995,16.636563876652,0.182819383259913,0.200440528634361,16.6365638766519,1.00000000000001,0.5,0.153722415283139,0.1170473609498,0.182819383259912,random,20pct
2025H1,493,58,148.000000000001,17.4117647058823,0.117647058823529,0.300202839756592,17.4117647058824,0.999999999999996,0.5,0.103806588011242,0.1170473609498,0.117647058823529,random,30pct
2025H2,537,52,162.000000000001,15.6871508379888,0.096834264432029,0.301675977653631,15.6871508379889,0.999999999999991,0.5,0.0878659589347742,0.1170473609498,0.0968342644320298,random,30pct
2026H1,454,83,136.999999999999,25.046255506608,0.182819383259914,0.301762114537445,25.0462555066077,1.00000000000001,0.5,0.153722415283139,0.1170473609498,0.182819383259912,random,30pct
2025H1,493,58,50.0000000000004,5.88235294117647,0.117647058823528,0.101419878296146,5.88235294117651,0.999999999999992,0.5,0.103806588011242,0.1170473609498,0.117647058823529,random,50
2025H2,537,52,50.0000000000002,4.84171322160149,0.0968342644320295,0.0931098696461824,4.8417132216015,0.999999999999997,0.5,0.0878659589347742,0.1170473609498,0.0968342644320298,random,50
2026H1,454,83,50.0000000000003,9.1409691629956,0.182819383259911,0.110132158590308,9.14096916299564,0.999999999999995,0.5,0.153722415283139,0.1170473609498,0.182819383259912,random,50
2025H1,493,58,50,8.13432835820895,0.162686567164179,0.140247040658775,5.88235294117648,1.38283582089552,0.525287356321839,0.120126211404102,0.0547667342799189,0.117647058823529,last_three,10pct
2025H2,537,52,54,10.7078651685393,0.198293799417395,0.205920484010372,5.2290502793296,2.04776481321425,0.603965107057891,0.0953858886819781,0.0626939788950963,0.0968342644320298,last_three,10pct
2026H1,454,83,46.0000000000001,16.4,0.356521739130434,0.197590361445783,8.40969162995596,1.95013095861707,0.589452148215504,0.162567302985805,0.0627753303964758,0.182819383259912,last_three,10pct
2025H1,493,58,99.0000000000004,13.8042959427208,0.139437332754755,0.238005102460703,11.6470588235295,1.18521732841541,0.525287356321839,0.120126211404102,0.0547667342799189,0.117647058823529,last_three,20pct
2025H2,537,52,108.000000000001,19.9705882352941,0.1849128540305,0.384049773755656,10.4581005586593,1.90958081950728,0.603965107057891,0.0953858886819781,0.0626939788950963,0.0968342644320298,last_three,20pct
2026H1,454,83,91.0000000000005,27.9707446808511,0.307370820668692,0.336996923865676,16.6365638766521,1.68128135642875,0.589452148215504,0.162567302985805,0.0627753303964758,0.182819383259912,last_three,20pct
2025H1,493,58,148,19.3007159904535,0.13041024317874,0.332770965352646,17.4117647058823,1.10848706701929,0.525287356321839,0.120126211404102,0.0547667342799189,0.117647058823529,last_three,30pct
2025H2,537,52,161.999999999999,24.0022624434389,0.148162113848389,0.461581970066133,15.6871508379887,1.53005875262663,0.603965107057891,0.0953858886819781,0.0626939788950963,0.0968342644320298,last_three,30pct
2026H1,454,83,137.000000000001,34.9441489361702,0.255066780555984,0.42101384260446,25.0462555066082,1.39518455870382,0.589452148215504,0.162567302985805,0.0627753303964758,0.182819383259912,last_three,30pct
2025H1,493,58,50,8.13432835820895,0.162686567164179,0.140247040658775,5.88235294117648,1.38283582089552,0.525287356321839,0.120126211404102,0.0547667342799189,0.117647058823529,last_three,50
2025H2,537,52,50,9.89887640449438,0.197977528089888,0.190363007778738,4.84171322160149,2.04449870354365,0.603965107057891,0.0953858886819781,0.0626939788950963,0.0968342644320298,last_three,50
2026H1,454,83,50.0000000000001,17.6,0.351999999999999,0.212048192771084,9.14096916299561,1.92539759036144,0.589452148215504,0.162567302985805,0.0627753303964758,0.182819383259912,last_three,50
2025H1,493,58,50,9,0.18,0.155172413793103,5.88235294117647,1.53,0.600237812128419,0.102335212501406,0.10317507494265,0.117647058823529,logistic_basic,10pct
2025H2,537,52,54,13,0.240740740740741,0.25,5.22905027932961,2.48611111111111,0.618298969072165,0.0856846540582918,0.100776235771697,0.0968342644320298,logistic_basic,10pct
2026H1,454,83,46,20,0.434782608695652,0.240963855421687,8.40969162995595,2.37820848611839,0.614327931672783,0.151343824006976,0.103904554441671,0.182819383259912,logistic_basic,10pct
2025H1,493,58,99,16.75,0.169191919191919,0.288793103448276,11.6470588235294,1.43813131313131,0.600237812128419,0.102335212501406,0.10317507494265,0.117647058823529,logistic_basic,20pct
2025H2,537,52,108,20,0.185185185185185,0.384615384615385,10.4581005586592,1.91239316239316,0.618298969072165,0.0856846540582918,0.100776235771697,0.0968342644320298,logistic_basic,20pct
2026H1,454,83,91,26,0.285714285714286,0.313253012048193,16.636563876652,1.56282271944923,0.614327931672783,0.151343824006976,0.103904554441671,0.182819383259912,logistic_basic,20pct
2025H1,493,58,148,24.6666666666667,0.166666666666667,0.425287356321839,17.4117647058824,1.41666666666667,0.600237812128419,0.102335212501406,0.10317507494265,0.117647058823529,logistic_basic,30pct
2025H2,537,52,162,23,0.141975308641975,0.442307692307692,15.6871508379888,1.46616809116809,0.618298969072165,0.0856846540582918,0.100776235771697,0.0968342644320298,logistic_basic,30pct
2026H1,454,83,137,31,0.226277372262774,0.373493975903614,25.0462555066079,1.23770996394336,0.614327931672783,0.151343824006976,0.103904554441671,0.182819383259912,logistic_basic,30pct
2025H1,493,58,50,9,0.18,0.155172413793103,5.88235294117647,1.53,0.600237812128419,0.102335212501406,0.10317507494265,0.117647058823529,logistic_basic,50
2025H2,537,52,50,12,0.24,0.230769230769231,4.84171322160149,2.47846153846154,0.618298969072165,0.0856846540582918,0.100776235771697,0.0968342644320298,logistic_basic,50
2026H1,454,83,50,22,0.44,0.265060240963855,9.1409691629956,2.40674698795181,0.614327931672783,0.151343824006976,0.103904554441671,0.182819383259912,logistic_basic,50
