prop_id,parent,site_name,borough,asof,half,last_date,max_available,days_since,n_history,n_rated,last_status,last_fail,last_struct,last_amenity,last_litter,recent_rate,history_rate,unknown_rate,last_n,log_days,log_history,risk_score,last_three,priority_order,lon,lat,register_matches,register_id,register_name,listed_status,nearest_alternative_m,alternatives_within400m
M010-ZN12&13,M010,The Mall And Rumsey Playfield,M,2026-07-01,H2,2024-10-25,2024-10-25,614,1,1,U,1,1,0,0,1,0.25,0,0,6.42162226780652,0.693147180559945,0.456313235844103,1,1,,,,,,,,
M028-02,M028,Lily Brown Playground,M,2026-07-01,H2,2026-02-24,2026-02-24,127,7,4,N,1,0,0,0,1,0.388888888888889,0.428571428571429,1,4.85203026391962,2.07944154167984,0.406030426995413,1,2,-73.9460142857143,40.8389,1,336,Lily Brown Playground,Not Operational,717.736270490332,0
M132,M132,Little Flower Playground,M,2026-07-01,H2,2026-03-16,2026-03-16,107,8,4,N,1,0,0,0,1,0.388888888888889,0.5,1,4.68213122712422,2.19722457733622,0.400684856724412,1,3,,,,,,,,
M194,M194,Alfred E. Smith Playground,M,2026-07-01,H2,2026-03-16,2026-03-16,107,7,6,U,1,0,0,0,1,0.409090909090909,0.142857142857143,0,4.68213122712422,2.07944154167984,0.400684856724412,1,4,-73.99736,40.71104,1,394,Alfred E. Smith Playground,Operational,265.862888610175,1
B315,B315,Surf Playground,B,2026-07-01,H2,2026-04-28,2026-04-28,64,7,7,U,1,0,0,0,1,0.291666666666667,0,0,4.17438726989564,2.07944154167984,0.355365935170727,1,5,-73.9927,40.57364,1,279,Surf Playground,Operational,221.367502060614,3
M027,M027,Downing Street Playground,M,2026-07-01,H2,2026-06-08,2026-06-08,23,8,3,N,1,0,0,0,1,0.4375,0.625,1,3.17805383034795,2.19722457733622,0.354514551647815,1,6,-74.00295,40.7300166666667,1,335,Downing Street Playground,Operational,201.244780499076,1
B096,B096,Sgt. William Dougherty Playground,B,2026-07-01,H2,2026-05-19,2026-05-19,43,8,8,U,1,0,0,0,1,0.423076923076923,0,0,3.78418963391826,2.19722457733622,0.343767716102881,1,7,-73.9369444444445,40.7235333333333,1,173,Sgt. William Dougherty Playground,Operational,572.255160497556,0
Q105,Q105,Howard Von Dohlen Playground,Q,2026-07-01,H2,2026-03-23,2026-03-23,100,7,1,N,1,0,0,0,1,0.25,0.857142857142857,1,4.61512051684126,2.07944154167984,0.33685406382946,1,8,-73.81308,40.69964,1,689,Howard Von Dohlen Playground,Operational,384.478218423245,1
B109,B109,Bill Brown Playground,B,2026-07-01,H2,2026-06-04,2026-06-04,27,8,7,U,1,0,0,0,1,0.375,0.125,0,3.3322045101752,2.19722457733622,0.330562840648598,1,9,-73.9455838709677,40.5917225806451,1,177,Bill Brown Playground,Operational,514.352126796046,0
B163,B163,Sperandeo Brothers Playground,B,2026-07-01,H2,2026-06-05,2026-06-05,26,8,8,U,1,0,0,0,1,0.346153846153846,0,0,3.29583686600433,2.19722457733622,0.329511527285429,1,10,-73.8842428571429,40.6776142857143,1,199,Sperandeo Brothers Playground,Operational,425.939424941651,0
M105-01,M105,Houston St Plgd,M,2026-07-01,H2,2026-06-22,2026-06-22,9,8,8,U,1,0,1,0,1,0.346153846153846,0,0,2.30258509299405,2.19722457733622,0.328779407894869,1,11,,,,,,,,
M037-03,M037,Quisqueya Plgd,M,2026-07-01,H2,2026-06-23,2026-06-23,8,8,1,U,1,1,0,0,1,0.25,0.875,0,2.19722457733622,2.19722457733622,0.325746763037774,1,12,-73.93116,40.84722,1,667,Quisqueya Playground,Not Operational,239.686122755433,1
B529,B529,Bushwick Inlet Park,B,2026-07-01,H2,2024-12-09,2024-12-09,569,4,4,U,1,0,0,0,0.666666666666667,0.388888888888889,0,0,6.3456363608286,1.6094379124341,0.309855182682125,0.666666666666667,13,-73.9607866666667,40.7218666666667,1,302,Bushwick Inlet Park,Operational,521.210643023183,0
B197,B197,Mellett Playground,B,2026-07-01,H2,2026-06-22,2026-06-22,9,8,6,N,1,0,0,0,1,0.409090909090909,0.25,1,2.30258509299405,2.19722457733622,0.301481820787309,1,14,-73.95736,40.59704,1,213,Mellett Playground,Operational,339.108331117961,1
Q082,Q082,Wayanda Park,Q,2026-07-01,H2,2026-06-04,2026-06-04,27,8,8,U,1,0,0,0,1,0.346153846153846,0,0,3.3322045101752,2.19722457733622,0.300467662005531,1,15,-73.7390166666667,40.7108333333333,1,481,Wayanda Park,Operational,1006.50533972454,0
M239,M239,P.S. 155 Playground,M,2026-07-01,H2,2026-02-25,2026-02-25,126,8,3,N,1,0,0,0,0.666666666666667,0.3125,0.625,1,4.84418708645859,2.19722457733622,0.295139234557335,0.666666666666667,16,-73.93532,40.79752,1,681,P.S. 155 Playground,Operational,416.880779147815,0
M010-ZN05,M010,"Dairy, Chess & Checkers House, Carousel",M,2026-07-01,H2,2026-03-17,2026-03-17,106,3,3,U,1,0,0,0,0.666666666666667,0.3125,0,0,4.67282883446191,1.38629436111989,0.290500149871369,0.666666666666667,17,-73.9746333333333,40.7691222222222,2,,,,,
M208A,M208A,Alice Kornegay Triangle,M,2026-07-01,H2,2026-04-09,2026-04-09,83,8,6,U,1,0,0,0,0.666666666666667,0.318181818181818,0.25,0,4.43081679884331,2.19722457733622,0.284022252260695,0.666666666666667,18,-73.93556,40.80656,1,398,Alice Kornegay Triangle,Operational,397.007986993595,1
M159,M159,Frederick Johnson Playground,M,2026-07-01,H2,2026-04-13,2026-04-13,79,8,6,U,1,0,0,0,0.666666666666667,0.318181818181818,0.25,0,4.38202663467388,2.19722457733622,0.282726898121817,0.666666666666667,19,,,,,,,,
X168,X168,Nelson Playground,X,2026-07-01,H2,2026-06-11,2026-06-11,20,7,7,U,1,1,1,0,1,0.375,0,0,3.04452243772342,2.07944154167984,0.282054491003563,1,20,-73.92656,40.83502,1,85,Nelson Playground,Operational,414.172536283116,0
M165,M165,Baruch Playground,M,2026-07-01,H2,2026-04-16,2026-04-16,76,8,8,U,1,1,1,0,0.666666666666667,0.269230769230769,0,0,4.34380542185368,2.19722457733622,0.281714648342452,0.666666666666667,21,-73.97696,40.71722,1,390,Baruch Playground,Operational,417.024833506095,0
B110,B110,Marion Hopkinson Playground,B,2026-07-01,H2,2026-02-13,2026-02-13,138,7,7,U,1,1,0,1,0.666666666666667,0.208333333333333,0,0,4.93447393313069,2.07944154167984,0.271843438954773,0.666666666666667,22,-73.91334,40.68184,1,178,Marion Hopkinson Playground,Operational,363.816267223116,1
B339,B339,Newport Playground,B,2026-07-01,H2,2026-02-17,2026-02-17,134,7,6,U,1,0,0,0,0.666666666666667,0.227272727272727,0.142857142857143,0,4.90527477843843,2.07944154167984,0.271088452782812,0.666666666666667,23,-73.90684,40.66092,1,288,Newport Playground,Operational,420.484894659536,0
B350,B350,Stroud Playground,B,2026-07-01,H2,2026-02-20,2026-02-20,131,7,7,U,1,0,0,0,0.666666666666667,0.208333333333333,0,0,4.88280192258637,2.07944154167984,0.270508282430542,0.666666666666667,24,-73.96226,40.675,1,292,Stroud Playground,Operational,328.943313523343,1
B018-ZN02,B018,Canarsie Park Zone 2,B,2026-07-01,H2,2026-02-27,2026-02-27,124,3,3,U,1,0,0,0,0.666666666666667,0.3125,0,0,4.8283137373023,1.38629436111989,0.269104836314845,0.666666666666667,25,,,,,,,,
M037-10,M037,Adventure Plgd,M,2026-07-01,H2,2026-02-25,2026-02-25,126,5,5,A,0,1,0,0,0.666666666666667,0.25,0,0,4.84418708645859,1.79175946922806,0.26270133186044,0.666666666666667,26,-73.9366,40.83686,1,1038,Adventure Playground,Operational,366.470536973575,1
