year,half,visits,rated,failures,unknown,rate
2018,H1,786,653,100,133,0.153139356814701
2018,H2,787,701,85,86,0.121255349500713
2019,H1,793,654,78,139,0.119266055045872
2019,H2,813,723,86,90,0.118948824343015
2020,H1,557,441,58,116,0.131519274376417
2020,H2,848,715,117,133,0.163636363636364
2021,H1,815,650,92,165,0.141538461538462
2021,H2,835,722,69,113,0.0955678670360111
2022,H1,832,676,65,156,0.0961538461538462
2022,H2,814,702,79,112,0.112535612535613
2023,H1,838,675,63,163,0.0933333333333333
2023,H2,872,757,68,115,0.0898282694848085
2024,H1,872,723,62,149,0.0857538035961272
2024,H2,854,741,94,113,0.126855600539811
2025,H1,873,715,83,158,0.116083916083916
2025,H2,856,721,88,135,0.122052704576976
2026,H1,852,668,137,184,0.205089820359281
