prop_id,lon,lat,register_matches,register_id,register_name,listed_status,nearest_alternative_m,alternatives_within400m
Q004-01,-73.9227076923077,40.7795692307692,1,438,Charybdis Playground,Operational,455.61833325821,0
Q014,-73.9113142857143,40.7610142857143,1,453,Astoria Heights Playground,Operational,675.790738850544,0
M239,-73.93532,40.79752,1,681,P.S. 155 Playground,Operational,416.880779147815,0
M047,-73.9347,40.7938,1,1065,Thomas Jefferson Park,Operational,418.399497433445,0
X002-07,-73.8773285714286,40.8431428571429,1,5,River Park,Operational,358.781414752116,1
X344,-73.9315444444445,40.8244333333333,2,,,,,
X013-01,-73.9049,40.86368,1,19,Devoe Park,Operational,573.870664970504,0
X092-ZN03,-73.8974133333334,40.8906533333333,1,45,Van Cortlandt Pool,Operational,229.320649266173,2
X196,-73.8393,40.8735142857143,1,101,Haffen Park Playground,Operational,613.188787509138,0
X118-ZN04,-73.8782842105263,40.8190842105263,1,61,Soundview Park Zone 4,Operational,675.567893875234,0
X201,-73.9170909090909,40.8861318181818,1,104,Seton Park Playground,Operational,135.729618843492,2
X044,-73.8985153846154,40.8654461538462,1,36,St. James Park,Operational,324.805586202182,1
X042,-73.8907933333333,40.86174,1,35,Rose Hill Park,Operational,105.2291775741,3
X034-ZN01,-73.9246923076923,40.8312076923077,1,27,Foster Park Zone 1,Operational,314.032910576078,1
X010-ZN03,-73.8953538461538,40.8399923076923,2,,,,,
X255,-73.8983090909091,40.8187545454545,1,118,Bill Rainey Park,Operational,352.332835763071,1
B018-ZN01,-73.8959333333333,40.6289555555556,1,131,Canarsie Park Zone 1,Operational,484.305247925885,0
B218,-73.93814,40.63807,1,222,Paerdegat Park,Operational,792.64267266711,0
B251-ZN02,-73.944095522388,40.5769791044776,1,245,Manhattan Beach Zone 2,Operational,178.246344612906,1
B028-ZN01,-74.0177684210527,40.6056684210526,1,137,Dyker Beach Park Zone 1,Operational,642.244418887991,0
B054,-73.92754,40.66636,1,146,Lincoln Terrace Park / Arthur S. Somers Playground,Operational,568.596106305394,0
B254,-73.9446428571429,40.6592714285714,1,247,Wingate Park,Operational,362.54657684462,1
Q134,-73.7289117647059,40.7260411764706,1,1054,Jack Breininger Park,Operational,732.807451384388,0
Q129,-73.8215142857143,40.6946714285714,1,508,"Phil """"Scooter"""" Rizzuto Park",Operational,900.782354294508,0
B007,-73.9999777777778,40.5978444444445,1,125,Bensonhurst Park,Operational,330.922959888777,1
Q026,-73.86176,40.748932,1,470,Park Of The Americas,Operational,108.882791611106,2
B113A,-73.9906363636364,40.6984545454545,1,180,Cadman Plaza Park,Operational,312.740097320703,1
Q015-ZN04,-73.85448,40.70126,1,457,Victory Field,Operational,83.8879580077826,1
M011,-74.0008285714286,40.7498428571429,1,326,Chelsea Park,Operational,313.999118075592,2
Q102-ZN01,-73.8845444444445,40.7187333333333,1,497,Juniper Valley Park Zone 1,Operational,640.802707721227,0
M076,-73.9732285714286,40.7449428571429,1,671,St. Vartan Park,Operational,518.092831830187,0
